A	'a	 a 
trens	t ɾ 'e n s	 t ɾ 'ɛ n s 
trepa	t ɾ 'e p a	 t ɾ 'ɛ p a 
trepes	t ɾ 'e p e s	 t ɾ 'ɛ p e s 
trepig	t ɾ e p 'i t ʃ	 t ɾ e p 'i ɣ 
tres	t ɾ 'e s	 t ɾ 'ɛ s 
tretze	t ɾ 'e d z e	 t ɾ 'ɛ d z e 
treu	t ɾ 'e w	 t ɾ 'ɛ w 
treure	t ɾ 'e w ɾ e	 t ɾ 'ɛ w ɾ e 
treus	t ɾ 'e w s	 t ɾ 'ɛ w s 
treva	t ɾ 'e v a	 t ɾ 'ɛ v a 
trilingüe	t ɾ i l 'i ŋ g w e	 t ɾ i l 'i ŋ g e 
trimestre	t ɾ i m 'e s t ɾ e	 t ɾ i m 'ɛ s t ɾ e 
trineu	t ɾ i n 'e w	 t ɾ i n 'ɛ w 
trinxeraire	t ɾ i n t ʃ e ɾ 'a j ɾ e	 t ɾ i n t ʃ e ɾ a 'i ɾ e 
tristesa	t ɾ i s t 'e z a	 t ɾ i s t 'ɛ z a 
trofeu	t ɾ o f 'e w	 t ɾ o f 'ɛ w 
Troia	t ɾ 'ɔ j a	 t ɾ o 'i a 
troica	t ɾ 'ɔ j k a	 t ɾ o 'i k a 
tromba	t ɾ 'o m b a	 t ɾ 'ɔ m b a 
trompa	t ɾ 'o m p a	 t ɾ 'ɔ m p a 
trompes	t ɾ 'o m p e s	 t ɾ 'ɔ m p e s 
troni	t ɾ 'ɔ n i	 t ɾ 'o n i 
tronin	t ɾ 'ɔ n i n	 t ɾ 'o n i n 
tronis	t ɾ 'ɔ n i s	 t ɾ 'o n i s 
tropa	t ɾ 'o p a	 t ɾ 'ɔ p a 
tropes	t ɾ 'o p e s	 t ɾ 'ɔ p e s 
truita	t ɾ w 'i t a	 t ɾ d ʒ 'i t a 
tsar	t s 'a ɾ	 a z 'a ɾ 
tsarévitx	t s a ɾ 'e v i t ʃ	 t s a ɾ e v 'i t ʃ 
txagatai	t ʃ a ɣ a t 'a j	 t ʃ a ɣ a t 'a i 
txec	t ʃ 'e k	 t ʃ 'ɛ k 
txeca	t ʃ 'e k a	 t ʃ 'ɛ k a 
txecs	t ʃ 'e k s	 t ʃ 'ɛ k s 
txeques	t ʃ 'e k e s	 t ʃ 'ɛ k e s 
ubiqüitat	u β i k w i t 'a t	 u β i k i t 'a t 
ucraïnesos	u k ɾ a i n 'e z o s	 u k ɾ a i n 'ɛ z o s 
udol	u ð 'o l	 u ð 'ɔ l 
Úmbria	'u m b ɾ i a	 u m b ɾ 'i a 
un	'u n	 u n 
únic	'u n i k	 ' u n i k 
uniforme	u n i f 'o ɾ m e	 u n i f 'ɔ ɾ m e 
uniformes	u n i f 'o ɾ m e s	 u n i f 'ɔ ɾ m e s 
univers	u n i v 'ɛ ɾ s	 u n i v 'e ɾ s 
urçol	u ɾ s 'o l	 u ɾ s 'ɔ l 
us	'u s	 u s 
usdefruit	u z ð e f ɾ w 'i t	 u z ð e f ɾ u 'i t 
Uzbekistan	u z β e k i s t 'a n	 u z β e g z i s t 'a n 
vaguista	v a ɣ 'i s t a	 v a ɣ u 'i s t a 
vailet	v a j l 'e t	 v a i l 'e t 
vainilla	v a j n 'i ʎ a	 v a i n 'i ʎ a 
vainilles	v a j n 'i ʎ e s	 v a i n 'i ʎ e s 
ve	v 'e	 v 'ɛ 
veça	v 'ɛ s a	 v 'e s a 
veda	v 'e ð a	 v 'ɛ ð a 
vellesa	v e ʎ 'e z a	 v e ʎ 'ɛ z a 
veloç	v e l 'ɔ s	 v e l 'o s 
ven	v 'e n	 v 'ɛ n 
venda	v 'e n d a	 v 'ɛ n d a 
vendre	v 'e n d ɾ e	 v 'ɛ n d ɾ e 
vens	v 'e n s	 v 'ɛ n s 
ventre	v 'e n t ɾ e	 v 'ɛ n t ɾ e 
verderol	v e ɾ ð e ɾ 'o l	 v e ɾ ð e ɾ 'ɔ l 
verds	v 'ɛ ɾ t s	 v 'ɛ ɾ i s 
vers	v 'ɛ ɾ s	 v 'e ɾ s 
ves	v 'e s	 v 'ɛ s 
vespa	v 'e s p a	 v 'ɛ s p a 
vespre	v 'e s p ɾ e	 v 'ɛ s p ɾ e 
vetlla	v 'e l l a	 v 'ɛ l ʎ a 
vetllada	v e l l 'a ð a	 v e ʎ l 'a ð a 
vetllades	v e l l 'a ð e s	 v e ʎ l 'a ð e s 
vetllar	v e l l 'a ɾ	 v e ʎ l 'a ɾ 
vetllat	v e l l 'a t	 v e ʎ l 'a t 
vetllats	v e l l 'a t s	 v e ʎ l 'a t s 
veu	v 'e w	 v 'ɛ w 
veure	v 'e w ɾ e	 v 'ɛ w ɾ e 
veure's	v 'e w ɾ e s	 v e w ɾ 'ɛ s 
veus	v 'e w s	 v 'ɛ w s 
Vicent	v i s 'ɛ n t	 v i s 'e n t 
vicesecretari	v i s e s e k ɾ e t 'a ɾ i	 v i s e z e k ɾ e t 'a ɾ i 
vienesa	v i e n 'e z a	 v i e n 'ɛ z a 
Vietnam	v i e d n 'a m	 v i e t n 'a m 
vietnamita	v i e d n a m 'i t a	 v i e t n a m 'i t a 
virrei	v i r 'e j	 v i r 'ɛ i 
viuda	v 'i w ð a	 v i 'u ð a 
volt	v 'ɔ l t	 v 'o l t 
voto	v 'o t o	 v 'ɔ t o 
vuit	v w 'i t	 v i 'i t 
vulgueu	v u l ɣ 'e w	 v u l ɣ 'ɛ w 
whisky	w 'i s k i	 a 'i s ɲ 
xai	t ʃ 'a j	 t ʃ 'a i 
Xangai	t ʃ a ŋ g 'a j	 t ʃ a ŋ g 'a i 
xarnega	t ʃ a ɾ n 'e ɣ a	 t ʃ a ɾ n 'ɛ ɣ a 
xe	t ʃ 'e	 t ʃ 'ɛ 
xec	t ʃ 'e k	 t ʃ 'ɛ k 
xecs	t ʃ 'e k s	 t ʃ 'ɛ k s 
xef	t ʃ 'e f	 t ʃ 'ɛ f 
xeic	t ʃ 'e j k	 t ʃ 'ɛ i k 
xemeneia	t ʃ e m e n 'e j a	 t ʃ e m e n e 'i a 
xerrameca	t ʃ e r a m 'e k a	 t ʃ e r a m 'ɛ k a 
xicoira	t ʃ i k 'ɔ j ɾ a	 t ʃ i k o 'i ɾ a 
xinesa	t ʃ i n 'e z a	 t ʃ i n 'ɛ z a 
xinesos	t ʃ i n 'e z o s	 t ʃ i n 'ɛ z o s 
xistorra	t ʃ i s t 'ɔ r a	 t ʃ i s t 'o r a 
xiular	t ʃ i w l 'a ɾ	 t ʃ i u l 'a ɾ 
xop	t ʃ 'o p	 t ʃ 'ɔ p 
xou	t ʃ 'ɔ w	 t ʃ 'o w 
xous	t ʃ 'ɔ w s	 t ʃ o 'u s 
yazidisme	j a z i ð 'i z m e	 k a z i ð 'i z m e 
Yukon	j u k 'o n	 u k 'o n 
zebra	z 'e β ɾ a	 z 'ɛ β ɾ a 
zero	z 'e ɾ o	 z 'ɛ ɾ o 
zirconi	z i ɾ k 'ɔ n i	 z i ɾ k 'o n i 
zoo	z 'o o	 z 'ɔ o 
zuau	z u 'a w	 a w 'a w 
de	d 'e	 d e 
que	k 'e	 k e 
la	l 'a	 l a 
i	'i	 i 
a	'a	 a 
el	'e l	 'ɛ l 
per	p 'e ɾ	 p e ɾ 
un	'u n	 u n 
en	'e n	 e n 
les	l 'e s	 l e s 
els	'e l s	 'ɛ l s 
del	d 'e l	 d e l 
amb	'a m	 'a m b 
al	'a l	 a l 
es	'e s	 e s 
El	'e l	 'ɛ l 
dels	d 'e l s	 d 'ɛ l s 
hi	'i	 i 
La	l 'a	 l a 
si	s 'i	 s i 
li	l 'i	 l i 
tot	t 'o t	 t 'ɔ t 
ja	j 'a	 d ʒ 'a 
Els	'e l s	 'ɛ l s 
A	'a	 a 
aquest	a k 'e s t	 a k 'ɛ s t 
sobre	s 'o β ɾ e	 s 'ɔ β ɾ e 
tres	t ɾ 'e s	 t ɾ 'ɛ s 
En	'e n	 e n 
Per	p 'e ɾ	 p e ɾ 
Si	s 'i	 s i 
sense	s 'e n s e	 s 'ɛ n s e 
ho	'o	 o 
temps	t 'e m s	 t 'ɛ m p s 
De	d 'e	 d e 
pel	p 'e l	 p e l 
tots	t 'o t s	 t 'ɔ t s 
aquesta	a k 'e s t a	 a k 'ɛ s t a 
entre	'e n t ɾ e	 ' a n t ɾ e 
sempre	s 'e m p ɾ e	 s 'ɛ m p ɾ e 
I	'i	 i 
he	'e	 'ɛ 
us	'u s	 u s 
cosa	k 'ɔ z a	 k 'o z a 
se	s 'e	 s e 
Un	'u n	 u n 
Les	l 'e s	 l e s 
tota	t 'o t a	 t 'ɔ t a 
mentre	m 'e n t ɾ e	 m 'ɛ n t ɾ e 
des	d 'e s	 d 'ɛ s 
Es	'e s	 e s 
feia	f 'e j a	 f 'ɛ j a 
Al	'a l	 a l 
hores	'ɔ ɾ e s	 i 'o ɾ e s 
totes	t 'o t e s	 t 'ɔ t e s 
Aquest	a k 'e s t	 a k 'ɛ s t 
coses	k 'ɔ z e s	 k 'o z e s 
Hi	'i	 i 
feina	f 'e j n a	 f 'ɛ j n a 
vuit	v w 'i t	 v i 'i t 
sembla	s 'e m b l a	 s 'ɛ m b l a 
dona	d 'ɔ n a	 d 'o n a 
tenen	t 'e n e n	 t 'ɛ n e n 
Ja	j 'a	 d ʒ 'a 
Li	l 'i	 l i 
Amb	'a m	 'a m b 
nens	n 'e n s	 n 'ɛ n s 
centre	s 'e n t ɾ e	 s 'ɛ n t ɾ e 
Aquesta	a k 'e s t a	 a k 'ɛ s t a 
sota	s 'o t a	 s 'ɔ t a 
aquests	a k 'e t s	 a k 'ɛ s t s 
ben	b 'e n	 b 'ɛ n 
zero	z 'e ɾ o	 z 'ɛ ɾ o 
pels	p 'e l s	 p 'ɛ l s 
molts	m 'o l s	 m 'o l t s 
contra	k 'o n t ɾ a	 k 'ɔ n t ɾ a 
mig	m 'i t ʃ	 m 'i k 
aquestes	a k 'e s t e s	 a k 'ɛ s t e s 
mesos	m 'e z o s	 m 'ɛ z o s 
finestra	f i n 'e s t ɾ a	 f i n 'ɛ s t ɾ a 
cotxe	k 'o t ʃ e	 k 'ɔ t ʃ e 
compte	k 'o m t e	 k 'ɔ m p t e 
Ho	'o	 o 
eren	'e ɾ e n	 'ɛ ɾ e n 
mes	m 'e s	 m 'ɛ s 
servei	s e ɾ v 'e j	 s e ɾ v 'ɛ i 
Queden	k 'e ð e n	 k 'ɛ ð e n 
tren	t ɾ 'e n	 t ɾ 'ɛ n 
mort	m 'ɔ ɾ t	 m 'o ɾ t 
metres	m 'e t ɾ e s	 m 'ɛ t ɾ e s 
forma	f 'o ɾ m a	 f 'ɔ ɾ m a 
fora	f 'ɔ ɾ a	 f 'o ɾ a 
ve	v 'e	 v 'ɛ 
nen	n 'e n	 n 'ɛ n 
llei	ʎ 'e j	 ʎ 'ɛ i 
sento	s 'e n t o	 s 'ɛ n t o 
He	'e	 'ɛ 
hora	'ɔ ɾ a	 a ɾ a 
se'n	s 'e n	 s 'ɛ n 
quants	k w 'a n s	 k w 'a n t s 
Tot	t 'o t	 t 'ɔ t 
darrere	d a r 'e ɾ e	 d a r 'ɛ ɾ e 
exemple	e g z 'e m p l e	 e g z 'ɛ m p l e 
tretze	t ɾ 'e d z e	 t ɾ 'ɛ d z e 
serveis	s e ɾ v 'e j s	 s e ɾ v 'ɛ i s 
ple	p l 'e	 p l 'ɛ 
dotze	d 'o d z e	 d 'ɔ d z e 
dones	d 'ɔ n e s	 d 'o n e s 
queda	k 'e ð a	 k 'ɛ ð a 
noi	n 'ɔ j	 n 'o i 
setze	s 'e d z e	 s 'ɛ d z e 
punts	p 'u n s	 p 'u n t s 
fort	f 'ɔ ɾ t	 f 'o ɾ t 
llengua	ʎ 'e ŋ g w a	 ʎ 'ɛ ŋ g w a 
metro	m 'e t ɾ o	 m 'ɛ t ɾ o 
segle	s 'e ɣ l e	 s 'ɛ ɣ l e 
Tots	t 'o t s	 t 'ɔ t s 
hagi	'a d ʒ i	 'ɔ d ʒ i 
crec	k ɾ 'e k	 k ɾ 'ɛ k 
cuina	k w 'i n a	 k 'u j n a 
Que	k 'e	 k e 
jove	d ʒ 'o v e	 d ʒ 'ɔ v e 
catorze	k a t 'o ɾ z e	 k a t 'ɔ ɾ z e 
Mentre	m 'e n t ɾ e	 m 'ɛ n t ɾ e 
joves	d ʒ 'o v e s	 d ʒ 'ɔ v e s 
empresa	a m p ɾ 'e z a	 a m p ɾ 'ɛ z a 
Sempre	s 'e m p ɾ e	 s 'ɛ m p ɾ e 
negre	n 'e ɣ ɾ e	 n 'ɛ ɣ ɾ e 
resta	r 'e s t a	 r s t a 
divuit	d i v w 'i t	 d i v i 'i t 
deixa	d 'e j ʃ a	 d 'ɛ j ʃ a 
boca	b 'o k a	 b 'ɔ k a 
temes	t 'e m e s	 t 'ɛ m e s 
tecla	t 'e k l a	 t 'ɛ k l a 
lletra	ʎ 'e t ɾ a	 ʎ 'ɛ t ɾ a 
centres	s 'e n t ɾ e s	 s 'ɛ n t ɾ e s 
Lleida	ʎ 'e j ð a	 ʎ e 'i ð a 
Des	d 'e s	 d 'ɛ s 
Aquests	a k 'e t s	 a k 'ɛ s t s 
tens	t 'e n s	 t 'ɛ n s 
se'ls	s 'e l s	 s 'ɛ l s 
camps	k 'a m s	 k 'a m p s 
trens	t ɾ 'e n s	 t ɾ 'ɛ n s 
rebre	r 'e β ɾ e	 r 'ɛ β ɾ e 
divendres	d i v 'e n d ɾ e s	 d i v 'ɛ n d ɾ e s 
buit	b w 'i t	 b u 'i t 
se'ns	s 'e n s	 s 'ɛ n s 
s'ho	s 'o	 s 'ɛ 
festa	f 'e s t a	 f 'ɛ s t a 
fes	f 'e s	 f 'ɛ s 
desembre	d e z 'e m b ɾ e	 d e z 'ɛ m b ɾ e 
Crec	k ɾ 'e k	 k ɾ 'ɛ k 
torna	t 'o ɾ n a	 t 'ɔ ɾ n a 
suport	s u p 'ɔ ɾ t	 s u p 'o ɾ t 
queden	k 'e ð e n	 k 'ɛ ð e n 
peixos	p 'e j ʃ o s	 p 'ɛ j ʃ o s 
l'hora	l 'ɔ ɾ a	 a 'o ɾ a 
junts	d ʒ 'u n s	 d ʒ 'u n t s 
foto	f 'o t o	 f 'ɔ t o 
Quants	k w 'a n s	 k w 'a n t s 
Pere	p 'e ɾ e	 p 'ɛ ɾ e 
setembre	s e t 'e m b ɾ e	 s e t 'ɛ m b ɾ e 
etcètera	e t s 'ɛ t e ɾ a	 a t s 'ɛ t e ɾ a 
conte	k 'o n t e	 k 'ɔ n t e 
a	'a	 a 
pensa	p 'e n s a	 p 'ɛ n s a 
me'n	m 'e n	 m 'ɛ n 
empreses	a m p ɾ 'e z e s	 a m p ɾ 'ɛ z e s 
bossa	b 'o s a	 b 'ɔ s a 
Entre	'e n t ɾ e	 ' a n t ɾ e 
pedra	p 'e ð ɾ a	 p 'ɛ ð ɾ a 
novembre	n o v 'e m b ɾ e	 n o v 'ɛ m b ɾ e 
nois	n 'ɔ j s	 n 'o i s 
moneda	m o n 'e ð a	 m o n 'ɛ ð a 
gens	d ʒ 'e n s	 d ʒ 'ɛ n s 
formes	f 'o ɾ m e s	 f 'ɔ ɾ m e s 
espai	a s p 'a j	 a s p 'a i 
cotxes	k 'o t ʃ e s	 k 'ɔ t ʃ e s 
compra	k 'o m p ɾ a	 k 'ɔ m p ɾ a 
Us	'u s	 u s 
Montse	m 'o n s e	 m 'ɔ n d z e 
penso	p 'e n s o	 p 'ɛ n s o 
negres	n 'e ɣ ɾ e s	 n 'ɛ ɣ ɾ e s 
me	m 'e	 m e 
lletres	ʎ 'e t ɾ e s	 ʎ 'ɛ t ɾ e s 
gossos	g 'o s o s	 g 'ɔ s o s 
Sembla	s 'e m b l a	 s 'ɛ m b l a 
Pel	p 'e l	 p e l 
volen	v 'o l e n	 v 'ɔ l e n 
se'm	s 'e m	 s 'ɛ m 
produir	p ɾ o ð w 'i ɾ	 p ɾ o ð u 'i ɾ 
plens	p l 'e n s	 p l 'ɛ n s 
dimecres	d i m 'e k ɾ e s	 d i m 'ɛ k ɾ e s 
Sense	s 'e n s e	 s 'ɛ n s e 
Aquestes	a k 'e s t e s	 a k 'ɛ s t e s 
veuen	v 'e w e n	 v 'ɛ w e n 
transport	t ɾ a n s p 'ɔ ɾ t	 t ɾ a n s p 'o ɾ t 
processos	p ɾ o s 'e s o s	 p ɾ o s 'ɛ s o s 
pedres	p 'e ð ɾ e s	 p 'ɛ ð ɾ e s 
membres	m 'e m b ɾ e s	 m 'ɛ m b ɾ e s 
l'havia	l a v 'i a	 ʎ a v 'i a 
desig	d e z 'i t ʃ	 d e z 'i ɣ 
Se	s 'e	 s e 
únic	'u n i k	 ' u n i k 
tempesta	t e m p 'e s t a	 t e m p 'ɛ s t a 
semblen	s 'e m b l e n	 s 'ɛ m b l e n 
seguida	s e ɣ 'i ð a	 s e ɣ u 'i ð a 
monedes	m o n 'e ð e s	 m o n 'ɛ ð e s 
fosca	f 'o s k a	 f 'ɔ s k a 
fer-ho	f 'e ɾ o	 f 'ɛ ɾ o 
entendre	a n t 'e n d ɾ e	 a n t 'ɛ n d ɾ e 
dolça	d 'o l s a	 d 'ɔ l s a 
disseny	d i s 'e ɲ	 d i s 'ɛ ɲ 
ves	v 'e s	 v 'ɛ s 
torno	t 'o ɾ n o	 t 'ɔ ɾ n o 
sistemes	s i s t 'e m e s	 s i s t 'ɛ m e s 
gest	d ʒ 'e s t	 d ʒ 'ɛ s t 
formen	f 'o ɾ m e n	 f 'ɔ ɾ m e n 
festes	f 'e s t e s	 f 'ɛ s t e s 
i	'i	 i 
vespre	v 'e s p ɾ e	 v 'ɛ s p ɾ e 
reforma	r e f 'o ɾ m a	 r e f 'ɔ ɾ m a 
quedo	k 'e ð o	 k 'ɛ ð o 
pres	p ɾ 'e s	 p ɾ 'ɛ s 
nord	n 'ɔ ɾ t	 n 'o ɾ t 
meitat	m e j t 'a t	 m e i t 'a t 
m'havia	m a v 'i a	 m e a v 'i a 
lleis	ʎ 'e j s	 ʎ 'ɛ i s 
leis	l 'e j s	 l 'ɛ i s 
hagin	'a d ʒ i n	 'ɔ d ʒ i n 
doble	d 'o β l e	 d 'ɔ β l e 
disposen	d i s p 'o z e n	 d i s p 'ɔ z e n 
Servei	s e ɾ v 'e j	 s e ɾ v 'ɛ i 
ésser	'e s e ɾ	 ' e s e ɾ 
A	'a	 a 
seca	s 'e k a	 s 'ɛ k a 
restes	r 'e s t e s	 r s t e s 
presa	p ɾ 'e z a	 p ɾ 'ɛ z a 
negra	n 'e ɣ ɾ a	 n 'ɛ ɣ ɾ a 
lluita	ʎ w 'i t a	 ʎ u 'i t a 
introduir	i n t ɾ o ð w 'i ɾ	 i n t ɾ o ð u 'i ɾ 
fer-me	f 'e ɾ m e	 f 'ɛ ɾ m e 
espais	a s p 'a j s	 a s p 'a i s 
comencen	k o m 'e n s e n	 k o m 'ɛ n s e n 
bombes	b 'o m b e s	 b 'ɔ m b e s 
Penso	p 'e n s o	 p 'ɛ n s o 
Francesc	f ɾ a n s 'e s k	 f ɾ a n s 'ɛ s k 
venen	v 'e n e n	 v 'ɛ n e n 
se'l	s 'e l	 s 'ɛ l 
s'hagi	s 'a d ʒ i	 s 'ɔ d ʒ i 
s'aixeca	s a j ʃ 'e k a	 s a j ʃ 'ɛ k a 
presenten	p ɾ e z 'e n t e n	 p ɾ e z 'ɛ n t e n 
permeten	p e ɾ m 'e t e n	 p e ɾ m 'ɛ t e n 
ordre	'o ɾ ð ɾ e	 'ɔ ɾ ð ɾ e 
fotos	f 'o t o s	 f 'ɔ t o s 
finestres	f i n 'e s t ɾ e s	 f i n 'ɛ s t ɾ e s 
feines	f 'e j n e s	 f 'ɛ j n e s 
esport	a s p 'ɔ ɾ t	 a s p 'o ɾ t 
bellesa	b e ʎ 'e z a	 b e ʎ 'ɛ z a 
ampolla	a m p 'o ʎ a	 a m p 'ɔ ʎ a 
Sento	s 'e n t o	 s 'ɛ n t o 
Guíxols	g 'i k s o l s	 g u 'i k s o l s 
Dóna'm	d 'o n a m	 d o n 'a m 
Conca	k 'o ŋ k a	 k 'ɔ ŋ k a 
terreny	t e r 'e ɲ	 t e r 'ɛ ɲ 
segles	s 'e ɣ l e s	 s 'ɛ ɣ l e s 
representen	r e p ɾ e z 'e n t e n	 r e p ɾ e z 'ɛ n t e n 
regles	r 'e ɣ l e s	 r 'ɛ ɣ l e s 
reben	r 'e β e n	 r 'ɛ β e n 
proposen	p ɾ o p 'o z e n	 p ɾ o p 'ɔ z e n 
pressupost	p ɾ e s u p 'ɔ s t	 p ɾ e s u p 'o s t 
premsa	p ɾ 'e m s a	 p ɾ 'ɛ m z a 
port	p 'ɔ ɾ t	 p 'o ɾ t 
pes	p 'e s	 p 'ɛ s 
permetre	p e ɾ m 'e t ɾ e	 p e ɾ m 'ɛ t ɾ e 
pensen	p 'e n s e n	 p 'ɛ n s e n 
naturalesa	n a t u ɾ a l 'e z a	 n a t u ɾ a l 'ɛ z a 
llargs	ʎ 'a ɾ k s	 ʎ 'a ɾ i s 
immens	i m m 'e n s	 i m m 'ɛ n s 
freda	f ɾ 'e ð a	 f ɾ 'ɛ ð a 
francesa	f ɾ a n s 'e z a	 f ɾ a n s 'ɛ z a 
comptes	k 'o m t e s	 k 'ɔ m p t e s 
cervesa	s e ɾ v 'e z a	 s e ɾ v 'ɛ z a 
caigut	k a j ɣ 'u t	 k a i ɣ 'u t 
atendre	a t 'e n d ɾ e	 a t 'ɛ n d ɾ e 
agents	a d ʒ 'e n s	 a d ʒ 'e n t s 
Totes	t 'o t e s	 t 'ɔ t e s 
Boi	b 'ɔ j	 b 'o i 
únics	'u n i k s	 ' u n i k s 
vendes	v 'e n d e s	 v 'ɛ n d e s 
tornes	t 'o ɾ n e s	 t 'ɔ ɾ n e s 
tinguessin	t i ŋ g 'e s i n	 t i ŋ g u 'ɛ s i n 
telèfons	t e l 'ɛ f o n s	 t e l e f 'o n s 
t'he	t 'e	 t 'ɛ 
rugbi	r 'u g b i	 r 'u g β i 
pren	p ɾ 'e n	 p ɾ 'ɛ n 
mots	m 'o t s	 m 'ɔ t s 
moto	m 'o t o	 m 'ɔ t o 
mot	m 'o t	 m 'ɔ t 
llest	ʎ 'e s t	 ʎ 'ɛ s t 
llengües	ʎ 'e ŋ g w e s	 ʎ 'ɛ ŋ g e s 
l'univers	l u n i v 'ɛ ɾ s	 l u n i v 'e ɾ s 
interessos	i n t e ɾ 'e s o s	 i n t e ɾ 'ɛ s o s 
fresca	f ɾ 'e s k a	 f ɾ 'ɛ s k a 
fe	f 'e	 f 'ɛ 
enmig	a m m 'i t ʃ	 a n m 'i ɣ 
contes	k 'o n t e s	 k 'ɔ n t e s 
construir	k o n s t ɾ w 'i ɾ	 k o n s t ɾ u 'i ɾ 
conduir	k o n d w 'i ɾ	 k o n d u 'i ɾ 
buida	b w 'i ð a	 b d ʒ 'i ð a 
Peso	p 'e z o	 p 'ɛ z o 
Pesa	p 'e z a	 p 'ɛ z a 
Molts	m 'o l s	 m 'o l t s 
Gandesa	g a n d 'e z a	 g a n d 'ɛ z a 
Fes	f 'e s	 f 'ɛ s 
éssers	'e s e ɾ s	  e s 'e ɾ s 
Per	p 'e ɾ	 p e ɾ 
En	'e n	 e n 
vers	v 'ɛ ɾ s	 v 'e ɾ s 
tendresa	t e n d ɾ 'e z a	 t e n d ɾ 'ɛ z a 
plataforma	p l a t a f 'o ɾ m a	 p l a t a f 'ɔ ɾ m a 
pagesos	p a d ʒ 'e z o s	 p a d ʒ 'ɛ z o s 
mestres	m 'e s t ɾ e s	 m 'ɛ s t ɾ e s 
menja	m 'e n d ʒ a	 m 'ɛ n d ʒ a 
intento	i n t 'e n t o	 i n t 'ɛ n t o 
intenten	i n t 'e n t e n	 i n t 'ɛ n t e n 
fruits	f ɾ w 'i t s	 f ɾ u 'i t s 
espardenyes	a s p a ɾ ð 'e ɲ e s	 a s p a ɾ ð 'ɛ ɲ e s 
entren	'e n t ɾ e n	 ' a n t ɾ e n 
eina	'e j n a	 d ʒ 'i n a 
currículum	k u r 'i k u l u m	 k u r i k u l 'u m 
cost	k 'ɔ s t	 k 'o s t 
corre	k 'o r e	 k 'ɔ r e 
copes	k 'o p e s	 k 'ɔ p e s 
començo	k o m 'e n s o	 k o m 'ɛ n s o 
caigui	k 'a j ɣ i	 k 'a i ɣ i 
apunts	a p 'u n s	 a p 'u n t s 
Tres	t ɾ 'e s	 t ɾ 'ɛ s 
Torna	t 'o ɾ n a	 t 'ɔ ɾ n a 
Tanmateix	t a m m a t 'e j ʃ	 t a n m a t 'e j ʃ 
Eren	'e ɾ e n	 'ɛ ɾ e n 
Compte	k 'o m t e	 k 'ɔ m p t e 
Antoni	a n t 'ɔ n i	 a n t 'o n i 
úniques	'u n i k e s	 ' u n i k e s 
única	'u n i k a	 ' u n i k a 
vivendes	v i v 'e n d e s	 v i v 'ɛ n d e s 
vivenda	v i v 'e n d a	 v i v 'ɛ n d a 
tornen	t 'o ɾ n e n	 t 'ɔ ɾ n e n 
sorpresa	s o ɾ p ɾ 'e z a	 s o ɾ p ɾ 'ɛ z a 
s'escapa	s a s k 'a p a	 s e s k 'a p a 
repte	r 'e p t e	 r 'ɛ p t e 
recompte	r e k 'o m t e	 r e k 'ɔ m p t e 
recents	r e s 'e n s	 r e s 'e n t s 
rapidesa	r a p i ð 'e z a	 r a p i ð 'ɛ z a 
queixa	k 'e j ʃ a	 k 'ɛ j ʃ a 
princesa	p ɾ i n s 'e z a	 p ɾ i n s 'ɛ z a 
poesia	p o e z 'i a	 p o e s 'i a 
pobresa	p o β ɾ 'e z a	 p o β ɾ 'ɛ z a 
plàncton	p l 'a ŋ k t o n	 p l a ŋ k t 'o n 
nego	n 'e ɣ o	 n 'ɛ ɣ o 
neboda	n e β 'o ð a	 n e β 'ɔ ð a 
lo	l 'o	 l o 
llop	ʎ 'o p	 ʎ 'ɔ p 
l'havien	l a v 'i e n	 ʎ a v 'i e n 
jersei	d ʒ e ɾ s 'e j	 d ʒ e ɾ s 'ɛ i 
intens	i n t 'e n s	 i n t 'ɛ n s 
gotes	g 'o t e s	 g 'ɔ t e s 
gota	g 'o t a	 g 'ɔ t a 
glop	g l 'o p	 g l 'ɔ p 
gallec	g a ʎ 'e k	 g a ʎ 'ɛ k 
fosques	f 'o s k e s	 f 'ɔ s k e s 
fortalesa	f o ɾ t a l 'e z a	 f o ɾ t a l 'ɛ z a 
endarrere	a n d a r 'e ɾ e	 a n d a r 'ɛ ɾ e 
encendre	a n s 'e n d ɾ e	 a n s 'ɛ n d ɾ e 
eines	'e j n e s	 'ɛ j n e s 
donen	d 'o n e n	 d 'ɔ n e n 
dimonis	d i m 'ɔ n i s	 d i m 'o n i s 
diguem-ne	d i ɣ 'e m n e	 d i ɣ u 'ɛ m n e 
deuen	d 'e w e n	 d 'ɛ w e n 
descens	d e s 'e n s	 d e s 'ɛ n s 
desa	d 'e z a	 d 'ɛ z a 
defensa	d e f 'e n s a	 d e f 'ɛ n s a 
continuï	k o n t i n 'u i	 k o n t i n 'u t 
compta	k 'o m t a	 k 'ɔ m p t a 
compro	k 'o m p ɾ o	 k 'ɔ m p ɾ o 
circuit	s i ɾ k w 'i t	 s 'i ɾ k 'u 'i t 
agenda	a d ʒ 'e n d a	 a d ʒ 'ɛ n d a 
aeroport	a e ɾ o p 'ɔ ɾ t	 a e ɾ o p 'o ɾ t 
Seguint	s e ɣ 'i n t	 s e ɣ u 'i n t 
Pineda	p i n 'e ð a	 p i n 'ɛ ð a 
Pensa	p 'e n s a	 p 'ɛ n s a 
Londres	l 'o n d ɾ e s	 l 'ɔ n d ɾ e s 
