Aaró	a a ɾ 'o
aeroclub	a e ɾ o k l 'u p
aerofar	a e ɾ o f 'a
aeròmetre	a e ɾ 'ɔ m e t ɾ e
aerosol	a e ɾ o z 'o l
afaiçonar	a f a j s o n 'a
afaitada	a f a j t 'a ð a
afaitades	a f a j t 'a ð e s
afaitar	a f a j t 'a
afaitat	a f a j t 'a t
afaitats	a f a j t 'a t s
afalac	a f a l 'a k
afalacs	a f a l 'a k s
afalagada	a f a l a ɣ 'a ð a
afalagades	a f a l a ɣ 'a ð e s
afalagador	a f a l a ɣ a ð 'o
afalagar	a f a l a ɣ 'a
afalagat	a f a l a ɣ 'a t
afalagats	a f a l a ɣ 'a t s
afamada	a f a m 'a ð a
afamar	a f a m 'a
afamat	a f a m 'a t
afamats	a f a m 'a t s
afanador	a f a n a ð 'o
afanar	a f a n 'a
afany	a f 'a ɲ
afanyar	a f a ɲ 'a
afavorida	a f a β o ɾ 'i ð a
afavorides	a f a β o ɾ 'i ð e s
afavorint	a f a β o ɾ 'i n
afavorir	a f a β o ɾ 'i
afavorit	a f a β o ɾ 'i t
afavorits	a f a β o ɾ 'i t s
afeblida	a f e β l 'i ð a
afeblides	a f e β l 'i ð e s
afeblir	a f e β l 'i
afeblit	a f e β l 'i t
afeblits	a f e β l 'i t s
afecta	a f 'ɛ k t a
afectà	a f e k t 'a
afectable	a f e k t 'a β l e
afectada	a f e k t 'a ð a
afectades	a f e k t 'a ð e s
afectant	a f e k t 'a n
afectar	a f e k t 'a
afectàrem	a f e k t 'a ɾ e m
afectares	a f e k t 'a ɾ e s
afectaria	a f e k t a ɾ 'i a
afectat	a f e k t 'a t
afectats	a f e k t 'a t s
afectava	a f e k t 'a β a
afecte	a f 'ɛ k t e
afectes	a f 'ɛ k t e s
afectiva	a f e k t 'i β a
afectives	a f e k t 'i β e s
afectuós	a f e k t u 'o s
afectuosa	a f e k t u 'o z a
afectuoses	a f e k t u 'o z e s
afectuosos	a f e k t u 'o z o s
afegida	a f e ʒ 'i ð a
afegides	a f e ʒ 'i ð e s
afegir	a f e ʒ 'i
afegit	a f e ʒ 'i t
afegitó	a f e ʒ i t 'o
afegitons	a f e ʒ i t 'o n s
afegits	a f e ʒ 'i t s
afemellat	a f e m e ʎ 'a t
afèmic	a f 'ɛ m i k
afèmica	a f 'ɛ m i k a
afèmics	a f 'ɛ m i k s
afèmiques	a f 'ɛ m i k e s
afèresi	a f 'ɛ ɾ e z i
aferrada	a f e r 'a ð a
aferrar	a f e r 'a
afí	a f 'i
afiblar	a f i β l 'a
aficar	a f i k 'a
afila	a f 'i l a
afilada	a f i l 'a ð a
afilades	a f i l 'a ð e s
afilant	a f i l 'a n
afilar	a f i l 'a
afilares	a f i l 'a ɾ e s
afilaria	a f i l a ɾ 'i a
afilat	a f i l 'a t
afilats	a f i l 'a t s
afilava	a f i l 'a β a
afiles	a f 'i l e s
afillar	a f i ʎ 'a
afilo	a f 'i l o
afinada	a f i n 'a ð a
afinades	a f i n 'a ð e s
afinar	a f i n 'a
afinat	a f i n 'a t
afinats	a f i n 'a t s
afines	a f 'i n e s
afinitat	a f i n i t 'a t
afinitats	a f i n i t 'a t s
afins	a f 'i n s
afligida	a f l i ʒ 'i ð a
afligides	a f l i ʒ 'i ð e s
afligint	a f l i ʒ 'i n
afligir	a f l i ʒ 'i
afligit	a f l i ʒ 'i t
afligits	a f l i ʒ 'i t s
aflorada	a f l o ɾ 'a ð a
aflorades	a f l o ɾ 'a ð e s
aflorant	a f l o ɾ 'a n
aflorar	a f l o ɾ 'a
aflorares	a f l o ɾ 'a ɾ e s
afloraria	a f l o ɾ a ɾ 'i a
aflorat	a f l o ɾ 'a t
aflorats	a f l o ɾ 'a t s
aflorava	a f l o ɾ 'a β a
afluent	a f l u 'e n
afogar	a f o ɣ 'a
afònic	a f 'ɔ n i k
afònica	a f 'ɔ n i k a
afònics	a f 'ɔ n i k s
afòniques	a f 'ɔ n i k e s
aforisme	a f o ɾ 'i z m e
aforismes	a f o ɾ 'i z m e s
aforrada	a f o r 'a ð a
aforrar	a f o r 'a
africà	a f ɾ i k 'a
Àfrica	'a f ɾ i k a
africana	a f ɾ i k 'a n a
africanes	a f ɾ i k 'a n e s
africanista	a f ɾ i k a n 'i s t a
africans	a f ɾ i k 'a n s
afrikaans	a f ɾ i k a 'a n s
afrodisíac	a f ɾ o ð i z 'i a k
Afrodita	a f ɾ o ð 'i t a
afronta	a f ɾ 'o n t a
afrontada	a f ɾ o n t 'a ð a
afrontades	a f ɾ o n t 'a ð e s
afrontar	a f ɾ o n t 'a
afrontàrem	a f ɾ o n t 'a ɾ e m
afrontares	a f ɾ o n t 'a ɾ e s
afrontaria	a f ɾ o n t a ɾ 'i a
afrontat	a f ɾ o n t 'a t
afrontats	a f ɾ o n t 'a t s
afrontava	a f ɾ o n t 'a β a
afrontem	a f ɾ o n t 'e m
afusellada	a f u z e ʎ 'a ð a
afusellades	a f u z e ʎ 'a ð e s
afusellament	a f u z e ʎ a m 'e n
afusellant	a f u z e ʎ 'a n
afusellar	a f u z e ʎ 'a
afusellat	a f u z e ʎ 'a t
afusellats	a f u z e ʎ 'a t s
agafada	a ɣ a f 'a ð a
agafades	a ɣ a f 'a ð e s
agafamosquits	a ɣ a f a m o s k 'i t s
agafant	a ɣ a f 'a n
agafar	a ɣ a f 'a
agafat	a ɣ a f 'a t
agafatós	a ɣ a f a t 'o s
agafats	a ɣ a f 'a t s
agafós	a ɣ a f 'o s
agalla	a ɣ 'a ʎ a
Àgata	'a ɣ a t a
àgata	'a ɣ a t a
àgates	'a ɣ a t e s
agençada	a ʒ e n s 'a ð a
agençades	a ʒ e n s 'a ð e s
agençant	a ʒ e n s 'a n
agençar	a ʒ e n s 'a
agençat	a ʒ e n s 'a t
agençats	a ʒ e n s 'a t s
agenda	a ʒ 'e n d a
agenollada	a ʒ e n o ʎ 'a ð a
agenollades	a ʒ e n o ʎ 'a ð e s
agenollar	a ʒ e n o ʎ 'a
agenollat	a ʒ e n o ʎ 'a t
agenollats	a ʒ e n o ʎ 'a t s
agent	a ʒ 'e n
agents	a ʒ 'e n s
àgil	'a ʒ i l
agilitat	a ʒ i l i t 'a t
agilitats	a ʒ i l i t 'a t s
agir	a ʒ 'i
agitada	a ʒ i t 'a ð a
agitades	a ʒ i t 'a ð e s
agitant	a ʒ i t 'a n
agitar	a ʒ i t 'a
agitat	a ʒ i t 'a t
agitats	a ʒ i t 'a t s
agnosticisme	a g n o s t i s 'i z m e
agònic	a ɣ 'ɔ n i k
agònica	a ɣ 'ɔ n i k a
agònics	a ɣ 'ɔ n i k s
agòniques	a ɣ 'ɔ n i k e s
agonitzà	a ɣ o n i d z 'a
agonitzada	a ɣ o n i d z 'a ð a
agonitzades	a ɣ o n i d z 'a ð e s
agonitzant	a ɣ o n i d z 'a n
agonitzar	a ɣ o n i d z 'a
agonitzat	a ɣ o n i d z 'a t
agonitzats	a ɣ o n i d z 'a t s
agosarada	a ɣ o z a ɾ 'a ð a
agosarades	a ɣ o z a ɾ 'a ð e s
agosarat	a ɣ o z a ɾ 'a t
agosarats	a ɣ o z a ɾ 'a t s
agost	a ɣ 'o s t
Agost	a ɣ 'o s t
agostejar	a ɣ o s t e ʒ 'a
agra	'a ɣ ɾ a
agradable	a ɣ ɾ a ð 'a β l e
agradada	a ɣ ɾ a ð 'a ð a
agradades	a ɣ ɾ a ð 'a ð e s
agradant	a ɣ ɾ a ð 'a n
agradar	a ɣ ɾ a ð 'a
agradat	a ɣ ɾ a ð 'a t
agradats	a ɣ ɾ a ð 'a t s
agraí	a ɣ ɾ a 'i
agraïda	a ɣ ɾ a 'i ð a
agraïdes	a ɣ ɾ a 'i ð e s
agraïment	a ɣ ɾ a i m 'e n
agraint	a ɣ ɾ a 'i n
agrair	a ɣ ɾ a 'i
agraït	a ɣ ɾ a 'i t
agraïts	a ɣ ɾ a 'i t s
Agramunt	a ɣ ɾ a m 'u n
agrari	a ɣ ɾ 'a ɾ i
agràs	a ɣ ɾ 'a s
agrassó	a ɣ ɾ a s 'o
agrassos	a ɣ ɾ 'a s o s
agre	'a ɣ ɾ e
agredida	a ɣ ɾ e ð 'i ð a
agredides	a ɣ ɾ e ð 'i ð e s
agredint	a ɣ ɾ e ð 'i n
agredit	a ɣ ɾ e ð 'i t
agredits	a ɣ ɾ e ð 'i t s
agregada	a ɣ ɾ e ɣ 'a ð a
agregades	a ɣ ɾ e ɣ 'a ð e s
agregant	a ɣ ɾ e ɣ 'a n
agregar	a ɣ ɾ e ɣ 'a
agregares	a ɣ ɾ e ɣ 'a ɾ e s
agregaria	a ɣ ɾ e ɣ a ɾ 'i a
agregat	a ɣ ɾ e ɣ 'a t
agregats	a ɣ ɾ e ɣ 'a t s
agregava	a ɣ ɾ e ɣ 'a β a
agres	'a ɣ ɾ e s
agressiva	a ɣ ɾ e s 'i β a
agressivitat	a ɣ ɾ e s i β i t 'a t
agressivitats	a ɣ ɾ e s i β i t 'a t s
agressor	a ɣ ɾ e s 'o
agrícola	a ɣ ɾ 'i k o l a
agricultor	a ɣ ɾ i k u l t 'o
agricultura	a ɣ ɾ i k u l t 'u ɾ a
agrimensor	a ɣ ɾ i m e n s 'o
agroalimentaris	a ɣ ɾ o a l i m e n t 'a ɾ i s
agrònom	a ɣ ɾ 'ɔ n o m
agrònoma	a ɣ ɾ 'ɔ n o m a
agrònomes	a ɣ ɾ 'ɔ n o m e s
agronomia	a ɣ ɾ o n o m 'i a
agronòmic	a ɣ ɾ o n 'ɔ m i k
agronòmica	a ɣ ɾ o n 'ɔ m i k a
agronòmics	a ɣ ɾ o n 'ɔ m i k s
agronòmiques	a ɣ ɾ o n 'ɔ m i k e s
agrònoms	a ɣ ɾ 'ɔ n o m s
agrumar	a ɣ ɾ u m 'a
agrupada	a ɣ ɾ u p 'a ð a
agrupades	a ɣ ɾ u p 'a ð e s
agrupar	a ɣ ɾ u p 'a
agrupat	a ɣ ɾ u p 'a t
agrupats	a ɣ ɾ u p 'a t s
agúa	a ɣ 'u a
aguda	a ɣ 'u ð a
agudes	a ɣ 'u ð e s
agudesa	a ɣ u ð 'e z a
Àgueda	'a ɣ e ð a
agúen	a ɣ 'u e n
aguerrida	a ɣ e r 'i ð a
aguerrir	a ɣ e r 'i
aguerrit	a ɣ e r 'i t
agúes	a ɣ 'u e s
àguila	'a ɣ i l a
àguiles	'a ɣ i l e s
aguiló	a ɣ i l 'o
agulla	a ɣ 'u ʎ a
agullat	a ɣ u ʎ 'a t
agulles	a ɣ 'u ʎ e s
agúo	a ɣ 'u o
agusada	a ɣ u z 'a ð a
agusades	a ɣ u z 'a ð e s
agusant	a ɣ u z 'a n
agusar	a ɣ u z 'a
agusat	a ɣ u z 'a t
agusats	a ɣ u z 'a t s
agut	a ɣ 'u t
aguts	a ɣ 'u t s
ahir	a 'i
ai	'a j
aidada	a j ð 'a ð a
aidades	a j ð 'a ð e s
aidant	a j ð 'a n
aidar	a j ð 'a
aidat	a j ð 'a t
aidats	a j ð 'a t s
aïllada	a i ʎ 'a ð a
aïllades	a i ʎ 'a ð e s
aïllament	a i ʎ a m 'e n
aïllant	a i ʎ 'a n
aïllar	a i ʎ 'a
aïllat	a i ʎ 'a t
aïllats	a i ʎ 'a t s
Aina	'a j n a
aïnada	a i n 'a ð a
aïnades	a i n 'a ð e s
aïnant	a i n 'a n
aïnar	a i n 'a
aïnat	a i n 'a t
aïnats	a i n 'a t s
aïrar	a i ɾ 'a
aire	'a j ɾ e
airejar	a j ɾ e ʒ 'a
airejós	a j ɾ e ʒ 'o s
aixà	a j ʃ 'a
aixada	a j ʃ 'a ð a
aixades	a j ʃ 'a ð e s
aixafada	a j ʃ a f 'a ð a
aixafades	a j ʃ a f 'a ð e s
aixafaguitarres	a j ʃ a f a ɣ i t 'a r e s
aixafant	a j ʃ a f 'a n
aixafar	a j ʃ a f 'a
aixafat	a j ʃ a f 'a t
aixafats	a j ʃ a f 'a t s
aixana	a j ʃ 'a n a
aixaragallar	a j ʃ a ɾ a ɣ a ʎ 'a
aixatar	a j ʃ a t 'a
aixecada	a j ʃ e k 'a ð a
aixecades	a j ʃ e k 'a ð e s
aixecament	a j ʃ e k a m 'e n
aixecar	a j ʃ e k 'a
aixecat	a j ʃ e k 'a t
aixecats	a j ʃ e k 'a t s
aixella	a j ʃ 'e ʎ a
aixeta	a j ʃ 'e t a
així	a j ʃ 'i
aixina	a j ʃ 'i n a
aixís	a j ʃ 'i s
això	a j ʃ 'ɔ
aixopluc	a j ʃ o p l 'u k
ajaguda	a ʒ a ɣ 'u ð a
ajagudes	a ʒ a ɣ 'u ð e s
ajagut	a ʒ a ɣ 'u t
ajaguts	a ʒ a ɣ 'u t s
ajuda	a ʒ 'u ð a
ajudada	a ʒ u ð 'a ð a
ajudades	a ʒ u ð 'a ð e s
ajudant	a ʒ u ð 'a n
ajudar	a ʒ u ð 'a
ajudares	a ʒ u ð 'a ɾ e s
ajudaria	a ʒ u ð a ɾ 'i a
ajudat	a ʒ u ð 'a t
ajudats	a ʒ u ð 'a t s
ajudava	a ʒ u ð 'a β a
ajudes	a ʒ 'u ð e s
ajudo	a ʒ 'u ð o
ajuntada	a ʒ u n t 'a ð a
ajuntades	a ʒ u n t 'a ð e s
ajuntament	a ʒ u n t a m 'e n
ajuntant	a ʒ u n t 'a n
ajuntar	a ʒ u n t 'a
ajuntat	a ʒ u n t 'a t
ajuntats	a ʒ u n t 'a t s
ajupida	a ʒ u p 'i ð a
ajupides	a ʒ u p 'i ð e s
ajupint	a ʒ u p 'i n
ajupir	a ʒ u p 'i
ajupit	a ʒ u p 'i t
ajupits	a ʒ u p 'i t s
ajustable	a ʒ u s t 'a β l e
ajustada	a ʒ u s t 'a ð a
ajustades	a ʒ u s t 'a ð e s
ajustament	a ʒ u s t a m 'e n
ajustant	a ʒ u s t 'a n
ajustar	a ʒ u s t 'a
ajustat	a ʒ u s t 'a t
ajustats	a ʒ u s t 'a t s
ajustos	a ʒ 'u s t o s
ajusts	a ʒ 'u s t s
ajut	a ʒ 'u t
ajuts	a ʒ 'u t s
àkan	'a k a n
àkans	'a k a n s
ala	'a l a
Àlaba	'a l a β a
alabada	a l a β 'a ð a
alabades	a l a β 'a ð e s
alabança	a l a β 'a n s a
alabances	a l a β 'a n s e s
alabant	a l a β 'a n
alabar	a l a β 'a
alabastre	a l a β 'a s t ɾ e
alabastres	a l a β 'a s t ɾ e s
alabastrí	a l a β a s t ɾ 'i
alabastrina	a l a β a s t ɾ 'i n a
alabastrins	a l a β a s t ɾ 'i n s
alabat	a l a β 'a t
alabats	a l a β 'a t s
Alacant	a l a k 'a n
alacantí	a l a k a n t 'i
alacantines	a l a k a n t 'i n e s
alacantins	a l a k a n t 'i n s
alada	a l 'a ð a
alades	a l 'a ð e s
alaga	a l 'a ɣ a
alamànic	a l a m 'a n i k
alamara	a l a m 'a ɾ a
alambí	a l a m b 'i
alambins	a l a m b 'i n s
Alaric	a l a ɾ 'i k
alat	a l 'a t
alats	a l 'a t s
alatxa	a l 'a tʃ a
alba	'a l β a
Alba	'a l β a
Albà	a l β 'a
albaïna	a l β a 'i n a
albanesos	a l β a n 'e z o s
albatros	a l β 'a t ɾ o s
albedòmetre	a l β e ð 'ɔ m e t ɾ e
albedòmetres	a l β e ð 'ɔ m e t ɾ e s
albelló	a l β e ʎ 'o
albes	'a l β e s
Albí	a l β 'i
albí	a l β 'i
albines	a l β 'i n e s
albinisme	a l β i n 'i z m e
albins	a l β 'i n s
albir	a l β 'i
albirada	a l β i ɾ 'a ð a
albirades	a l β i ɾ 'a ð e s
albirant	a l β i ɾ 'a n
albirar	a l β i ɾ 'a
albirat	a l β i ɾ 'a t
albirats	a l β i ɾ 'a t s
albó	a l β 'o
albor	a l β 'o
albufera	a l β u f 'e ɾ a
àlbum	'a l β u m
àlbums	'a l β u m s
alcabala	a l k a β 'a l a
alçada	a l s 'a ð a
alçades	a l s 'a ð e s
alcaldable	a l k a l d 'a β l e
alcaldada	a l k a l d 'a ð a
alcalde	a l k 'a l d e
alcaldes	a l k 'a l d e s
alcaldessa	a l k a l d 'e s a
alcaldies	a l k a l d 'i e s
alcalí	a l k a l 'i
alcalina	a l k a l 'i n a
alcalines	a l k a l 'i n e s
alcalinitzar	a l k a l i n i d z 'a
alcalins	a l k a l 'i n s
alcalosi	a l k a l 'ɔ z i
alcalosis	a l k a l 'ɔ z i s
alçament	a l s a m 'e n
alcans	a l k 'a n s
alçant	a l s 'a n
Alcàntara	a l k 'a n t a ɾ a
alçapremar	a l s a p ɾ e m 'a
alçar	a l s 'a
alcaravia	a l k a ɾ a β 'i a
Alcarràs	a l k a r 'a s
alcassaba	a l k a s 'a β a
alçat	a l s 'a t
alçats	a l s 'a t s
alci	'a l s i
Alcíone	a l s 'i o n e
alcoholisme	a l k o o l 'i z m e
aldarull	a l d a ɾ 'u ʎ
aldarulla	a l d a ɾ 'u ʎ a
aldea	a l d 'e a
alé	a l 'e
aleatori	a l e a t 'ɔ ɾ i
alegrada	a l e ɣ ɾ 'a ð a
alegrades	a l e ɣ ɾ 'a ð e s
alegrant	a l e ɣ ɾ 'a n
alegrar	a l e ɣ ɾ 'a
alegrat	a l e ɣ ɾ 'a t
alegrats	a l e ɣ ɾ 'a t s
alegre	a l 'e ɣ ɾ e
alegria	a l e ɣ ɾ 'i a
alegries	a l e ɣ ɾ 'i e s
aleloquímica	a l e l o k 'i m i k a
alemany	a l e m 'a ɲ
Alemanya	a l e m 'a ɲ a
alemanya	a l e m 'a ɲ a
alemanyes	a l e m 'a ɲ e s
alenada	a l e n 'a ð a
alenades	a l e n 'a ð e s
alenant	a l e n 'a n
alenat	a l e n 'a t
alenats	a l e n 'a t s
alentida	a l e n t 'i ð a
alentides	a l e n t 'i ð e s
alentidor	a l e n t i ð 'o
alentint	a l e n t 'i n
alentir	a l e n t 'i
alentit	a l e n t 'i t
alentits	a l e n t 'i t s
àlep	'a l e p
ales	'a l e s
aleta	a l 'e t a
aletejar	a l e t e ʒ 'a
aleví	a l e β 'i
alevina	a l e β 'i n a
alevines	a l e β 'i n e s
alevins	a l e β 'i n s
Alexandre	a l e k s 'a n d ɾ e
alexandrí	a l e k s a n d ɾ 'i
Alexandria	a l e k s a n d ɾ 'i a
alexandrina	a l e k s a n d ɾ 'i n a
alfa	'a l f a
alfabet	a l f a β 'e t
alfabètic	a l f a β 'ɛ t i k
alfabètica	a l f a β 'ɛ t i k a
alfabèticament	a l f a β 'ɛ t i k a m 'e n
alfabètics	a l f a β 'ɛ t i k s
alfabètiques	a l f a β 'ɛ t i k e s
alfabetitzada	a l f a β e t i d z 'a ð a
alfabetitzades	a l f a β e t i d z 'a ð e s
alfabetitzant	a l f a β e t i d z 'a n
alfabetitzar	a l f a β e t i d z 'a
alfabetitzat	a l f a β e t i d z 'a t
alfabetitzats	a l f a β e t i d z 'a t s
alfàbrega	a l f 'a β ɾ e ɣ a
alfàbregues	a l f 'a β ɾ e ɣ e s
alfac	a l f 'a k
alfals	a l f 'a l s
alfanumèric	a l f a n u m 'ɛ ɾ i k
alfanumèrica	a l f a n u m 'ɛ ɾ i k a
alfanumèrics	a l f a n u m 'ɛ ɾ i k s
alfanumèriques	a l f a n u m 'ɛ ɾ i k e s
alfes	'a l f e s
alficòs	a l f i k 'ɔ s
alfil	a l f 'i l
alfils	a l f 'i l s
alfòndec	a l f 'ɔ n d e k
Alfons	a l f 'o n s
alga	'a l ɣ a
àlgebra	'a l dʒ e β ɾ a
algebraic	a l dʒ e β ɾ 'a j k
àlgebres	'a l dʒ e β ɾ e s
algèbric	a l dʒ 'ɛ β ɾ i k
algèbrica	a l dʒ 'ɛ β ɾ i k a
algèbricament	a l dʒ 'ɛ β ɾ i k a m 'e n
algèbrics	a l dʒ 'ɛ β ɾ i k s
algèbriques	a l dʒ 'ɛ β ɾ i k e s
algebrista	a l dʒ e β ɾ 'i s t a
algebristes	a l dʒ e β ɾ 'i s t e s
àlgid	'a l dʒ i t
àlgida	'a l dʒ i ð a
àlgides	'a l dʒ i ð e s
àlgids	'a l dʒ i t s
algo	'a l ɣ o
algonquí	a l ɣ o ŋ k 'i
algorisme	a l ɣ o ɾ 'i z m e
algorísmic	a l ɣ o ɾ 'i z m i k
algú	a l ɣ 'u
algueresa	a l ɣ e ɾ 'e z a
algues	'a l ɣ e s
algun	a l ɣ 'u n
alguna	a l ɣ 'u n a
algunes	a l ɣ 'u n e s
alien	a l 'i e n
àliga	'a l i ɣ a
àligues	'a l i ɣ e s
aliment	a l i m 'e n
alimenta	a l i m 'e n t a
alimentada	a l i m e n t 'a ð a
alimentades	a l i m e n t 'a ð e s
alimentant	a l i m e n t 'a n
alimentar	a l i m e n t 'a
alimentares	a l i m e n t 'a ɾ e s
alimentari	a l i m e n t 'a ɾ i
alimentaria	a l i m e n t a ɾ 'i a
alimentaris	a l i m e n t 'a ɾ i s
alimentat	a l i m e n t 'a t
alimentats	a l i m e n t 'a t s
alimentava	a l i m e n t 'a β a
alimenti	a l i m 'e n t i
alineada	a l i n e 'a ð a
alineades	a l i n e 'a ð e s
alineament	a l i n e a m 'e n
alinear	a l i n e 'a
alineat	a l i n e 'a t
alineats	a l i n e 'a t s
alio	a l 'i o
alisis	a l 'i z i s
aljub	a l dʒ 'u p
all	'a ʎ
allà	a ʎ 'a
Al·là	a l 'a
allada	a ʎ 'a ð a
allassa	a ʎ 'a s a
al·legada	a l e ɣ 'a ð a
al·legades	a l e ɣ 'a ð e s
al·legant	a l e ɣ 'a n
al·legar	a l e ɣ 'a
al·legat	a l e ɣ 'a t
al·legats	a l e ɣ 'a t s
al·legòric	a l e ɣ 'ɔ ɾ i k
al·legòricament	a l e ɣ 'ɔ ɾ i k a m 'e n
al·lel	a l 'ɛ l
al·lèlic	a l 'ɛ l i k
al·lèlica	a l 'ɛ l i k a
al·lèliques	a l 'ɛ l i k e s
allèn	a ʎ 'ɛ n
alletada	a ʎ e t 'a ð a
alletades	a ʎ e t 'a ð e s
alletant	a ʎ e t 'a n
alletar	a ʎ e t 'a
alletat	a ʎ e t 'a t
alletats	a ʎ e t 'a t s
allí	a ʎ 'i
alliberada	a ʎ i β e ɾ 'a ð a
alliberades	a ʎ i β e ɾ 'a ð e s
alliberament	a ʎ i β e ɾ a m 'e n
alliberant	a ʎ i β e ɾ 'a n
alliberar	a ʎ i β e ɾ 'a
alliberat	a ʎ i β e ɾ 'a t
alliberats	a ʎ i β e ɾ 'a t s
alliçonar	a ʎ i s o n 'a
allisada	a ʎ i z 'a ð a
allisades	a ʎ i z 'a ð e s
allisadures	a ʎ i z a ð 'u ɾ e s
allisant	a ʎ i z 'a n
allisar	a ʎ i z 'a
allisat	a ʎ i z 'a t
allisatge	a ʎ i z 'a dʒ e
allisats	a ʎ i z 'a t s
allistar	a ʎ i s t 'a
allò	a ʎ 'ɔ
al·lòfon	a l 'ɔ f o n
al·lofònic	a l o f 'ɔ n i k
al·lofònica	a l o f 'ɔ n i k a
al·lofònics	a l o f 'ɔ n i k s
al·lofòniques	a l o f 'ɔ n i k e s
al·lota	a l 'ɔ t a
allotjada	a ʎ o dʒ 'a ð a
allotjades	a ʎ o dʒ 'a ð e s
allotjament	a ʎ o dʒ a m 'e n
allotjant	a ʎ o dʒ 'a n
allotjar	a ʎ o dʒ 'a
allotjat	a ʎ o dʒ 'a t
allotjats	a ʎ o dʒ 'a t s
al·lòtrop	a l 'ɔ t ɾ o p
al·lotropia	a l o t ɾ o p 'i a
alls	'a ʎ s
al·lucinar	a l u s i n 'a
al·ludir	a l u ð 'i
allunyada	a ʎ u ɲ 'a ð a
allunyades	a ʎ u ɲ 'a ð e s
allunyant	a ʎ u ɲ 'a n
allunyar	a ʎ u ɲ 'a
allunyat	a ʎ u ɲ 'a t
allunyats	a ʎ u ɲ 'a t s
al·lusiva	a l u z 'i β a
al·lusives	a l u z 'i β e s
almadrava	a l m a ð ɾ 'a β a
almanac	a l m a n 'a k
almanacs	a l m a n 'a k s
almanco	a l m 'a ŋ k o
almàssera	a l m 'a s e ɾ a
almegó	a l m e ɣ 'o
Almeria	a l m e ɾ 'i a
almescat	a l m e s k 'a t
almesquí	a l m e s k 'i
almirall	a l m i ɾ 'a ʎ
almirallat	a l m i ɾ a ʎ 'a t
almirallats	a l m i ɾ a ʎ 'a t s
almiralls	a l m i ɾ 'a ʎ s
almodí	a l m o ð 'i
almon	a l m 'o n
almón	a l m 'o n
almoràvit	a l m o ɾ 'a β i t
àloe	'a l o e
alpaca	a l p 'a k a
alpí	a l p 'i
alpina	a l p 'i n a
alpines	a l p 'i n e s
alpinisme	a l p i n 'i z m e
alpinista	a l p i n 'i s t a
alpinistes	a l p i n 'i s t e s
alpins	a l p 'i n s
alqueria	a l k e ɾ 'i a
alquibles	a l k 'i β l e s
alquímica	a l k 'i m i k a
alquimistes	a l k i m 'i s t e s
alquins	a l k 'i n s
alt	'a l
alta	'a l t a
Altai	a l t 'a j
altaic	a l t 'a j k
altar	a l t 'a
alterada	a l t e ɾ 'a ð a
alterades	a l t e ɾ 'a ð e s
alterant	a l t e ɾ 'a n
alterar	a l t e ɾ 'a
alterat	a l t e ɾ 'a t
alterats	a l t e ɾ 'a t s
altes	'a l t e s
altesa	a l t 'e z a
altímetre	a l t 'i m e t ɾ e
altimira	a l t i m 'i ɾ a
altiplà	a l t i p l 'a
altitud	a l t i t 'u t
altituds	a l t i t 'u t s
altiva	a l t 'i β a
altives	a l t 'i β e s
altra	'a l t ɾ a
altre	'a l t ɾ e
altres	'a l t ɾ e s
altri	'a l t ɾ i
altruisme	a l t ɾ u 'i z m e
altruista	a l t ɾ u 'i s t a
alts	'a l s
altura	a l t 'u ɾ a
altures	a l t 'u ɾ e s
aluata	a l u 'a t a
aluda	a l 'u ð a
aluminat	a l u m i n 'a t
alumini	a l u m 'i n i
alumínic	a l u m 'i n i k
alumínica	a l u m 'i n i k a
alumínics	a l u m 'i n i k s
alumíniques	a l u m 'i n i k e s
alumnes	a l 'u m n e s
alveolectomia	a l β e o l e k t o m 'i a
alvocat	a l β o k 'a t
alvocats	a l β o k 'a t s
alzina	a l z 'i n a
alzines	a l z 'i n e s
ama	'a m a
amabilitat	a m a β i l i t 'a t
amabilitats	a m a β i l i t 'a t s
amable	a m 'a β l e
amada	a m 'a ð a
amades	a m 'a ð e s
amadors	a m a ð 'o s
amaga	a m 'a ɣ a
amagada	a m a ɣ 'a ð a
amagades	a m a ɣ 'a ð e s
amagant	a m a ɣ 'a n
amagar	a m a ɣ 'a
amagat	a m a ɣ 'a t
amagatall	a m a ɣ a t 'a ʎ
amagats	a m a ɣ 'a t s
amago	a m 'a ɣ o
amaguem	a m a ɣ 'e m
amaguen	a m 'a ɣ e n
amagues	a m 'a ɣ e s
amainada	a m a j n 'a ð a
amainades	a m a j n 'a ð e s
amainant	a m a j n 'a n
amainar	a m a j n 'a
amainat	a m a j n 'a t
amainats	a m a j n 'a t s
amalgama	a m a l ɣ 'a m a
amalgames	a m a l ɣ 'a m e s
amanerar	a m a n e ɾ 'a
amanerat	a m a n e ɾ 'a t
amanida	a m a n 'i ð a
amanides	a m a n 'i ð e s
amanir	a m a n 'i
amansida	a m a n s 'i ð a
amansides	a m a n s 'i ð e s
amansint	a m a n s 'i n
amansir	a m a n s 'i
amansit	a m a n s 'i t
amansits	a m a n s 'i t s
amant	a m 'a n
amants	a m 'a n s
amar	a m 'a
amara	a m 'a ɾ a
amarada	a m a ɾ 'a ð a
amarades	a m a ɾ 'a ð e s
amarant	a m a ɾ 'a n
amarants	a m a ɾ 'a n s
amarar	a m a ɾ 'a
amarat	a m a ɾ 'a t
amaratge	a m a ɾ 'a dʒ e
amaratges	a m a ɾ 'a dʒ e s
