A	'a	 a 
batlles	b 'a l l e s	 b 'a t ʎ e s 
batxillejar	b a t ʃ i ʎ e d ʒ 'a ɾ	 b a t ʃ 'i ʎ e d ʒ 'a ɾ 
batxiller	b a t ʃ i ʎ 'e ɾ	 b a t ʃ i ʎ 'ɛ ɾ 
batxillerat	b a t ʃ i ʎ e ɾ 'a t	 b a t ʃ 'i ʎ e ɾ 'a t 
batxillerats	b a t ʃ i ʎ e ɾ 'a t s	 b a t ʃ 'i ʎ e ɾ 'a t s 
baül	b a 'u l	 b 'a 'u l 
be	b 'e	 b 'ɛ 
bec	b 'e k	 b 'ɛ k 
beca	b 'e k a	 b 'ɛ k a 
beccurt	b e k k 'u ɾ t	 b 'ɛ k k 'u ɾ t 
befa	b 'e f a	 b 'ɛ f a 
bei	b 'ɛ j	 b 'ɛ i 
beix	b 'e j ʃ	 b 'ɛ j ʃ 
Belgrad	b e l ɣ ɾ 'a t	 b 'ɛ l ɣ ɾ 'a t 
bell	b 'e ʎ	 b 'ɛ ʎ 
bella	b 'e ʎ a	 b 'ɛ ʎ a 
belles	b 'e ʎ e s	 b 'ɛ ʎ e s 
bellesa	b e ʎ 'e z a	 b e ʎ 'ɛ z a 
ben	b 'e n	 b 'ɛ n 
bena	b 'e n a	 b 'ɛ n a 
benedictí	b e n e ð i k t 'i	 b e n e ð 'i k t 'i 
beneficiarà	b e n e f i s i a ɾ 'a	 b e n e f i s i 'a ɾ 'a 
beneficiosa	b e n e f i s i 'o z a	 b e n e f i s i 'ɔ z a 
beneficioses	b e n e f i s i 'o z e s	 b e n e f i s i 'ɔ s e s 
beneficiosos	b e n e f i s i 'o z o s	 b e n e f i s i 'ɔ z o s 
beneitó	b e n e j t 'o	 b e n e 'i t 'o 
bens	b 'e n s	 b 'ɛ n s 
beques	b 'e k e s	 b 'ɛ k e s 
Bèrgam	b 'ɛ ɾ ɣ a m	 b 'ɛ ɾ ɣ 'a m 
berkeli	b e ɾ k 'ɛ l i	 b e ɾ 'ɛ 'ɛ l i 
berruga	b e r 'u ɣ a	 b 'ɛ r 'u ɣ a 
bes	b 'e s	 b 'ɛ s 
Besalú	b e z a l 'u	 b e z 'a l 'u 
beso	b 'e z o	 b 'ɛ z o 
bessona	b e s 'o n a	 b e s 'ɔ n a 
bessones	b e s 'o n e s	 b e s 'ɔ n e s 
bestiesa	b e s t i 'e z a	 b e s t i 'ɛ z a 
beta	b 'e t a	 b 'ɛ t a 
beu	b 'e w	 b 'ɛ w 
beure	b 'e w ɾ e	 b 'ɛ w ɾ e 
beus	b 'e w s	 b 'ɛ w s 
bicicleta	b i s i k l 'e t a	 b i s i k l 'ɛ t a 
bigudí	b i ɣ u ð 'i	 b i ɣ 'u ð 'i 
bilbaí	b i l β a 'i	 b i l β 'a t 
bilingüe	b i l 'i ŋ g w e	 b i l 'i ŋ g e 
bisbalenc	b i z β a l 'e ŋ k	 b i z β a l 'ɛ ŋ k 
bismut	b i z m 'u t	 b 'i z m 'u t 
Blai	b l 'a j	 b l 'a i 
blanqueig	b l a ŋ k 'e t ʃ	 b l a ŋ k 'ɛ t ʃ 
blavosa	b l a v 'o z a	 b l 'a v 'ɔ z a 
bleda	b l 'e ð a	 b l 'ɛ ð a 
bloc	b l 'ɔ k	 b l 'o k 
blocs	b l 'ɔ k s	 b l 'o k s 
bloqueig	b l o k 'e t ʃ	 b l 'ɔ k 'ɛ t ʃ 
bloquejada	b l o k e d ʒ 'a ð a	 b l 'ɔ k e d ʒ 'a ð a 
bloquejades	b l o k e d ʒ 'a ð e s	 b l 'ɔ k e d ʒ 'a ð e s 
bloquejar	b l o k e d ʒ 'a ɾ	 b l 'ɔ k e d ʒ 'a ɾ 
bloquejat	b l o k e d ʒ 'a t	 b l 'ɔ k e d ʒ 'a t 
bloquejats	b l o k e d ʒ 'a t s	 b l 'ɔ k e d ʒ 'a t s 
boca	b 'o k a	 b 'ɔ k a 
boda	b 'o ð a	 b 'ɔ ð a 
bodega	b o ð 'e ɣ a	 b o ð 'ɛ ɣ a 
bodes	b 'o ð e s	 b 'ɔ ð e s 
boga	b 'o ɣ a	 b 'ɔ ɣ a 
boicotejada	b o j k o t e d ʒ 'a ð a	 b 'ɔ j k o t e d ʒ 'a ð a 
boicotejades	b o j k o t e d ʒ 'a ð e s	 b 'ɔ j k o t e d ʒ 'a ð e s 
boicotejar	b o j k o t e d ʒ 'a ɾ	 b 'ɔ j k o t e d ʒ 'a ɾ 
boicotejat	b o j k o t e d ʒ 'a t	 b 'ɔ j k o t e d ʒ 'a t 
boicotejats	b o j k o t e d ʒ 'a t s	 b 'ɔ j k o t e d ʒ 'a t s 
boig	b 'ɔ t ʃ	 b 'o t ʃ 
boirina	b o j ɾ 'i n a	 b o i ɾ 'i n a 
boirós	b o j ɾ 'o s	 b o i ɾ 'o s 
boirum	b o j ɾ 'u m	 b 'ɔ j ɾ 'u m 
boixerica	b o j ʃ e ɾ 'i k a	 b 'ɔ j ʃ e ɾ 'i k a 
boixerola	b o j ʃ e ɾ 'ɔ l a	 b 'ɔ j ʃ e ɾ 'ɔ l a 
bol	b 'ɔ l	 b 'o l 
bolca	b 'o l k a	 b 'ɔ l k a 
bolet	b o l 'e t	 b o l 'ɛ t 
boletaire	b o l e t 'a j ɾ e	 b o l e t 'a 'i ɾ e 
bolets	b o l 'e t s	 b o l 'ɛ t s 
bolígrafs	b o l 'i ɣ ɾ a f s	 b o l 'i ɣ ɾ 'a f s 
bolívar	b o l 'i v a ɾ	 b o l 'i v 'a ɾ 
bolquen	b 'o l k e n	 b 'ɔ l k e n 
bolquer	b o l k 'e ɾ	 b 'ɔ l k 'ɛ ɾ 
bomba	b 'o m b a	 b 'ɔ m b a 
bombardeig	b o m b a ɾ ð 'e t ʃ	 b o m b a ɾ ð 'ɛ t ʃ 
bombarder	b o m b a ɾ ð 'e ɾ	 b o m b a ɾ ð 'ɛ ɾ 
bomber	b o m b 'e ɾ	 b 'o m b 'ɛ ɾ 
bombes	b 'o m b e s	 b 'ɔ m b e s 
bombeta	b o m b 'e t a	 b 'o m b 'ɛ t a 
bombo	b 'o m b o	 b 'ɔ m b o 
bombolla	b o m b 'o ʎ a	 b o m b 'ɔ ʎ a 
bonet	b o n 'e t	 b o n 'ɛ t 
boques	b 'o k e s	 b 'ɔ k e s 
borda	b 'o ɾ ð a	 b 'ɔ ɾ ð a 
Bordeus	b o ɾ ð 'e w s	 b 'o ɾ ð 'ɛ w s 
bordo	b 'o ɾ ð o	 b 'ɔ ɾ ð o 
borinot	b o ɾ i n 'ɔ t	 b o ɾ i n 'o t 
borratxera	b o r a t ʃ 'e ɾ a	 b o r 'a t ʃ 'ɛ ɾ a 
borrosa	b o r 'o z a	 b o r 'ɔ z a 
borrut	b o r 'u t	 b 'o r 'u t 
borsa	b 'o ɾ s a	 b 'ɔ ɾ s a 
borses	b 'o ɾ s e s	 b 'ɔ ɾ s e s 
bossa	b 'o s a	 b 'ɔ s a 
bosses	b 'o s e s	 b 'ɔ s e s 
bossut	b o s 'u t	 b 'ɔ s 'u t 
botella	b o t 'e ʎ a	 b o t 'ɛ ʎ a 
botifler	b o t i f l 'e ɾ	 b o t i f l 'ɛ ɾ 
botiguer	b o t i ɣ 'e ɾ	 b o t i ɣ 'ɛ ɾ 
bou	b 'ɔ w	 b 'o w 
bous	b 'ɔ w s	 b 'o 'u s 
boxa	b 'o k s a	 b 'ɔ k s a 
boxes	b 'o k s e s	 b 'ɔ k s e s 
braçalet	b ɾ a s a l 'e t	 b ɾ a s a l 'ɛ t 
bragueta	b ɾ a ɣ 'e t a	 b ɾ a ɣ 'ɛ t a 
brànquia	b ɾ 'a ŋ k i a	 b ɾ 'a ŋ k 'i a 
brànquies	b ɾ 'a ŋ k i e s	 b ɾ 'a ŋ k 'i e s 
brasiler	b ɾ a z i l 'e ɾ	 b ɾ a z i l 'ɛ ɾ 
brega	b ɾ 'e ɣ a	 b ɾ 'ɛ ɣ a 
bressol	b ɾ e s 'ɔ l	 b ɾ e s 'o l 
bretxa	b ɾ 'e t ʃ a	 b ɾ 'ɛ t ʃ a 
breu	b ɾ 'e w	 b ɾ 'ɛ w 
breus	b ɾ 'e w s	 b ɾ 'ɛ w s 
brindarem	b ɾ i n d a ɾ 'e m	 b ɾ i n d a ɾ 'ɛ m 
brindem	b ɾ i n d 'e m	 b ɾ i n d 'ɛ m 
broc	b ɾ 'ɔ k	 b ɾ 'o k 
broda	b ɾ 'o ð a	 b ɾ 'ɔ ð a 
broida	b ɾ 'ɔ j ð a	 b ɾ 'ɔ 'i ð a 
broides	b ɾ 'ɔ j ð e s	 b ɾ 'ɔ 'i ð e s 
brolla	b ɾ 'o ʎ a	 b ɾ 'ɔ ʎ a 
brollen	b ɾ 'o ʎ e n	 b ɾ 'ɔ ʎ e n 
broma	b ɾ 'o m a	 b ɾ 'ɔ m a 
bromera	b ɾ o m 'e ɾ a	 b ɾ o m 'ɛ ɾ a 
bromes	b ɾ 'o m e s	 b ɾ 'ɔ m e s 
bronquial	b ɾ o ŋ k i 'a l	 b ɾ 'ɔ ŋ k i 'a l 
bronquials	b ɾ o ŋ k i 'a l s	 b ɾ 'ɔ ŋ k i 'a l s 
bronquitis	b ɾ o ŋ k 'i t i s	 b ɾ 'ɔ ŋ k 'i t i s 
bronze	b ɾ 'o n z e	 b ɾ 'ɔ n z e 
brou	b ɾ 'ɔ w	 b ɾ 'o w 
bruel	b ɾ u 'ɛ l	 b ɾ 'u 'ɛ l 
bruguera	b ɾ u ɣ 'e ɾ a	 b ɾ 'u ɣ 'ɛ ɾ a 
bruixeria	b ɾ u j ʃ e ɾ 'i a	 b ɾ 'u j ʃ e ɾ 'i a 
bruixeries	b ɾ u j ʃ e ɾ 'i e s	 b ɾ 'u j ʃ e ɾ 'i e s 
bruixot	b ɾ u j ʃ 'ɔ t	 b ɾ u j ʃ 'o t 
brullola	b ɾ u ʎ 'ɔ l a	 b ɾ 'u ʎ 'ɔ l a 
brunzir	b ɾ u n z 'i ɾ	 b ɾ 'u n z 'i ɾ 
brunzit	b ɾ u n z 'i t	 b ɾ 'u n z 'i t 
Brussel·les	b ɾ u s 'ɛ l e s	 b ɾ 'u s 'ɛ l e s 
búbal	b 'u β a l	 b 'u β 'a l 
budells	b u ð 'e ʎ s	 b u ð 'ɛ l s 
búfal	b 'u f a l	 b 'u f 'a l 
búfals	b 'u f a l s	 b 'u f 'a l s 
bufera	b u f 'e ɾ a	 b u f 'ɛ ɾ a 
bufet	b u f 'e t	 b u f 'ɛ t 
bufeta	b u f 'e t a	 b u f 'ɛ t a 
búgula	b 'u ɣ u l a	 b 'u ɣ 'u l a 
buit	b w 'i t	 b 'u 'i t 
búlgar	b 'u l ɣ a ɾ	 b 'u l ɣ 'a ɾ 
búlgara	b 'u l ɣ a ɾ a	 b 'u l ɣ 'a ɾ a 
búlgares	b 'u l ɣ a ɾ e s	 b 'u l ɣ 'a ɾ e s 
bunyol	b u ɲ 'ɔ l	 b u ɲ 'o l 
burgesa	b u ɾ d ʒ 'e z a	 b 'u ɾ d ʒ 'ɛ z a 
burgesos	b u ɾ d ʒ 'e z o s	 b 'u ɾ d ʒ 'ɛ z o s 
burgundi	b u ɾ ɣ 'u n d i	 b 'u ɾ ɣ 'u n d i 
busseig	b u s 'e t ʃ	 b 'u s 'ɛ t ʃ 
buté	b u t 'e	 b 'u t 'e 
butlla	b 'u l l a	 b 'u t ʎ a 
butlles	b 'u l l e s	 b 'u t ʎ e s 
butlletins	b u l l e t 'i n s	 b u ʎ l e t 'i n s 
cabdell	k a b d 'e ʎ	 k a b d 'ɛ ʎ 
cabeça	k a β 'ɛ s a	 k 'a β 'ɛ s a 
cabeçada	k a β e s 'a ð a	 k 'a β e s 'a ð a 
cabeçuda	k a β e s 'u ð a	 k 'a β e s 'u ð a 
cabell	k a β 'e ʎ	 k a β 'ɛ ʎ 
cabellera	k a β e ʎ 'e ɾ a	 k a β e ʎ 'ɛ ɾ a 
Cabrera	k a β ɾ 'e ɾ a	 k a β ɾ 'ɛ ɾ a 
cacera	k a s 'e ɾ a	 k a s 'ɛ ɾ a 
cadell	k a ð 'e ʎ	 k a ð 'ɛ ʎ 
cadena	k a ð 'e n a	 k a ð 'ɛ n a 
cadireta	k a ð i ɾ 'e t a	 k a ð i ɾ 'ɛ t a 
caganer	k a ɣ a n 'e ɾ	 k a ɣ a n 'ɛ ɾ 
caient	k a j 'e n t	 k a j 'ɛ n t 
caiguda	k a j ɣ 'u ð a	 k a i ɣ 'u ð a 
caigudes	k a j ɣ 'u ð e s	 k a i ɣ 'u ð e s 
caigut	k a j ɣ 'u t	 k a i ɣ 'u t 
caiguts	k a j ɣ 'u t s	 k a i ɣ 'u t s 
caixer	k a j ʃ 'e ɾ	 k a j ʃ 'ɛ ɾ 
calabruix	k a l a β ɾ 'u j ʃ	 k a l 'a β ɾ 'u j ʃ 
calabruixa	k a l a β ɾ 'u j ʃ a	 k a l 'a β ɾ 'u j ʃ a 
calabruixar	k a l a β ɾ u j ʃ 'a ɾ	 k a l a β ɾ 'u i ʃ 'a ɾ 
calamarsejar	k a l a m a ɾ s e d ʒ 'a ɾ	 k a l a m 'a ɾ s e d ʒ 'a ɾ 
calàndria	k a l 'a n d ɾ i a	 k a l 'a n d ɾ 'i a 
calavera	k a l a v 'e ɾ a	 k a l a v 'ɛ ɾ a 
calb	k 'a l p	 k 'a l i 
calculem	k a l k u l 'e m	 k a l k u l 'ɛ m 
caldera	k a l d 'e ɾ a	 k a l d 'ɛ ɾ a 
calent	k a l 'e n t	 k a l 'ɛ n t 
caler	k a l 'e ɾ	 k a l 'ɛ ɾ 
cambrer	k a m b ɾ 'e ɾ	 k a m b ɾ 'ɛ ɾ 
cambrera	k a m b ɾ 'e ɾ a	 k a m b ɾ 'ɛ ɾ a 
camell	k a m 'e ʎ	 k a m 'ɛ l i 
camioner	k a m i o n 'e ɾ	 k a m i o n 'ɛ ɾ 
camiseta	k a m i z 'e t a	 k a m i s 'ɛ t a 
campament	k a m p a m 'e n t	 k 'a m p a m 'ɛ n t 
camperol	k a m p e ɾ 'ɔ l	 k a m p e ɾ 'o l 
campestre	k a m p 'e s t ɾ e	 k a m p 'ɛ s t ɾ e 
camps	k 'a m s	 k 'a m p s 
canadenc	k a n a ð 'e ŋ k	 k a n a ð 'ɛ ŋ k 
canadenca	k a n a ð 'e ŋ k a	 k a n a ð 'ɛ ŋ k a 
canadenques	k a n a ð 'e ŋ k e s	 k a n a ð 'ɛ ŋ k e s 
canceller	k a n s e ʎ 'e ɾ	 k a n s e ʎ 'ɛ ɾ 
canceroses	k a n s e ɾ 'o z e s	 k a n s e ɾ 'ɔ z e s 
càncers	k 'a n s e ɾ s	 k 'a n s 'e ɾ s 
cançoner	k a n s o n 'e ɾ	 k a n s o n 'ɛ ɾ 
càndids	k 'a n d i t s	 k 'a n d i 'a s 
canell	k a n 'e ʎ	 k a n 'ɛ l i 
canells	k a n 'e ʎ s	 k a n 'ɛ l s 
caníbals	k a n 'i β a l s	 k a n 'i β 'a l s 
canoa	k a n 'o a	 k a n 'ɔ a 
cansament	k a n s a m 'e n t	 k 'a n s a m 'ɛ n t 
cantimplora	k a n t i m p l 'o ɾ a	 k a n t i m p l 'ɔ ɾ a 
cants	k 'a n s	 k 'a n t s 
canyella	k a ɲ 'e ʎ a	 k a ɲ 'ɛ ʎ a 
capçalera	k a p s a l 'e ɾ a	 k a p s a l 'ɛ ɾ a 
capdavall	k a b d a v 'a ʎ	 k a p d a v 'a ʎ 
capseta	k a p s 'e t a	 k a p s 'ɛ t a 
capteniment	k a p t e n i m 'e n t	 k a p t 'ɛ n i m 'ɛ n t 
caputxeta	k a p u t ʃ 'e t a	 k a p 'u t ʃ 'ɛ t a 
caputxí	k a p u t ʃ 'i	 k a p 'u t ʃ 'i 
caputxina	k a p u t ʃ 'i n a	 k a p 'u t ʃ 'i n a 
caputxino	k a p u t ʃ 'i n o	 k a p 'u t ʃ 'i n o 
caputxins	k a p u t ʃ 'i n s	 k a p 'u t ʃ 'i n s 
carabassejar	k a ɾ a β a s e d ʒ 'a ɾ	 k a ɾ 'a β a s e d ʒ 'a ɾ 
carabassó	k a ɾ a β a s 'o	 k a ɾ 'a β a s 'o 
carantoines	k a ɾ a n t 'ɔ j n e s	 k a ɾ a n t 'ɔ i n e s 
carena	k a ɾ 'e n a	 k a ɾ 'ɛ n a 
careta	k a ɾ 'e t a	 k a ɾ 'ɛ t a 
cargol	k a ɾ ɣ 'ɔ l	 k a ɾ ɣ 'o l 
caribeny	k a ɾ i β 'e ɲ	 k a ɾ i β 'ɛ ɲ 
caricaturesc	k a ɾ i k a t u ɾ 'e s k	 k a ɾ i k a t 'u ɾ 'ɛ s k 
carmeltazita	k a ɾ m e l t a z 'i t a	 k a ɾ m 'ɛ l t a z 'i t a 
carnet	k a ɾ n 'e t	 k a ɾ n 'ɛ t 
carnisser	k a ɾ n i s 'e ɾ	 k a ɾ n i s 'ɛ ɾ 
carpeta	k a ɾ p 'e t a	 k a ɾ p 'ɛ t a 
carrer	k a r 'e ɾ	 k a r 'ɛ ɾ 
carrera	k a r 'e ɾ a	 k a r 'ɛ ɾ a 
carret	k a r 'e t	 k a r 'ɛ t 
carretera	k a r e t 'e ɾ a	 k a r e t 'ɛ ɾ a 
cartaginesos	k a ɾ t a d ʒ i n 'e z o s	 k a ɾ t a d ʒ i n 'ɛ z o s 
cartell	k a ɾ t 'e ʎ	 k a ɾ t 'ɛ ʎ 
carter	k a ɾ t 'e ɾ	 k a ɾ t 'ɛ ɾ 
cartera	k a ɾ t 'e ɾ a	 k a ɾ t 'ɛ ɾ a 
cartílag	k a ɾ t 'i l a k	 k a ɾ t 'i l 'a k 
cartilaginoses	k a ɾ t i l a d ʒ i n 'o z e s	 k a ɾ t i l a d ʒ i n 'ɔ z e s 
cartílags	k a ɾ t 'i l a k s	 k a ɾ t 'i l 'a k s 
casament	k a z a m 'e n t	 k 'a z a m 'ɛ n t 
casella	k a z 'e ʎ a	 k a z 'ɛ ʎ a 
caserna	k a z 'ɛ ɾ n a	 k a s 'ɛ ɾ n a 
caseta	k a z 'e t a	 k a z 'ɛ t a 
casquet	k a s k 'e t	 k a s k 'ɛ t 
casset	k a s 'e t	 k a s 'ɛ t 
castanyer	k a s t a ɲ 'e ɾ	 k a s t 'a ɲ 'ɛ ɾ 
castell	k a s t 'e ʎ	 k a s t 'ɛ l i 
casteller	k a s t e ʎ 'e ɾ	 k a s t e ʎ 'ɛ ɾ 
catastròfic	k a t a s t ɾ 'ɔ f i k	 k 'a t a s t ɾ 'ɔ f i k 
catastròfica	k a t a s t ɾ 'ɔ f i k a	 k 'a t a s t ɾ 'ɔ f i k a 
catastròfics	k a t a s t ɾ 'ɔ f i k s	 k 'a t a s t ɾ 'ɔ f i k s 
catastròfiques	k a t a s t ɾ 'ɔ f i k e s	 k 'a t a s t ɾ 'ɔ f i k e s 
catastrofisme	k a t a s t ɾ o f 'i z m e	 k 'a t a s t ɾ o f 'i z m e 
catorze	k a t 'o ɾ z e	 k a t 'ɔ ɾ z e 
cautelar	k a w t e l 'a ɾ	 k 'a w t e l 'a ɾ 
cautelós	k a w t e l 'o s	 k 'a w t e l 'o s 
cauts	k 'a w t s	 k 'a 'u t s 
cautxú	k a w t ʃ 'u	 k a 'u t ʃ 'u 
cavaller	k a v a ʎ 'e ɾ	 k a v 'a ʎ 'ɛ ɾ 
cavalleria	k a v a ʎ e ɾ 'i a	 k a v 'a ʎ e ɾ 'i a 
cavalleries	k a v a ʎ e ɾ 'i e s	 k a v 'a ʎ e ɾ 'i e s 
cavallet	k a v a ʎ 'e t	 k a v 'a ʎ 'ɛ t 
ce	s 'e	 s 'ɛ 
cec	s 'e k	 s 'ɛ k 
cecs	s 'e k s	 s 'ɛ k s 
cedre	s 'e ð ɾ e	 s 'ɛ ð ɾ e 
cega	s 'e ɣ a	 s 'ɛ ɣ a 
cegues	s 'e ɣ e s	 s 'ɛ ɣ e s 
ceguesa	s e ɣ 'e z a	 s e ɣ 'ɛ z a 
cella	s 'e ʎ a	 s 'ɛ ʎ a 
celles	s 'e ʎ e s	 s 'ɛ ʎ e s 
celluda	s e ʎ 'u ð a	 s 'e ʎ 'u ð a 
celludes	s e ʎ 'u ð e s	 s 'e ʎ 'u ð e s 
cellut	s e ʎ 'u t	 s 'e ʎ 'u t 
celluts	s e ʎ 'u t s	 s 'e ʎ 'u t s 
celtibèric	s e l t i β 'ɛ ɾ i k	 s 'ɛ l t i β 'ɛ ɾ i k 
cena	s 'e n a	 s 'ɛ n a 
cendrer	s e n d ɾ 'e ɾ	 s e n d ɾ 'ɛ ɾ 
cens	s 'e n s	 s 'ɛ n s 
censos	s 'e n s o s	 s 'ɛ n s o s 
censura	s e n s 'u ɾ a	 s 'e n s 'u ɾ a 
censures	s e n s 'u ɾ e s	 s 'e n s 'u ɾ e s 
censuri	s e n s 'u ɾ i	 s 'e n s 'u ɾ i 
censuris	s e n s 'u ɾ i s	 s 'e n s 'u ɾ i s 
censuro	s e n s 'u ɾ o	 s 'e n s 'u ɾ o 
centra	s 'e n t ɾ a	 s 'ɛ n t ɾ a 
centre	s 'e n t ɾ e	 s 'ɛ n t ɾ e 
centren	s 'e n t ɾ e n	 s 'ɛ n t ɾ e n 
centres	s 'e n t ɾ e s	 s 'ɛ n t ɾ e s 
cèntrics	s 'ɛ n t ɾ i k s	 s 'ɛ n t ɾ 'i k s 
centro	s 'e n t ɾ o	 s 'ɛ n t ɾ o 
centúria	s e n t 'u ɾ i a	 s 'e n t 'u ɾ i a 
ceptre	s 'e p t ɾ e	 s 'ɛ p t ɾ e 
cera	s 'e ɾ a	 s 'ɛ ɾ a 
cercatresors	s e ɾ k a t ɾ e z 'o ɾ s	 s e ɾ k 'a t ɾ e z 'o ɾ s 
cèrcols	s 'ɛ ɾ k o l s	 s 'ɛ ɾ k 'ɔ l s 
ceres	s 'e ɾ e s	 s 'ɛ ɾ e s 
cernuda	s e ɾ n 'u ð a	 s 'ɛ ɾ n 'u ð a 
cernudes	s e ɾ n 'u ð e s	 s 'ɛ ɾ n 'u ð e s 
cernut	s e ɾ n 'u t	 s 'ɛ ɾ n 'u t 
cernuts	s e ɾ n 'u t s	 s 'ɛ ɾ n 'u t s 
cerquem	s e ɾ k 'e m	 s e ɾ k 'ɛ m 
cervell	s e ɾ v 'e ʎ	 s e ɾ v 'ɛ ʎ 
cervesa	s e ɾ v 'e z a	 s e ɾ v 'ɛ z a 
Cèsar	s 'ɛ z a ɾ	 s 'ɛ z 'a ɾ 
cessa	s 'e s a	 s 'ɛ s a 
cessament	s e s a m 'e n t	 s 'ɛ s a m 'ɛ n t 
cessen	s 'e s e n	 s 'ɛ s e n 
cessin	s 'e s i n	 s 'ɛ s i n 
cèstrum	s 'ɛ s t ɾ u m	 s 'ɛ s t ɾ 'u m 
ciberespai	s i β e ɾ e s p 'a j	 s i β e ɾ e s p 'a i 
ciberespais	s i β e ɾ e s p 'a j s	 s i β e ɾ e s p 'a i s 
Cíclades	s 'i k l a ð e s	 s 'i k l 'a ð e s 
cigarret	s i ɣ a r 'e t	 s i ɣ a r 'ɛ t 
cigarreta	s i ɣ a r 'e t a	 s i ɣ a r 'ɛ t a 
cilíndrica	s i l 'i n d ɾ i k a	 s i l 'i n d ɾ 'i k a 
ciment	s i m 'e n t	 s 'i m 'ɛ n t 
cimera	s i m 'e ɾ a	 s i m 'ɛ ɾ a 
cínamom	s 'i n a m o m	 s 'i n a m 'o m 
cinema	s i n 'e m a	 s i n 'ɛ m a 
cinglera	s i ŋ g l 'e ɾ a	 s i ŋ g l 'ɛ ɾ a 
cintura	s i n t 'u ɾ a	 s 'i n t 'u ɾ a 
cintures	s i n t 'u ɾ e s	 s 'i n t 'u ɾ e s 
circuit	s i ɾ k w 'i t	 s 'i ɾ k 'u 'i t 
circuits	s i ɾ k w 'i t s	 s 'i ɾ k 'u 'i t s 
cirera	s i ɾ 'e ɾ a	 s i ɾ 'ɛ ɾ a 
cirereta	s i ɾ e ɾ 'e t a	 s i ɾ e ɾ 'ɛ t a 
cirurgia	s i ɾ u ɾ d ʒ 'i a	 s i ɾ 'u ɾ d ʒ 'i a 
cirurgies	s i ɾ u ɾ d ʒ 'i e s	 s i ɾ 'u ɾ d ʒ 'i e s 
cistell	s i s t 'e ʎ	 s i s t 'ɛ l i 
cistercenc	s i s t e ɾ s 'e ŋ k	 s i s t e ɾ s 'ɛ ŋ k 
citem	s i t 'e m	 s i t 'ɛ m 
ciutadà	s i w t a ð 'a	 s 'i w t 'a ð 'a 
ciutadana	s i w t a ð 'a n a	 s 'i w t a ð 'a n a 
ciutadanes	s i w t a ð 'a n e s	 s 'i w t a ð 'a n e s 
ciutadania	s i w t a ð a n 'i a	 s 'i w t 'a ð a n 'i a 
ciutadans	s i w t a ð 'a n s	 s 'i w t a ð 'a n s 
ciutadella	s i w t a ð 'e ʎ a	 s 'i w t a ð 'ɛ ʎ a 
Ciutadella	s i w t a ð 'e ʎ a	 s 'i w t a ð 'ɛ ʎ a 
claqueta	k l a k 'e t a	 k l a k 'ɛ t a 
clarinet	k l a ɾ i n 'e t	 k l a ɾ i n 'ɛ t 
classificarem	k l a s i f i k a ɾ 'e m	 k l a s i f i k a ɾ 'ɛ m 
classifiquem	k l a s i f i k 'e m	 k l a s i f i k 'ɛ m 
clatell	k l a t 'e ʎ	 k l a t 'ɛ ʎ 
clauer	k l a w 'e ɾ	 k l a w 'ɛ ɾ 
clausura	k l a w z 'u ɾ a	 k l 'a w z 'u ɾ a 
claveguera	k l a v e ɣ 'e ɾ a	 k l a v e ɣ 'ɛ ɾ a 
clavicèmbal	k l a v i s 'ɛ m b a l	 k l a v i s 'ɛ m b 'a l 
clot	k l 'ɔ t	 k l 'o t 
clou	k l 'ɔ w	 k l 'o w 
cobla	k 'o β l a	 k 'ɔ β l a 
cobles	k 'o β l e s	 k 'ɔ β l e s 
cobra	k 'o β ɾ a	 k 'ɔ β ɾ a 
cobren	k 'o β ɾ e n	 k 'ɔ β ɾ e n 
cobres	k 'o β ɾ e s	 k 'ɔ β ɾ e s 
cobro	k 'o β ɾ o	 k 'ɔ β ɾ o 
coc	k 'ɔ k	 k 'o k 
coco	k 'o k o	 k 'ɔ k o 
coctelera	k o k t e l 'e ɾ a	 k o k t e l 'ɛ ɾ a 
còctels	k 'ɔ k t e l s	 k 'ɔ k t 'ɛ l s 
coet	k o 'e t	 k 'ɔ 'ɛ t 
cofoi	k o f 'ɔ j	 k o f 'o i 
cofre	k 'o f ɾ e	 k 'ɔ f ɾ e 
cogombre	k o ɣ 'o m b ɾ e	 k o ɣ 'ɔ m b ɾ e 
cogullada	k o ɣ u ʎ 'a ð a	 k o ɣ 'u ʎ 'a ð a 
coiot	k o j 'ɔ t	 k o i 'o t 
coit	k 'ɔ j t	 k 'o 'i t 
colecistectomia	k o l e s i s t e k t o m 'i a	 k o l e s 'i s t e k t o m 'i a 
colecistectomies	k o l e s i s t e k t o m 'i e s	 k o l e s 'i s t e k t o m 'i e s 
colibrí	k o l i β ɾ 'i	 k o l 'i β ɾ 'i 
collut	k o ʎ 'u t	 k 'o ʎ 'u t 
colonialisme	k o l o n i a l 'i z m e	 k o l o n 'i a l 'i z m e 
colonialista	k o l o n i a l 'i s t a	 k o l o n 'i a l 'i s t a 
colossos	k o l 'o s o s	 k o l 'ɔ s o s 
columnista	k o l u m n 'i s t a	 k o l 'u m n 'i s t a 
columnistes	k o l u m n 'i s t e s	 k o l 'u m n 'i s t e s 
colza	k 'o l z a	 k 'ɔ l z a 
colze	k 'o l z e	 k 'ɔ l z e 
colzes	k 'o l z e s	 k 'ɔ l z e s 
