big	b 'i tʃ
adduigueu	a d d u 'i ɣ 'u 'ɛ 'u
adiguerem	a ð i ɣ e ɾ 'ɛ m
adigueren	a ð i ɣ 'ɛ ɾ e n
adigueres	a ð i ɣ 'e ɾ e s
adiguereu	a ð 'i ɣ e ɾ 'ɛ 'u
adroguera	a ð ɾ o ɣ 'e ɾ a
adroguers	a ð ɾ o ɣ 'e s
adscrigue	a t s k ɾ 'i ɣ e
advenguem	a d b e ŋ g 'ɛ m
advengues	a d b 'ɛ ŋ g e s
advengueu	a d b e ŋ g 'u 'ɛ 'u
advinguem	a d b i ŋ g u 'ɛ m
advinguen	a d b 'i ŋ g e n
advingues	a d b 'i ŋ g e s
advingueu	a d b i ŋ g 'u 'ɛ 'u
adèfagues	a ð 'ɛ f a ɣ e s
afalaguem	a f a l a ɣ 'ɛ m
afalaguen	a f a l 'a ɣ e n
afalagues	a f a l 'a ɣ e s
afalagueu	a f a l a ɣ 'u 'ɛ 'u
afameguem	a f a m e ɣ 'ɛ m
afameguen	a f a m 'ɛ ɣ e n
afamegues	a f a m 'ɛ ɣ e s
afamegueu	a f a m e ɣ 'u 'ɛ 'u
afegiguem	a f e ʒ 'i ɣ 'u 'ɛ m
afegigueu	a f e ʒ 'i ɣ 'u 'ɛ 'u
afeixegue	a f e j ʃ 'ɛ ɣ e
afeixugue	a f e j ʃ 'u ɣ e
afetgegue	a f e tʃ 'ɛ ɣ e
afluiguem	a f l u 'i ɣ 'u 'ɛ m
afluigueu	a f l u 'i ɣ 'u 'ɛ 'u
afoguerat	a f o ɣ e ɾ 'a t
agraiguem	a ɣ ɾ a 'i ɣ 'u 'ɛ m
agraigueu	a ɣ ɾ a 'i ɣ 'u 'ɛ 'u
aguerreix	a ɣ e r 'ɛ j ʃ
aguerrida	a ɣ e r 'i ð a
aguerrien	a ɣ e r 'i e n
aguerries	a ɣ e r 'i e s
aguerrint	a ɣ e r 'i n
aguerrira	a ɣ e r 'i ɾ a
aguerrirà	a ɣ e r i ɾ 'a
aguerriré	a ɣ e r i ɾ 'e
aguerrits	a ɣ e r 'i t s
aguerríem	a ɣ e r 'i e m
aguerríeu	a ɣ e r 'i e u
aiguerada	a i ɣ e ɾ 'a ð a
aiguerola	a i ɣ e ɾ 'ɔ l a
aiguerols	a i ɣ e ɾ 'ɔ l s
aixanguer	a j ʃ a ŋ g 'e
aixinguer	a j ʃ i ŋ g 'e
ajaguerem	a ʒ a ɣ e ɾ 'ɛ m
ajagueren	a ʒ a ɣ 'ɛ ɾ e n
ajagueres	a ʒ a ɣ 'e ɾ e s
ajaguereu	a ʒ a ɣ e ɾ e 'u
ajupiguem	a ʒ u p i ɣ 'ɛ m
ajupigueu	a ʒ u p 'i ɣ 'u 'ɛ 'u
alberguem	a l β e ɾ ɣ u 'ɛ m
alberguen	a l β 'ɛ ɾ ɣ e n
alberguer	a l β e ɾ ɣ 'e
albergues	a l β 'ɛ ɾ ɣ e s
albergueu	a l β e ɾ ɣ 'u 'ɛ 'u
alguenyer	a l ɣ e ɲ 'e
algueresa	a l ɣ e ɾ 'ɛ z a
alguerons	a l ɣ e ɾ 'o n s
allarguem	a ʎ a ɾ ɣ u 'ɛ m
allarguen	a ʎ 'a ŋ g w e n
allargues	a ʎ 'a ɣ e s
allargueu	a ʎ a ɾ ɣ 'u 'ɛ 'u
allonguem	a ʎ o ŋ g u 'ɛ m
allonguen	a ʎ 'ɔ ŋ g e n
allongues	a ʎ 'ɔ ŋ g e s
allongueu	a ʎ o ŋ g 'u 'ɛ 'u
al·leguem	a l e ɣ u 'ɛ m
al·leguen	a l 'ɛ ɣ e n
al·legues	a l 'ɛ ɣ e s
al·legueu	a l e ɣ 'u 'ɛ 'u
al·ligueu	a l 'i ɣ 'u 'ɛ 'u
amaniguem	a m a n 'i ɣ 'u 'ɛ m
amanigueu	a m a n 'i ɣ 'u 'ɛ 'u
amanyague	a m a ɲ 'a ɣ e
amanyogue	a m a ɲ 'ɔ ɣ e
amarguege	a m a ɾ ɣ u 'ɛ ʒ e
amarguegi	a m a ɾ ɣ u 'ɛ ʒ i
amarguegí	a m a ɾ ɣ e ʒ 'i
amargueig	a m a ɾ ɣ u e 'i
amargueja	a m a ɾ ɣ u 'ɛ ʒ a
amarguejo	a m a ɾ ɣ 'ɛ ʒ o
amarguejà	a m a ɾ ɣ e ʒ 'a
amarguenc	a m a ɾ ɣ 'e ŋ
amarguesa	a m a ɾ ɣ 'ɛ z a
amarguets	a m a ɾ ɣ u 'ɛ t s
amazigues	a m a z 'i ɣ e s
amigueres	a m i ɣ 'e ɾ e s
amiguetes	a m i ɣ 'ɛ t e s
amollegue	a m o ʎ 'ɛ ɣ e
amuntegue	a m u n t 'ɛ ɣ e
analogues	a n a l 'ɔ ɣ e s
andeguera	a n d e ɣ 'e ɾ a
andeguers	a n d e ɣ 'e s
anàlogues	a n 'a l o ɣ e s
apaivague	a p a i β 'a ɣ e
apareguem	a p a ɾ e ɣ u 'ɛ m
apareguen	a p a ɾ 'ɛ ɣ e n
aparegueu	a p a ɾ e ɣ 'u 'ɛ 'u
apedregue	a p e ð ɾ 'ɛ ɣ e
apetiguem	a p e t 'i ɣ 'u 'ɛ m
apetigueu	a p e t 'i ɣ 'u 'ɛ 'u
apifugues	a p i f 'u ɣ e s
apollegue	a p o ʎ 'ɛ ɣ e
aporuguem	a p o ɾ 'u ɣ 'u 'ɛ m
aporuguen	a p o ɾ 'u ɣ e n
aporugues	a p o ɾ 'u ɣ e s
aporugueu	a p o ɾ 'u ɣ 'u 'ɛ 'u
aprenguem	a p ɾ e ŋ g 'ɛ m
aprenguen	a p ɾ 'ɛ ŋ g e n
aprengues	a p ɾ 'ɛ ŋ g e s
aprengueu	a p ɾ e ŋ g 'u 'ɛ 'u
apunyegue	a p u ɲ 'ɛ ɣ e
apífugues	a p 'i f u ɣ e s
arabigues	a ɾ a β 'i ɣ e s
arabogues	a ɾ a β 'ɔ ɣ e s
arenguera	a ɾ e ŋ g 'e ɾ a
argueixen	a ɾ ɣ 'ɛ j ʃ e n
argueixes	a ɾ ɣ 'ɛ j ʃ e s
argueixin	a ɾ ɣ 'ɛ j ʃ i n
argueixis	a ɾ ɣ 'ɛ j ʃ i s
arguellar	a ɾ ɣ e ʎ 'a
arguellat	a ɾ ɣ e ʎ 'a t
arguenell	a ɾ ɣ e n 'e ʎ
arguesque	a ɾ ɣ u 'ɛ s k e
arguesqui	a ɾ ɣ u 'ɛ s k i
arguiguem	a ɾ ɣ i ɣ u 'ɛ m
arguigueu	a ɾ ɣ i ɣ 'u 'ɛ 'u
arrenguem	a r e ŋ g 'ɛ m
arrenguen	a r 'ɛ ŋ g e n
arrengues	a r 'ɛ ŋ g e s
arrengueu	a r e ŋ g 'u 'ɛ 'u
artiguera	a ɾ t i ɣ 'e ɾ a
artiguers	a ɾ t i ɣ 'e s
aràbigues	a ɾ 'a β i ɣ e s
assedegue	a s e ð 'ɛ ɣ e
asseguera	a s e ɣ 'e ɾ a
astrugues	a s t ɾ 'u ɣ e s
atenguera	a t e ŋ g 'e ɾ a
atinguera	a t i ŋ g 'e ɾ a
atoniguem	a t o n 'i ɣ 'u 'ɛ m
atonigueu	a t o n 'i ɣ 'u 'ɛ 'u
atrafegue	a t ɾ a f 'ɛ ɣ e
atraguera	a t ɾ a ɣ 'e ɾ a
atziagues	a d z i 'a ɣ e s
avinguera	a β i ŋ g 'e ɾ a
badiguers	b a ð i ɣ 'e s
baguejada	b a ɣ e ʒ 'a ð a
baguejant	b a ɣ e ʒ 'a n
baguejara	b a ɣ e ʒ 'a ɾ a
baguejare	b a ɣ e ʒ 'a ɾ e
baguejarà	b a ɣ e ʒ a ɾ 'a
baguejaré	b a ɣ e ʒ a ɾ 'e
baguejats	b a ɣ e ʒ 'a t s
baguejava	b a ɣ e ʒ 'a β a
baguettes	b a ɣ 'ɛ t t e s
balagueri	b a l a ɣ 'ɛ ɾ i
balaguerí	b a l a ɣ e ɾ 'i
baleguers	b a l e ɣ 'e s
bandiguem	b a n d 'i ɣ 'u 'ɛ m
bandigueu	b a n d 'i ɣ 'u 'ɛ 'u
banyeguem	b a ɲ e ɣ u 'ɛ m
banyeguen	b a ɲ 'ɛ ɣ e n
banyegues	b a ɲ 'ɛ ɣ e s
banyegueu	b a ɲ e ɣ 'u 'ɛ 'u
barguenyo	b a ɾ ɣ u 'ɛ ɲ o
bargueños	b a ɾ ɣ 'ɛ l o s
barriguem	b a r 'i ɣ 'u 'ɛ m
barriguen	b a r 'i ɣ e n
barrigues	b a r 'i ɣ e s
barrigueu	b a r 'i ɣ 'u 'ɛ 'u
barruguet	b a r 'u ɣ 'u 'ɛ t
barzagues	b a ɾ z 'a ɣ e s
bastiguem	b a s t 'i ɣ 'u 'ɛ m
bastigueu	b a s t 'i ɣ 'u 'ɛ 'u
batangues	b a t 'a ŋ g e s
batzagues	b a d z 'a ɣ e s
batzeguem	b a d z e ɣ u 'ɛ m
batzeguen	b a d z 'ɛ g e n
batzegues	b a d z 'ɛ ɣ e s
batzegueu	b a d z e ɣ 'u 'ɛ 'u
beguessem	b e ɣ e s 'ɛ m
beguessen	b e ɣ u 'ɛ s e n
beguesses	b e ɣ u 'ɛ s e s
beguesseu	b e ɣ e s 'ɛ u
beguessim	b e ɣ e s 'i m
beguessin	b e ɣ u 'ɛ s i n
beguessis	b e ɣ u 'ɛ s i s
beguessiu	b e ɣ e s 'i u
beguetana	b e ɣ e t 'a n a
beguetans	b e ɣ e t 'a n s
belluguem	b e ʎ u ɣ 'ɛ m
belluguen	b e ʎ 'u ɣ e n
bellugues	b e ʎ 'u ɣ e s
belluguet	b e ʎ 'u ɣ 'u 'ɛ t
bellugueu	b e ʎ 'u ɣ 'u 'ɛ 'u
beneiguem	b e n e 'i ɣ 'u 'ɛ m
beneigueu	b e n e 'i ɣ 'u 'ɛ 'u
berrugues	b e r 'u ɣ e s
bestrague	b e s t ɾ 'a ɣ e
besuguera	b e z u ɣ 'e ɾ a
besuguers	b e z u ɣ 'e s
biguetana	b i ɣ e t 'a n a
biguetans	b i ɣ e t 'a n s
bilingues	b i l 'i ŋ g e s
biofagues	b i o f 'a ɣ e s
biologues	b i o l 'ɔ ɣ e s
bisnagues	b i z n 'a ɣ e s
bitzegues	b i d z 'ɛ ɣ e s
biòfagues	b i 'ɔ f a ɣ e s
biòlogues	b i 'ɔ l o ɣ e s
bodeguera	b o ð e ɣ 'e ɾ a
bodeguers	b o ð e ɣ 'e s
boguessem	b o ɣ e s 'ɛ m
boguessen	b 'ɔ ɣ 'u 'ɛ s e n
boguesses	b 'ɔ ɣ 'u 'ɛ s e s
boguesseu	b o ɣ e s 'ɛ u
boguessim	b o ɣ e s 'i m
boguessin	b 'ɔ ɣ 'u 'ɛ s i n
boguessis	b 'ɔ ɣ 'u 'ɛ s i s
boguessiu	b o ɣ e s 'i u
bolengues	b o l 'ɛ ŋ g e s
bonyiguem	b o ɲ 'i ɣ 'u 'ɛ m
bonyiguen	b o ɲ 'i ɣ e n
bonyigues	b o ɲ 'i ɣ e s
bonyigueu	b o ɲ 'i ɣ 'u 'ɛ 'u
boquiguem	b 'ɔ k 'i ɣ 'u 'ɛ m
boquigueu	b 'ɔ k 'i ɣ 'u 'ɛ 'u
borreguer	b o r e ɣ 'e
borregues	b o r 'ɛ ɣ e s
borrigues	b o r 'i ɣ e s
bossogues	b o s 'ɔ ɣ e s
botiguera	b o t i ɣ 'e ɾ a
botiguers	b o t i ɣ 'e s
botigueta	b o t i ɣ u 'ɛ t a
bourgueil	b o 'u ɣ u 'ɛ 'i l
braguetes	b ɾ a ɣ u 'ɛ t e s
breguegem	b ɾ e ɣ e ʒ 'ɛ m
breguegen	b ɾ e ɣ u 'ɛ ʒ e n
bregueges	b ɾ e ɣ u 'ɛ ʒ e s
breguegeu	b ɾ e ɣ e ʒ e 'u
breguegin	b ɾ e ɣ u 'ɛ ʒ i n
breguegis	b ɾ e ɣ u 'ɛ ʒ i s
breguegés	b ɾ e ɣ e ʒ 'e s
breguejam	b ɾ e ɣ e ʒ 'a m
breguejar	b ɾ e ɣ e ʒ 'a
breguejas	b ɾ e ɣ e ʒ 'a s
breguejat	b ɾ e ɣ e ʒ 'a t
breguejau	b ɾ e ɣ e ʒ 'a
bringuera	b ɾ i ŋ g 'e ɾ a
brofegues	b ɾ o f 'ɛ ɣ e s
brogiguem	b ɾ o ʒ 'i ɣ 'u 'ɛ m
brogigueu	b ɾ o ʒ 'i ɣ 'u 'ɛ 'u
brugueral	b ɾ u ɣ e ɾ 'a l
bruguerar	b ɾ u ɣ e ɾ 'a
brugueras	b ɾ 'u ɣ u 'ɛ ɾ 'a s
brugueres	b ɾ u ɣ 'e ɾ e s
brumiguem	b ɾ u m i ɣ 'ɛ m
brumigueu	b ɾ u m 'i ɣ 'u 'ɛ 'u
brusiguem	b ɾ u z i ɣ 'ɛ m
brusigueu	b ɾ u z 'i ɣ 'u 'ɛ 'u
bròfegues	b ɾ 'ɔ f e ɣ e s
bubingues	b u β 'i ŋ g e s
buixiguem	b u j ʃ i ɣ u 'ɛ m
buixigueu	b u j ʃ i ɣ 'u 'ɛ 'u
bulliguem	b u ʎ 'i ɣ 'u 'ɛ m
bulligueu	b u ʎ 'i ɣ 'u 'ɛ 'u
burgueres	b u ɾ ɣ 'e ɾ e s
caguerada	k a ɣ e ɾ 'a ð a
caguerola	k a ɣ e ɾ 'ɔ l a
caguerots	k a ɣ e ɾ 'ɔ t s
caguerris	k a ɣ 'ɛ r i s
caguessem	k a ɣ e s 'ɛ m
caguessen	k a ɣ 'ɛ s e n
caguesses	k a ɣ 'ɛ s e s
caguesseu	k a ɣ e s 'ɛ u
caguessim	k a ɣ e s 'i m
caguessin	k a ɣ 'ɛ s i n
caguessis	k a ɣ 'ɛ s i s
caguessiu	k a ɣ e s 'i u
caiguerem	k a j ɣ e ɾ 'ɛ m
caigueren	k a j ɣ 'ɛ ɾ e n
caigueres	k a j ɣ 'e ɾ e s
caiguereu	k a j ɣ e ɾ e 'u
calciguem	k a l s i ɣ 'ɛ m
calciguen	k a l s 'i ɣ e n
calcigues	k a l s 'i ɣ e s
calcigueu	k a l s 'i ɣ 'u 'ɛ 'u
calguerem	k a l ɣ e ɾ 'ɛ m
calgueren	k a l ɣ 'ɛ ɾ e n
calgueres	k a l ɣ 'e ɾ e s
calguereu	k a l ɣ e ɾ e 'u
campiguem	k a m p i ɣ 'ɛ m
campigueu	k a m p 'i ɣ 'u 'ɛ 'u
candiguem	k a n d 'i ɣ 'u 'ɛ m
candigueu	k a n d 'i ɣ 'u 'ɛ 'u
canguelis	k a ŋ g 'ɛ l i s
canguelos	k a ŋ g 'ɛ l o s
cantigues	k a n t 'i ɣ e s
canuguera	k a n u ɣ 'e ɾ a
capfoguer	k a p f o ɣ 'e
captingue	k a p t 'i ŋ g e
cardigues	k a ɾ d 'i ɣ e s
carpiguem	k a ɾ p i ɣ 'ɛ m
carpigueu	k a ɾ p i ɣ 'u 'ɛ 'u
carreguem	k a r e ɣ u 'ɛ m
carreguen	k a r 'ɛ ɣ e n
carregues	k a r 'ɛ ɣ e s
carregueu	k a r e ɣ 'u 'ɛ 'u
cartingue	k a ɾ t 'i ŋ g e
carvengue	k a m b 'ɛ ŋ g e
cassogues	k a s 'ɔ ɣ e s
castiguem	k a s t 'i ɣ 'u 'ɛ m
castiguen	k a s t 'i ɣ e n
castigues	k a s t 'i ɣ e s
castigueu	k a s t 'i ɣ 'u 'ɛ 'u
catalogue	k a t a l 'ɔ ɣ e
caveguell	k a β e ɣ 'e ʎ
caveguets	k a β e ɣ u 'ɛ t s
ceguessem	s e ɣ e s 'ɛ m
ceguessen	s e ɣ 'ɛ s e n
ceguesses	s e ɣ 'ɛ s e s
ceguesseu	s e ɣ e s 'ɛ u
ceguessim	s e ɣ e s 'i m
ceguessin	s e ɣ 'ɛ s i n
ceguessis	s e ɣ 'ɛ s i s
ceguessiu	s e ɣ e s 'i u
ceguetats	s e ɣ e t 'a t s
cenyiguem	s e ɲ 'i ɣ 'u 'ɛ m
cenyigueu	s e ɲ 'i ɣ 'u 'ɛ 'u
cerniguem	s e ɾ n 'i ɣ 'u 'ɛ m
cernigueu	s e ɾ n 'i ɣ 'u 'ɛ 'u
ciavoguem	s i a β o ɣ 'ɛ m
ciavoguen	s i a β 'ɔ ɣ e n
ciavogues	s i a β 'ɔ ɣ e s
ciavogueu	s 'i a β o ɣ 'ɛ 'u
clapiguem	k l a p i ɣ 'ɛ m
clapigueu	k l a p 'i ɣ 'u 'ɛ 'u
cloguerem	k l o ɣ e ɾ 'ɛ m
clogueren	k l o ɣ 'ɛ ɾ e n
clogueres	k l o ɣ 'e ɾ e s
cloguereu	k l 'ɔ ɣ e ɾ 'ɛ 'u
clérigues	k l 'e ɾ i ɣ e s
cobriguem	k o β ɾ 'i ɣ 'u 'ɛ m
cobrigueu	k o β ɾ 'i ɣ 'u 'ɛ 'u
coguessem	k o ɣ e s 'ɛ m
coguessen	k o ɣ 'ɛ s e n
coguesses	k o ɣ 'ɛ s e s
coguesseu	k o ɣ e s 'ɛ u
coguessim	k o ɣ e s 'i m
coguessin	k o ɣ 'ɛ s i n
coguessis	k o ɣ 'ɛ s i s
coguessiu	k o ɣ e s 'i u
colguerem	k o l ɣ e ɾ 'ɛ m
colgueren	k o l ɣ 'ɛ ɾ e n
colgueres	k o l ɣ 'e ɾ e s
colguereu	k o l ɣ e ɾ e 'u
colliguem	k o ʎ 'i ɣ 'u 'ɛ m
colligueu	k o ʎ 'i ɣ 'u 'ɛ 'u
Güell	g w 'e ʎ
agüem	a ɣ 'ɛ m
agüen	'a g w e n
agües	'a g w e s
agüeu	a ɣ e 'u
egüer	e ɣ 'e
egües	'ɛ g w e s
güelf	g w 'ɛ l f
Aigües	'a i g w e s
aigüer	a j ɣ 'e
egüera	e ɣ 'e ɾ a
egüers	e ɣ 'e s
güelfa	g w 'ɛ l f a
güelfs	g w 'ɛ l f s
güella	g w 'e ʎ a
güelli	g w 'ɛ ʎ i
güello	g w 'ɛ ʎ o
güells	g w 'e ʎ s
güellà	g w e ʎ 'a
güellí	g w e ʎ 'i
lagües	l 'a ɣ e s
lingüe	l 'i ŋ g w e
nigües	n 'i g w e s
sagües	s 'a g w e s
agüeroz	a g w e ɾ 'o
aigüera	a j ɣ 'e ɾ a
aigüers	a j ɣ 'e s
aigüeta	a j ɣ 'ɛ t a
argüeix	a g w 'ɛ j ʃ
cohigüe	k o 'a g w e
coligüe	k o l 'i g w e
egüeres	e ɣ 'e ɾ e s
enagües	a n 'a ɣ e s
enaigüe	a n 'a i dʒ e
esgüell	e z ɣ 'e ʎ
exangüe	e k s 'a ŋ g w e
exigües	e k s 'i g w e s
güelfes	g w 'ɛ l f e s
güellar	g w e ʎ 'a
güellat	g w e ʎ 'a t
güellau	g w e ʎ 'a u
güellem	g w e ʎ 'ɛ m
güellen	g w 'ɛ ʎ e n
güelles	g w 'e ʎ e s
güelleu	g w 'e ʎ 'ɛ 'u
güellin	g w 'ɛ ʎ i n
güellis	g w 'ɛ ʎ i s
güellés	g w e ʎ 'e s
higüela	i ɣ 'ɛ l a
llegües	ʎ 'ɛ g w e s
omagües	o m 'a ɣ e s
rangües	r 'a ŋ g w e s
següent	s e g w 'e n
ungüent	u ŋ g w 'e n
Sangüesa	s a ŋ g w 'ɛ z a
Titagües	t i t 'a g w e s
agüessin	a ɣ 'ɛ s i n
agüessis	a ɣ 'ɛ s i s
aigüeral	a j ɣ e ɾ 'a l
aigüeres	a j ɣ 'e ɾ e s
aigüerol	a j ɣ e ɾ 'ɔ l
aigüeser	a j ɣ e s 'e
ambigües	a m b 'i g w e s
argüeixi	a g w 'ɛ j ʃ i
argüeixo	a g w 'ɛ j ʃ o
bilingüe	b i l 'i ŋ g w e
cohigües	k o 'a g w e s
coligües	k o l 'i ɣ e s
desaigüe	d e z 'a i dʒ e
eixagüem	e j ʃ a ɣ 'ɛ m
eixagüen	e j ʃ 'a g w e n
eixagües	e j ʃ 'a g w e s
eixagüeu	'e j ʃ a ɣ 'ɛ 'u
enaigüem	a n a j ɣ 'ɛ m
enaigüen	a n 'a i g w e n
enaigües	a n 'a i ɣ e s
enaigüeu	a n 'a j ɣ 'ɛ 'u
esgüella	e z ɣ 'e ʎ a
esgüelle	e z ɣ 'ɛ ʎ e
esgüelli	e z ɣ 'ɛ ʎ i
esgüello	e z ɣ 'ɛ ʎ o
esgüells	e z ɣ 'e ʎ s
esgüellà	e z g w e ʎ 'a
esgüellí	e z g w e ʎ 'i
exangües	e k s 'a ŋ g w e s
exsangüe	e k s z 'a ŋ g w e
güellada	g w e ʎ 'a ð a
güellant	g w e ʎ 'a n
güellarà	g w e ʎ a ɾ 'a
güellaré	g w e ʎ a ɾ 'e
güellats	g w e ʎ 'a t s
güellava	g w e ʎ 'a β a
higüeles	i ɣ 'ɛ l e s
llengües	ʎ 'ɛ ŋ g w e s
llengüet	ʎ e ŋ g w 'ɛ t
macagües	m a k 'a g w e s
manigües	m a n 'i g w e s
patagües	p a t 'a g w e s
piragüer	p i ɾ a ɣ 'e
piragües	p i ɾ 'a g w e s
següents	s e g w 'e n s
sinagües	s i n 'a ɣ e s
ungüents	u ŋ g w 'e n s
Dosaigües	d o z 'a i ɣ e s
Setaigües	s e t 'a i dʒ e s
Titaigües	t i t 'a i dʒ e s
aigüerada	a j ɣ e ɾ 'a ð a
aigüerola	a j ɣ e ɾ 'ɔ l a
aigüerols	a j ɣ e ɾ 'ɔ l s
aigüerull	a j ɣ e ɾ 'u ʎ
aigüesera	a j ɣ e s 'e ɾ a
aigüesers	a j ɣ e s 'e s
aigüesser	a j ɣ e s 'e
argüeixen	a g w 'ɛ j ʃ e n
argüeixes	a g w 'ɛ j ʃ e s
argüeixin	a g w 'ɛ i ʃ i n
argüeixis	a g w 'ɛ j ʃ i s
argüesqui	a g w 'ɛ s k i
bilingües	b i l 'i ŋ g w e s
contigües	k o n t 'i g w e s
desaigüem	d e z a j ɣ 'ɛ m
desaigüen	d e z 'a i g w e n
desaigües	d e z 'a i ɣ e s
desaigüeu	d e z 'a j ɣ 'ɛ 'u
dosaigüer	d o z a i ɣ 'e
esgüellar	e z g w e ʎ 'a
esgüellat	e z g w e ʎ 'a t
esgüellau	e z g w e ʎ 'a u
esgüellem	'e z g w 'e ʎ 'ɛ m
esgüellen	e z ɣ 'ɛ ʎ e n
esgüelles	e z ɣ 'e ʎ e s
esgüelleu	'e z g w 'e ʎ 'ɛ 'u
esgüellin	e z ɣ 'ɛ ʎ i n
esgüellis	e z ɣ 'ɛ ʎ i s
esgüellés	'e z g w 'e ʎ 'e s
exsangües	e k s z 'a ŋ g w e s
güellades	g w e ʎ 'a ð e s
güellaran	g w e ʎ a ɾ 'a n
güellarem	g w e ʎ a ɾ 'ɛ m
güellaren	g w e ʎ 'a ɾ e n
güellares	g w e ʎ 'a ɾ e s
güellareu	g w e ʎ a ɾ e 'u
güellaria	g w e ʎ a ɾ 'i a
güellaràs	g w e ʎ a ɾ 'a s
güellaven	g w e ʎ 'a β e n
güellaves	g w e ʎ 'a β e s
güellàrem	g w e ʎ 'a ɾ e m
güellàreu	g w e ʎ 'a ɾ e u
güellàvem	g w e ʎ 'a β e m
güellàveu	g w e ʎ a β e 'u
hurtagües	u ɾ t 'a g w e s
llengüege	ʎ e ŋ g w 'ɛ ʒ e
llengüejà	ʎ e ŋ g w e ʒ 'a
llengüeta	ʎ e ŋ g w 'ɛ t a
macagüeta	m a k a g w 'ɛ t a
paraigüer	p a ɾ a j ɣ 'e
paraigües	p a ɾ 'a i dʒ e s
paraigüet	p a ɾ a j ɣ 'ɛ t
perigüell	p e ɾ i ɣ 'e ʎ
piragüera	p i ɾ a ɣ 'e ɾ a
piragüers	p i ɾ a ɣ 'e s
resaigües	r e z 'a i ɣ e s
saragüell	s a ɾ a ɣ 'e ʎ
setaigüer	s e t a j ɣ 'e
sotaigüem	s 'ɔ t 'a j ɣ 'ɛ m
sotaigüen	s o t 'a i g w e n
sotaigües	s o t 'a i dʒ e s
sotaigüeu	s 'ɔ t 'a j ɣ 'ɛ 'u
trilingüe	t ɾ i l 'i ŋ g w e
ungüenter	'u ŋ g w 'e n t 'e
unilingüe	u n i l 'i ŋ g w e
Aigüeroles	a j ɣ e ɾ 'ɔ l e s
Duesaigües	d u e s 'a i ɣ e s
Entraigües	a n t ɾ 'a i dʒ e s
Tramaigües	t ɾ a m 'a tʃ dʒ e s
agüelastra	a g w e l 'a s t ɾ a
agüelastre	a g w e l 'a s t ɾ e
aigüerades	a j ɣ e ɾ 'a ð e s
aigüerulls	a j ɣ e ɾ 'u ʎ s
aigüeseres	a j ɣ e s 'e ɾ e s
aigüessera	a j ɣ e s 'e ɾ a
aigüessers	a j ɣ e s 'e s
argüesquin	a g w 'ɛ s k i n
consegüent	k o n s e g w 'e n
esgüellada	e z g w e ʎ 'a ð a
esgüellant	e z g w e ʎ 'a n
esgüellara	e z g w e ʎ 'a ɾ a
esgüellarà	e z g w e ʎ a ɾ 'a
esgüellaré	e z g w e ʎ a ɾ 'e
esgüellats	e z g w e ʎ 'a t s
esgüellava	e z g w e ʎ 'a β a
güellarien	g w e ʎ a ɾ 'i e n
güellaries	g w e ʎ a ɾ 'i e s
güellaríem	g w e ʎ a ɾ 'i e m
güellaríeu	g w e ʎ a ɾ 'i e u
güellessin	g w e ʎ 'ɛ s i n
güellessis	g w e ʎ 'ɛ s i s
güelléssim	g w e ʎ 'e s i m
güelléssiu	g w 'e ʎ 'e s i 'u
llengüeges	ʎ e ŋ g w 'ɛ ʒ e s
llengüegeu	ʎ 'e ŋ g w e ʒ 'ɛ 'u
llengüegés	ʎ e ŋ g w e ʒ 'e s
llengüejar	ʎ e ŋ g w e ʒ 'a
llengüejat	ʎ e ŋ g w e ʒ 'a t
llengüetes	ʎ e ŋ g w 'ɛ t e s
macagüetes	m a k a g w 'ɛ t e s
monolingüe	m o n o l 'i ŋ g w e
nicaragües	n i k a ɾ 'a g w e s
paraigüera	p a ɾ a j ɣ 'e ɾ a
paraigüers	p a ɾ a j ɣ 'e s
paraigüets	p a ɾ a j ɣ 'ɛ t s
piragüeres	p i ɾ a ɣ 'e ɾ e s
redargüeix	r e ð a g w 'ɛ j ʃ
saragüells	s a ɾ a ɣ 'e ʎ s
subsegüent	s u p s e g w 'e n
titaigüenc	t i t a j g w 'e ŋ
trilingües	t ɾ i l 'i ŋ g w e s
ungüentari	u ŋ g w e n t 'a ɾ i
ungüentera	'u ŋ g w 'e n t 'e ɾ a
ungüenters	'u ŋ g w 'e n t 'e s
unilingües	u n i l 'i ŋ g w e s
agüelastres	a g w e l 'a s t ɾ e s
aigüesseres	a j ɣ e s 'e ɾ e s
bilingüezzs	b i l i ŋ g w 'ɛ z i s
catxalagües	k a tʃ a l 'a ɣ e s
consegüents	k o n s e g w 'e n s
desenaigüem	d e z e n a j ɣ 'ɛ m
desenaigüen	d e z e n 'a i g w e n
desenaigües	d e z e n 'a i ɣ e s
desenaigüeu	d e z e n 'a j ɣ 'ɛ 'u
desllengüem	d e z ʎ e ŋ g w 'ɛ m
desllengüen	d e z ʎ 'ɛ ŋ g w e n
desllengües	d e z ʎ 'ɛ ŋ g w e s
desllengüeu	d e z ʎ 'e ŋ g w 'ɛ 'u
duesaigüenc	d u e z a j ɣ 'e ŋ
eixagüessin	e j ʃ a ɣ 'ɛ s i n
eixagüessis	e j ʃ a ɣ 'ɛ s i s
enaigüessin	a n a j ɣ 'ɛ s i n
enaigüessis	a n a j ɣ 'ɛ s i s
esgüellades	e z g w e ʎ 'a ð e s
esgüellaran	e z g w e ʎ a ɾ 'a n
esgüellarem	e z g w e ʎ a ɾ 'ɛ m
