big	b 'i tʃ }
bigueres	b i ɣ 'e ɾ ə s }
biguetes	b i ɣ 'e t ə s }
bilingue	b i l 'i ŋ g ə }
bleiguem	b l ə j ɣ 'e m }
bleigueu	b l ə i ɣ 'ɛ w }
bloguera	b l o ɣ 'e ɾ ə }
bodeguer	b o ð ə ɣ 'e }
bodegues	b o ð 'ɛ ɣ ə s }
bofeguem	b o f ə ɣ 'e m }
bofeguen	b o f 'e ɣ ə n }
bofegues	b o f 'ɛ ɣ ə s }
bofegueu	b o f ə ɣ 'ɛ w }
bogueres	b o ɣ 'e ɾ ə s }
boneguem	b o n ə ɣ 'e m }
boneguen	b o n 'e ɣ ə n }
bonegues	b o n 'ɛ ɣ ə s }
bonegueu	b o n ə ɣ 'ɛ w }
boniguem	b o n i ɣ 'e m }
bonigueu	b o n i ɣ 'ɛ w }
bonyigue	b o ɲ 'i ɣ ə }
borugues	b o ɾ 'u ɣ ə s }
botiguem	b o t i ɣ 'e m }
botiguer	b o t i ɣ 'e }
botigues	b o t 'i ɣ ə s }
botigueu	b o t i ɣ 'ɛ w }
boïguers	b o i ɣ 'e s }
braguers	b ɾ ə ɣ 'e s }
bragueta	b ɾ ə ɣ 'e t ə }
breguege	b ɾ ə ɣ 'ə ʒ ə }
breguegi	b ɾ ə ɣ u 'ɛ ʒ i }
breguegí	b ɾ ə ɣ ə ʒ 'i }
bregueig	b ɾ ə ɣ 'e ʃ }
bregueja	b ɾ ə ɣ 'e ʒ ə }
breguejo	b ɾ ə ɣ 'ɛ ʒ o }
breguejà	b ɾ ə ɣ ə ʒ 'a }
bruguera	b ɾ u ɣ 'e ɾ ə }
bruguers	b ɾ u ɣ 'e s }
bufeguem	b u f ə ɣ 'e m }
bufeguen	b u f 'e ɣ ə n }
bufegues	b u f 'ɛ ɣ ə s }
bufegueu	b u f ə ɣ 'ɛ w }
bufogues	b u f 'ɔ ɣ ə s }
bugueres	b u ɣ 'e ɾ ə s }
burguera	b u ɾ ɣ 'e ɾ ə }
burguero	b u ɾ ɣ 'ɛ ɾ o }
burguers	b u ɾ ɣ 'e s }
bàcigues	b 'a s i ɣ ə s }
bòfegues	b 'ɔ f ə ɣ ə s }
caguelis	k ə ɣ u 'ɛ l i s }
cagueres	k ə ɣ 'e ɾ ə s }
caguerot	k ə ɣ ə ɾ 'ɔ t }
caguerri	k ə ɣ 'ɛ r i }
caguetes	k ə ɣ 'e t ə s }
caiguera	k ə j ɣ 'e ɾ ə }
calcigue	k ə l s 'i ɣ ə }
calguera	k ə l ɣ 'e ɾ ə }
caligues	k ə l 'i ɣ ə s }
calugues	k ə l 'u ɣ ə s }
cangueli	k ə ŋ g u 'ɛ l i }
canguelo	k ə ŋ g 'ɛ l o }
capiguem	k ə p i ɣ 'e m }
capiguen	k ə p 'i ɣ ə n }
capigues	k ə p 'i ɣ ə s }
capigueu	k ə p i ɣ 'ɛ w }
carregue	k ə r 'ə ɣ ə }
castigue	k ə s t 'i ɣ ə }
caveguet	k ə v ə ɣ 'e t }
cediguem	s ə ð i ɣ 'e m }
cedigueu	s ə ð i ɣ 'ɛ w }
cegueres	s ə ɣ 'e ɾ ə s }
ceguerós	s ə ɣ ə ɾ 'o s }
cegueses	s ə ɣ 'e s ə s }
ceguetat	s ə ɣ ə t 'a t }
ceguetes	s ə ɣ 'e t ə s }
ciavogue	s i ə v 'ɔ ɣ ə }
clergues	k l 'ɛ ɾ ɣ ə s }
cloguera	k l o ɣ 'e ɾ ə }
coguerem	k o ɣ ə ɾ 'e m }
cogueren	k o ɣ 'e ɾ ə n }
cogueres	k o ɣ 'e ɾ ə s }
coguereu	k o ɣ ə ɾ 'ə w }
colguera	k o l ɣ 'e ɾ ə }
commogue	k o m m 'ɔ ɣ ə }
Aguerrits	ə ɣ ə r 'i t s }
Alerigues	ə l ə ɾ 'i ɣ ə s }
Anguerola	ə ŋ g ə ɾ 'ɔ l ə }
Armenguer	ə ɾ m ə ŋ g 'e }
Artiguell	ə ɾ t i ɣ u 'e ʎ }
Artiguera	ə ɾ t i ɣ 'e ɾ ə }
Bailaguet	b ə j l ə ɣ 'e t }
Balagueró	b ə l ə ɣ ə ɾ 'o }
Belenguer	b ə l ə ŋ g 'e }
Berenguer	b ə ɾ ə ŋ g 'e }
Brugueres	b ɾ u ɣ 'e ɾ ə s }
Bruguerol	b ɾ u ɣ ə ɾ 'ɔ l }
Burniguer	b u ɾ n i ɣ 'e }
Correguem	k o r ə ɣ 'e m }
Càldegues	k 'a l d ə ɣ ə s }
Daguestan	d ə ɣ ə s t 'a n }
Domínguez	d o m i ŋ g 'ə z }
Escrigues	ə s k ɾ 'i ɣ ə s }
Esplugues	ə s p l 'u ɣ ə s }
Falaguera	f ə l ə ɣ 'e ɾ ə }
Falgueres	f ə l ɣ 'e ɾ ə s }
Figuereda	f i ɣ ə ɾ 'ə ð ə }
Figuerola	f i ɣ ə ɾ 'ɔ l ə }
Fulguenci	f u l ɣ 'ɛ n s i }
Fàbregues	f 'a β ɾ ə ɣ ə s }
Galleguet	g ə ʎ ə ɣ 'e t }
Garanguer	g ə ɾ ə ŋ g 'e }
Garriguer	g ə r i ɣ 'e }
Garrigues	g ə r 'i ɣ ə s }
Guernesey	g ə ɾ n ə z 'ə }
Guingueta	g i ŋ g 'e t ə }
Guiriguet	g i ɾ i ɣ 'e t }
Llarguers	ʎ ə ɾ ɣ 'e s }
Merangues	m ə ɾ 'a ŋ g ə s }
Messeguer	m ə s ə ɣ 'e }
Minguella	m i ŋ g 'e ʎ ə }
Noguereda	n o ɣ ə ɾ 'ə ð ə }
Noguerola	n o ɣ ə ɾ 'ɔ l ə }
Pedreguer	p ə ð ɾ ə ɣ 'e }
Perdiguer	p ə ɾ ð i ɣ 'e }
Puiggueró	p u tʃ ɣ ə ɾ 'o }
Refreguem	r ə f ɾ ə ɣ 'e m }
Rodríguez	r o ð ɾ 'i ɣ ə z }
Romeguera	r o m ə ɣ 'e ɾ ə }
Romeguers	r o m ə ɣ 'e s }
Sarguetal	s ə ɾ ɣ ə t 'a l }
Soriguera	s o ɾ i ɣ 'e ɾ ə }
Torrigues	t o r 'i ɣ ə s }
Traiguera	t ɾ ə j ɣ 'e ɾ ə }
Verdaguer	v ə ɾ ð ə ɣ 'e }
Verdeguer	v ə ɾ ð ə ɣ 'e }
Vingueren	v i ŋ g 'e ɾ ə n }
Xoriguera	ʃ o ɾ i ɣ 'e ɾ ə }
abassegue	ə β ə s 'ə ɣ ə }
abduiguem	ə β ð u i ɣ 'e m }
abduigueu	ə β ð u i ɣ 'ɛ w }
abofeguen	ə β o f 'e ɣ ə n }
abofegueu	ə β o f ə ɣ 'ɛ w }
aboliguem	ə β o l i ɣ 'e m }
aboligueu	ə β o l i ɣ 'ɛ w }
aboniguem	ə β o n i ɣ 'e m }
abonigueu	ə β o n i ɣ 'ɛ w }
abonyegue	ə β o ɲ 'ə ɣ ə }
aborregue	ə β o r 'ə ɣ ə }
absolguem	ə t s o l ɣ 'e m }
absolguen	ə t s 'ɔ l ɣ ə n }
absolgues	ə t s 'ɔ l ɣ ə s }
absolgueu	ə t s o l ɣ 'ɛ w }
abstingue	ə t s t 'i ŋ g ə }
abstrague	ə t s t ɾ 'a ɣ ə }
acorregue	ə k o r 'ə ɣ ə }
acudiguem	ə k u ð i ɣ 'e m }
acudigueu	ə k u ð i ɣ 'ɛ w }
adduiguem	ə ð ð u i ɣ 'e m }
adduigueu	ə ð ð u i ɣ 'ɛ w }
adiguerem	ə ð i ɣ ə ɾ 'e m }
adigueren	ə ð i ɣ 'e ɾ ə n }
adigueres	ə ð i ɣ 'e ɾ ə s }
adiguereu	ə ð i ɣ ə ɾ 'ə w }
adroguera	ə ð ɾ o ɣ 'e ɾ ə }
adroguers	ə ð ɾ o ɣ 'e s }
adscrigue	ə t s k ɾ 'i ɣ ə }
advenguem	ə ð v ə ŋ g 'e m }
advengues	ə ð v 'ɛ ŋ g ə s }
advengueu	ə ð v ə ŋ g 'ə w }
advinguem	ə ð v i ŋ g 'e m }
advinguen	ə ð v 'i ŋ g ə n }
advingues	ə ð v 'i ŋ g ə s }
advingueu	ə ð v i ŋ g 'ə w }
adèfagues	ə ð 'ə f ə ɣ ə s }
afalaguem	ə f ə l ə ɣ 'e m }
afalaguen	ə f ə l 'a ɣ ə n }
afalagues	ə f ə l 'a ɣ ə s }
afalagueu	ə f ə l ə ɣ 'ɛ w }
afameguem	ə f ə m ə ɣ 'e m }
afameguen	ə f ə m 'e ɣ ə n }
afamegues	ə f ə m 'ɛ ɣ ə s }
afamegueu	ə f ə m ə ɣ 'ɛ w }
afegiguem	ə f ə ʒ i ɣ 'e m }
afegigueu	ə f ə ʒ i ɣ 'ɛ w }
afeixegue	ə f ə ʃ 'ɛ ɣ ə }
afeixugue	ə f ə ʃ 'u ɣ ə }
afetgegue	ə f ə t ʒ 'ɛ ɣ ə }
afluiguem	ə f l u j ɣ 'e m }
afluigueu	ə f l u j ɣ 'ɛ w }
afoguerat	ə f o ɣ ə ɾ 'a t }
agraiguem	ə ɣ ɾ ə j ɣ 'e m }
agraigueu	ə ɣ ɾ ə i ɣ 'ɛ w }
aguerreix	ə ɣ ə r 'e ʃ }
aguerrida	ə ɣ ə r 'i ð ə }
aguerrien	ə ɣ ə r 'i ə n }
aguerries	ə ɣ ə r 'i ə s }
aguerrint	ə ɣ ə r 'i n t }
aguerrira	ə ɣ ə r 'i ɾ ə }
aguerrirà	ə ɣ ə r i ɾ 'a }
aguerriré	ə ɣ ə r i ɾ 'e }
aguerrits	ə ɣ ə r 'i t s }
aguerríem	ə ɣ ə r 'i ə m }
aguerríeu	ə ɣ ə r 'i ə w }
aiguerada	ə j ɣ ə ɾ 'a ð ə }
aiguerola	ə j ɣ ə ɾ 'ɔ l ə }
aiguerols	ə j ɣ ə ɾ 'ɔ l s }
aixanguer	ə ʃ ə ŋ g 'e }
aixinguer	ə ʃ i ŋ g 'e }
ajaguerem	ə ʒ ə ɣ ə ɾ 'e m }
ajagueren	ə ʒ ə ɣ 'e ɾ ə n }
ajagueres	ə ʒ ə ɣ 'e ɾ ə s }
ajaguereu	ə ʒ ə ɣ ə ɾ 'ə w }
ajupiguem	ə ʒ u p i ɣ 'e m }
ajupigueu	ə ʒ u p i ɣ 'ɛ w }
alberguem	ə l β ə ɾ ɣ 'e m }
alberguen	ə l β 'e ɾ ɣ ə n }
alberguer	ə l β ə ɾ ɣ 'e }
albergues	ə l β 'ɛ ɾ ɣ ə s }
albergueu	ə l β ə ɾ ɣ 'ɛ w }
alguenyer	ə l ɣ ə ɲ 'e }
algueresa	ə l ɣ ə ɾ 'e z ə }
alguerons	ə l ɣ ə ɾ 'o n s }
allarguem	ə ʎ ə ɾ ɣ 'e m }
allarguen	ə ʎ 'a ɾ ɣ ə n }
allargues	ə ʎ 'a ɾ ɣ ə s }
allargueu	ə ʎ ə ɾ ɣ 'ɛ w }
allonguem	ə ʎ o ŋ g 'e m }
allonguen	ə ʎ 'ɔ ŋ g ə n }
allongues	ə ʎ 'ɔ ŋ g ə s }
allongueu	ə ʎ o ŋ g 'ə w }
al·leguem	ə l ə ɣ 'e m }
al·leguen	ə l 'e ɣ ə n }
al·legues	ə l 'ə ɣ ə s }
al·legueu	ə l ə ɣ 'ɛ w }
al·ligueu	ə l i ɣ 'ɛ w }
amaniguem	ə m ə n i ɣ 'e m }
amanigueu	ə m ə n i ɣ 'ɛ w }
amanyague	ə m ə ɲ 'a ɣ ə }
amanyogue	ə m ə ɲ 'ɔ ɣ ə }
amarguege	ə m ə ɾ ɣ 'ə ʒ ə }
amarguegi	ə m ə ɾ ɣ u 'ɛ ʒ i }
amarguegí	ə m ə ɾ ɣ ə ʒ 'i }
amargueig	ə m ə ɾ ɣ 'e ʃ }
amargueja	ə m ə ɾ ɣ 'e ʒ ə }
amarguejo	ə m ə ɾ ɣ 'ɛ ʒ o }
amarguejà	ə m ə ɾ ɣ ə ʒ 'a }
amarguenc	ə m ə ɾ ɣ 'e ŋ k }
amarguesa	ə m ə ɾ ɣ 'e s ə }
amarguets	ə m ə ɾ ɣ 'e t s }
amazigues	ə m ə z 'i ɣ ə s }
amigueres	ə m i ɣ 'e ɾ ə s }
amiguetes	ə m i ɣ 'e t ə s }
amollegue	ə m o ʎ 'ə ɣ ə }
amuntegue	ə m u n t 'ə ɣ ə }
analogues	ə n ə l 'ɔ ɣ ə s }
andeguera	ə n d ə ɣ 'e ɾ ə }
andeguers	ə n d ə ɣ 'e s }
anàlogues	ə n 'a l o ɣ ə s }
apaivague	ə p ə i v 'a ɣ ə }
apareguem	ə p ə ɾ ə ɣ 'e m }
apareguen	ə p ə ɾ 'e ɣ ə n }
aparegueu	ə p ə ɾ ə ɣ 'ɛ w }
apedregue	ə p ə ð ɾ 'ə ɣ ə }
apetiguem	ə p ə t i ɣ 'e m }
apetigueu	ə p ə t i ɣ 'ɛ w }
apifugues	ə p i f 'u ɣ ə s }
apollegue	ə p o ʎ 'ə ɣ ə }
aporuguem	ə p o ɾ u ɣ 'e m }
aporuguen	ə p o ɾ 'u ɣ ə n }
aporugues	ə p o ɾ 'u ɣ ə s }
aporugueu	ə p o ɾ u ɣ 'ə w }
aprenguem	ə p ɾ ə ŋ g 'e m }
aprenguen	ə p ɾ 'e ŋ g ə n }
aprengues	ə p ɾ 'ɛ ŋ g ə s }
aprengueu	ə p ɾ ə ŋ g 'ə w }
apunyegue	ə p u ɲ 'ə ɣ ə }
apífugues	ə p 'i f u ɣ ə s }
arabigues	ə ɾ ə β 'i ɣ ə s }
arabogues	ə ɾ ə β 'ɔ ɣ ə s }
arenguera	ə ɾ ə ŋ g 'e ɾ ə }
argueixen	ə ɾ ɣ 'e ʃ ə n }
argueixes	ə ɾ ɣ 'e ʃ ə s }
argueixin	ə ɾ ɣ 'ɛ ʃ i n }
argueixis	ə ɾ ɣ 'ɛ ʃ i s }
arguellar	ə ɾ ɣ ə ʎ 'a }
arguellat	ə ɾ ɣ ə ʎ 'a t }
arguenell	ə ɾ ɣ ə n 'e ʎ }
arguesque	ə ɾ ɣ 'ə s k ə }
arguesqui	ə ɾ ɣ 'ə s k i }
arguiguem	ə ɾ ɣ i ɣ 'e m }
arguigueu	ə ɾ ɣ i ɣ 'ɛ w }
arrenguem	ə r ə ŋ g 'e m }
arrenguen	ə r 'e ŋ g ə n }
arrengues	ə r 'ɛ ŋ g ə s }
arrengueu	ə r ə ŋ g 'ə w }
artiguera	ə ɾ t i ɣ 'e ɾ ə }
artiguers	ə ɾ t i ɣ 'e s }
aràbigues	ə ɾ 'a β i ɣ ə s }
assedegue	ə s ə ð 'ɛ ɣ ə }
asseguera	ə s ə ɣ 'e ɾ ə }
astrugues	ə s t ɾ 'u ɣ ə s }
atenguera	ə t ə ŋ g 'e ɾ ə }
atinguera	ə t i ŋ g 'e ɾ ə }
atoniguem	ə t o n i ɣ 'e m }
atonigueu	ə t o n i ɣ 'ɛ w }
atrafegue	ə t ɾ ə f 'ɛ ɣ ə }
atraguera	ə t ɾ ə ɣ 'e ɾ ə }
atziagues	ə d z i 'a ɣ ə s }
avinguera	ə v i ŋ g 'e ɾ ə }
badiguers	b ə ð i ɣ 'e s }
baguejada	 b e ɣ ə ʒ 'a ð ə }
baguejant	 b e ɣ ə ʒ 'a n t }
baguejara	 b e ɣ ə ʒ 'a ɾ ə }
baguejare	 b e ɣ ə ʒ 'a ɾ ə }
baguejarà	 b e ɣ ə ʒ ə ɾ 'a }
baguejaré	 b e ɣ ə ʒ ə ɾ 'e }
baguejats	 b e ɣ ə ʒ 'a t s }
baguejava	 b e ɣ ə ʒ 'a v ə }
baguettes	b ə ɣ 'ə t t ə s }
balagueri	b ə l ə ɣ 'ɛ ɾ i }
balaguerí	b ə l ə ɣ ə ɾ 'i }
baleguers	b ə l ə ɣ 'e s }
bandiguem	b ə n d i ɣ 'e m }
bandigueu	b ə n d i ɣ 'ɛ w }
banyeguem	b ə ɲ ə ɣ 'e m }
banyeguen	b ə ɲ 'e ɣ ə n }
banyegues	b ə ɲ 'ə ɣ ə s }
banyegueu	b ə ɲ ə ɣ 'ɛ w }
barguenyo	b ə ɾ ɣ 'ə ɲ o }
bargueños	b ə ɾ ɣ 'ə z o s }
barriguem	b ə r i ɣ 'e m }
barriguen	b ə r 'i ɣ ə n }
barrigues	b ə r 'i ɣ ə s }
barrigueu	b ə r i ɣ 'ɛ w }
barruguet	b ə r u ɣ 'e t }
barzagues	b ə ɾ z 'a ɣ ə s }
bastiguem	b ə s t i ɣ 'e m }
bastigueu	b ə s t i ɣ 'ɛ w }
batangues	b ə t 'a ŋ g ə s }
batzagues	b ə d z 'a ɣ ə s }
batzeguem	b ə d z ə ɣ 'e m }
batzeguen	b ə d z 'e ɣ ə n }
batzegues	b ə d z 'ə ɣ ə s }
batzegueu	b ə d z ə ɣ 'ɛ w }
beguessem	b ə ɣ ə s 'e m }
beguessen	b ə ɣ 'e s ə n }
beguesses	b ə ɣ 'ə s ə s }
beguesseu	b ə ɣ ə s 'ɛ w }
beguessim	b ə ɣ ə s 'i m }
beguessin	b ə ɣ 'ə s i n }
beguessis	b ə ɣ 'ə s i s }
beguessiu	b ə ɣ ə s 'i w }
beguetana	b ə ɣ ə t 'a n ə }
beguetans	b ə ɣ ə t 'a n s }
belluguem	b ə ʎ u ɣ 'e m }
belluguen	b ə ʎ 'u ɣ ə n }
bellugues	b ə ʎ 'u ɣ ə s }
belluguet	b ə ʎ u ɣ 'e t }
bellugueu	b ə ʎ u ɣ 'ə w }
beneiguem	b ə n ə i ɣ 'e m }
beneigueu	b ə n ə i ɣ 'ɛ w }
berrugues	b ə r 'u ɣ ə s }
bestrague	b ə s t ɾ 'a ɣ ə }
besuguera	b ə z u ɣ 'e ɾ ə }
besuguers	b ə z u ɣ 'e s }
biguetana	b i ɣ ə t 'a n ə }
biguetans	b i ɣ ə t 'a n s }
bilingues	b i l 'i ŋ g ə s }
biofagues	b i o f 'a ɣ ə s }
biologues	b i o l 'ɔ ɣ ə s }
bisnagues	b i z n 'a ɣ ə s }
bitzegues	b i d z 'ɛ ɣ ə s }
biòfagues	b i 'ɔ f ə ɣ ə s }
biòlogues	b i 'ɔ l o ɣ ə s }
bodeguera	b o ð ə ɣ 'e ɾ ə }
bodeguers	b o ð ə ɣ 'e s }
boguessem	b o ɣ ə s 'e m }
boguessen	b o ɣ 'e s ə n }
boguesses	b o ɣ 'ə s ə s }
boguesseu	b o ɣ ə s 'ɛ w }
boguessim	b o ɣ ə s 'i m }
boguessin	b o ɣ 'ə s i n }
boguessis	b o ɣ 'ə s i s }
boguessiu	b o ɣ ə s 'i w }
bolengues	b o l 'ɛ ŋ g ə s }
bonyiguem	b o ɲ i ɣ 'e m }
bonyiguen	b o ɲ 'i ɣ ə n }
bonyigues	b o ɲ 'i ɣ ə s }
bonyigueu	b o ɲ i ɣ 'ɛ w }
boquiguem	b o k i ɣ 'e m }
boquigueu	b o k i ɣ 'ɛ w }
borreguer	b o r ə ɣ 'e }
borregues	b o r 'ə ɣ ə s }
borrigues	b o r 'i ɣ ə s }
bossogues	b o s 'ɔ ɣ ə s }
botiguera	b o t i ɣ 'e ɾ ə }
botiguers	b o t i ɣ 'e s }
botigueta	b o t i ɣ 'e t ə }
bourgueil	b o u ɾ ɣ u 'ə j l }
braguetes	b ɾ ə ɣ 'e t ə s }
breguegem	b ɾ ə ɣ ə ʒ 'e m }
breguegen	b ɾ ə ɣ 'e ʒ ə n }
bregueges	b ɾ ə ɣ 'ə ʒ ə s }
breguegeu	b ɾ ə ɣ ə ʒ 'ɛ w }
breguegin	b ɾ ə ɣ u 'ɛ ʒ i n }
breguegis	b ɾ ə ɣ u 'ɛ ʒ i s }
breguegés	b ɾ ə ɣ ə ʒ 'e s }
breguejam	b ɾ ə ɣ ə ʒ 'a m }
breguejar	b ɾ ə ɣ ə ʒ 'a }
breguejas	b ɾ ə ɣ u 'ɛ ʒ ə s }
breguejat	b ɾ ə ɣ ə ʒ 'a t }
breguejau	b ɾ ə ɣ ə ʒ 'a w }
bringuera	b ɾ i ŋ g 'e ɾ ə }
brofegues	b ɾ o f 'ɛ ɣ ə s }
brogiguem	b ɾ o ʒ i ɣ 'e m }
brogigueu	b ɾ o ʒ i ɣ 'ɛ w }
brugueral	b ɾ u ɣ ə ɾ 'a l }
bruguerar	b ɾ u ɣ ə ɾ 'a }
brugueras	b ɾ u ɣ 'ɛ ɾ ə s }
brugueres	b ɾ u ɣ 'e ɾ ə s }
brumiguem	b ɾ u m i ɣ 'e m }
brumigueu	b ɾ u m i ɣ 'ɛ w }
brusiguem	b ɾ u z i ɣ 'e m }
brusigueu	b ɾ u z i ɣ 'ɛ w }
bròfegues	b ɾ 'ɔ f ə ɣ ə s }
bubingues	b u β 'i ŋ g ə s }
buixiguem	b u ʃ i ɣ 'e m }
buixigueu	b u ʃ i ɣ 'ɛ w }
bulliguem	b u ʎ i ɣ 'e m }
bulligueu	b u ʎ i ɣ 'ɛ w }
burgueres	b u ɾ ɣ 'e ɾ ə s }
caguerada	k ə ɣ ə ɾ 'a ð ə }
caguerola	k ə ɣ ə ɾ 'ɔ l ə }
caguerots	k ə ɣ ə ɾ 'ɔ t s }
caguerris	k ə ɣ 'ɛ r i s }
caguessem	k ə ɣ ə s 'e m }
caguessen	k ə ɣ 'e s ə n }
caguesses	k ə ɣ 'ə s ə s }
caguesseu	k ə ɣ ə s 'ɛ w }
caguessim	k ə ɣ ə s 'i m }
caguessin	k ə ɣ 'ə s i n }
caguessis	k ə ɣ 'ə s i s }
caguessiu	k ə ɣ ə s 'i w }
caiguerem	k ə j ɣ ə ɾ 'e m }
caigueren	k ə j ɣ 'e ɾ ə n }
caigueres	k ə j ɣ 'e ɾ ə s }
caiguereu	k ə j ɣ ə ɾ 'ə w }
calciguem	k ə l s i ɣ 'e m }
calciguen	k ə l s 'i ɣ ə n }
calcigues	k ə l s 'i ɣ ə s }
calcigueu	k ə l s i ɣ 'ɛ w }
calguerem	k ə l ɣ ə ɾ 'e m }
calgueren	k ə l ɣ 'e ɾ ə n }
calgueres	k ə l ɣ 'e ɾ ə s }
calguereu	k ə l ɣ ə ɾ 'ə w }
campiguem	k ə m p i ɣ 'e m }
campigueu	k ə m p i ɣ 'ɛ w }
candiguem	k ə n d i ɣ 'e m }
candigueu	k ə n d i ɣ 'ɛ w }
canguelis	k ə ŋ g u 'ɛ l i s }
canguelos	k ə ŋ g 'ɛ l o s }
cantigues	k ə n t 'i ɣ ə s }
canuguera	k ə n u ɣ 'e ɾ ə }
capfoguer	k ə p f o ɣ 'e }
captingue	k ə t t 'i ŋ g ə }
cardigues	k ə ɾ ð 'i ɣ ə s }
carpiguem	k ə ɾ p i ɣ 'e m }
carpigueu	k ə ɾ p i ɣ 'ɛ w }
carreguem	k ə r ə ɣ 'e m }
carreguen	k ə r 'e ɣ ə n }
carregues	k ə r 'ə ɣ ə s }
carregueu	k ə r ə ɣ 'ɛ w }
cartingue	k ə ɾ t 'i ŋ g ə }
carvengue	k ə ɾ v 'ɛ ŋ g ə }
cassogues	k ə s 'ɔ ɣ ə s }
castiguem	k ə s t i ɣ 'e m }
castiguen	k ə s t 'i ɣ ə n }
castigues	k ə s t 'i ɣ ə s }
castigueu	k ə s t i ɣ 'ɛ w }
catalogue	k ə t ə l 'ɔ ɣ ə }
caveguell	k ə v ə ɣ 'e ʎ }
caveguets	k ə v ə ɣ 'e t s }
ceguessem	s ə ɣ ə s 'e m }
ceguessen	s ə ɣ 'e s ə n }
ceguesses	s ə ɣ 'ə s ə s }
ceguesseu	s ə ɣ ə s 'ɛ w }
ceguessim	s ə ɣ ə s 'i m }
ceguessin	s ə ɣ 'ə s i n }
ceguessis	s ə ɣ 'ə s i s }
ceguessiu	s ə ɣ ə s 'i w }
ceguetats	s ə ɣ ə t 'a t s }
cenyiguem	s ə ɲ i ɣ 'e m }
cenyigueu	s ə ɲ i ɣ 'ɛ w }
cerniguem	s ə ɾ n i ɣ 'e m }
cernigueu	s ə ɾ n i ɣ 'ɛ w }
ciavoguem	s i ə v o ɣ 'e m }
ciavoguen	s i ə v 'ɔ ɣ ə n }
ciavogues	s i ə v 'ɔ ɣ ə s }
ciavogueu	s i ə v o ɣ 'ɛ w }
clapiguem	k l ə p i ɣ 'e m }
clapigueu	k l ə p i ɣ 'ɛ w }
cloguerem	k l o ɣ ə ɾ 'e m }
clogueren	k l o ɣ 'e ɾ ə n }
clogueres	k l o ɣ 'e ɾ ə s }
cloguereu	k l o ɣ ə ɾ 'ə w }
clérigues	k l 'e ɾ i ɣ ə s }
cobriguem	k o β ɾ i ɣ 'e m }
cobrigueu	k o β ɾ i ɣ 'ɛ w }
coguessem	k o ɣ ə s 'e m }
coguessen	k o ɣ 'e s ə n }
coguesses	k o ɣ 'ə s ə s }
coguesseu	k o ɣ ə s 'ɛ w }
coguessim	k o ɣ ə s 'i m }
coguessin	k o ɣ 'ə s i n }
coguessis	k o ɣ 'ə s i s }
coguessiu	k o ɣ ə s 'i w }
colguerem	k o l ɣ ə ɾ 'e m }
colgueren	k o l ɣ 'e ɾ ə n }
colgueres	k o l ɣ 'e ɾ ə s }
colguereu	k o l ɣ ə ɾ 'ə w }
colliguem	k o ʎ i ɣ 'e m }
colligueu	k o ʎ i ɣ 'ɛ w }
Güell	ə w 'e ʎ }
agüem	ə ɣ ɾ 'e m }
agüen	'a  g e ə n }
agües	'a  g e ə s }
agüeu	ə ɣ u 'ɛ w }
egüer	ə ɣ u 'e }
egües	'ə  g e ə s }
güelf	g u 'ɛ l f }
Aigües	'a i  g e ə s }
aigüer	a j ə w 'e }
egüera	ə ɣ ɾ 'e ɾ ə }
egüers	ə ɣ u 'e s }
güelfa	g u 'ɛ l f ə }
güelfs	g u 'ɛ l i s }
güella	ə w 'e ʎ ə }
güelli	g w 'ɛ ʎ i }
güello	g w 'ɛ ʎ o }
güells	ə w 'e ʎ s }
güellà	 g e ə ʎ 'a }
güellí	 g e ə ʎ 'i }
lagües	l 'a ɣ e ə s }
lingüe	l 'i ŋ g w ə }
nigües	n 'i  g e ə s }
sagües	s 'a ɣ ɾ ə s }
agüeroz	ə ɣ ɾ ə ɾ 'o }
aigüera	a j ə w 'e ɾ ə }
aigüers	a j ə m 'e s }
aigüeta	a j ə 'u 'e t ə }
argüeix	a ɾ ə w 'e ʃ }
cohigüe	k o 'a  g e ə }
coligüe	k o l 'i  g e ə }
egüeres	ə ɣ ɾ 'e ɾ ə s }
enagües	ə n 'a ɣ e ə s }
enaigüe	ə n 'a i  g e ə }
esgüell	ə z ə w 'e ʎ }
exangüe	ə t s 'a ŋ g w ə }
exigües	ə t s 'i  g e ə s }
güelfes	g u 'ɛ l f ə s }
güellar	 g e ə ʎ 'a }
güellat	 g e ə ʎ 'a t }
güellau	 g e ə ʎ 'a w }
güellem	 g ə e ʎ 'e m }
güellen	ə w 'e ʎ ə n }
güelles	ə w 'e ʎ ə s }
güelleu	 g e ə ʎ 'ə w }
güellin	g w 'ɛ ʎ i n }
güellis	g w 'ɛ ʎ i s }
güellés	 g ə e ʎ 'e s }
higüela	i ə s 'ɛ l ə }
llegües	ʎ 'ə ɣ ɾ ə s }
omagües	o m 'a ɣ e ə s }
rangües	r 'a ŋ g w ə s }
següent	s ə ʒ w 'e n t }
ungüent	u ŋ g w 'e n t }
Sangüesa	s ə ŋ g w 'e s ə }
Titagües	t i t 'a ʒ i ə s }
agüessin	ə ɣ u 'ɛ s i n }
agüessis	ə ɣ u 'ɛ s i s }
aigüeral	a j ɣ ɾ ə ɾ 'a l }
aigüeres	a j ə ɾ 'e ɾ ə s }
aigüerol	a j ɣ ɾ ə ɾ 'ɔ l }
aigüeser	a j ɣ ɾ ə s 'e }
