a	ə
aconseguien	ə k o n s ə ɣ 'i ə n
aconseguim	ə k o n s ə ɣ 'i m
aconseguint	ə k o n s ə ɣ 'i n t
aconseguintho	ə k o n s ə ɣ 'i n t o
aconseguir	ə k o n s ə ɣ 'i
aconseguiran	ə k o n s ə ɣ i ɾ 'a n
aconseguirem	ə k o n s ə ɣ i ɾ 'ə m
aconseguiren	ə k o n s ə ɣ 'i ɾ ə n
aconseguireu	ə k o n s ə ɣ i ɾ 'ɛ w
aconseguirho	ə k o n s ə ɣ 'i ɾ o
aconseguiria	ə k o n s ə ɣ i ɾ 'i ə
aconseguirien	ə k o n s ə ɣ i ɾ 'i ə n
aconseguirla	ə k o n s ə ɣ 'i ɾ l ə
aconseguirlo	ə k o n s ə ɣ 'i ɾ l o
aconseguirlos	ə k o n s ə ɣ 'i ɾ l o s
aconseguirne	ə k o n s ə ɣ 'i ɾ n ə
aconseguirse	ə k o n s ə ɣ 'i ɾ s ə
aconseguirà	ə k o n s ə ɣ i ɾ 'a
aconseguiràs	ə k o n s ə ɣ i ɾ 'a s
aconseguiré	ə k o n s ə ɣ i ɾ 'e
aconseguiríem	ə k o n s ə ɣ i ɾ 'i ə m
aconseguissin	ə k o n s ə ɣ 'i s i n
aconseguit	ə k o n s ə ɣ 'i t
aconseguits	ə k o n s ə ɣ 'i t s
aconseguiu	ə k o n s ə ɣ 'i w
aconseguí	ə k o n s ə ɣ 'i
aconseguís	ə k o n s ə ɣ 'i s
aconsella	ə k o n s 'e ʎ ə
aconsellable	ə k o n s ə ʎ 'a b b l ə
aconsellables	ə k o n s ə ʎ 'a b b l ə s
aconsellant	ə k o n s ə ʎ 'a n t
aconsellar	ə k o n s ə ʎ 'a
aconsellaria	ə k o n s ə ʎ ə ɾ 'i ə
aconsellarlos	ə k o n s ə ʎ 'a ɾ l o s
aconsellat	ə k o n s ə ʎ 'a t
aconsellava	ə k o n s ə ʎ 'a v ə
aconsellaven	ə k o n s ə ʎ 'a v ə n
aconsellem	ə k o n s ə ʎ 'ə m
aconsellen	ə k o n s 'e ʎ ə n
aconselli	ə k o n s 'ɛ ʎ i
aconsellin	ə k o n s 'ɛ ʎ i n
aconsello	ə k o n s 'e ʎ o
acontenta	ə k o n t 'e n t ə
acontentar	ə k o n t ə n t 'a
acontentarse	ə k o n t ə n t 'a ɾ s ə
acontentava	ə k o n t ə n t 'a v ə
acontenten	ə k o n t 'e n t ə n
acontrapèl	ə k o n t ɾ ə p 'ə l
acord	ə k 'o ɾ t
acorda	ə k 'o ɾ ð ə
acordada	ə k o ɾ ð 'a ð ə
acordades	ə k o ɾ ð 'a ð ə s
acordar	ə k o ɾ ð 'a
acordaran	ə k o ɾ ð ə ɾ 'a n
acordarà	ə k o ɾ ð ə ɾ 'a
acordat	ə k o ɾ ð 'a t
acordats	ə k o ɾ ð 'a t s
acordava	ə k o ɾ ð 'a v ə
acorden	ə k 'o ɾ ð ə n
acordes	ə k 'o ɾ ð ə s
acordessin	ə k o ɾ ð 'e s i n
acordi	ə k 'ɔ ɾ ð i
acordin	ə k 'ɔ ɾ ð i n
acordionista	ə k o ɾ ð i o n 'i s t ə
acordionistes	ə k o ɾ ð i o n 'i s t ə s
acordions	ə k o ɾ ð i 'o n s
acordió	ə k o ɾ ð i 'o
acordonada	ə k o ɾ ð o n 'a ð ə
acordonar	ə k o ɾ ð o n 'a
acordonat	ə k o ɾ ð o n 'a t
acords	ə k 'o ɾ t s
acordés	ə k o ɾ ð 'e s
acorralada	ə k o r ə l 'a ð ə
acorralar	ə k o r ə l 'a
acorralat	ə k o r ə l 'a t
acorralats	ə k o r ə l 'a t s
acorrecuita	ə k o r ə k 'u j t ə
acosta	ə k 'o s t ə
acostament	ə k o s t ə m 'e n t
acostaments	ə k o s t ə m 'e n s
acostant	ə k o s t 'a n t
acostantse	ə k o s t 'a n s ə
acostar	ə k o s t 'a
acostaran	ə k o s t ə ɾ 'a n
acostaria	ə k o s t ə ɾ 'i ə
acostarla	ə k o s t 'a ɾ l ə
acostarlos	ə k o s t 'a ɾ l o s
acostarnos	ə k o s t 'a ɾ n o s
acostarse	ə k o s t 'a ɾ s ə
acostarshi	ə k o s t 'a ɾ s i
acostarà	ə k o s t ə ɾ 'a
acostat	ə k o s t 'a t
acostathi	ə k o s t 'a t i
acostava	ə k o s t 'a v ə
acostaven	ə k o s t 'a v ə n
acostem	ə k o s t 'ə m
acosten	ə k 'o s t ə n
acostes	ə k 'o s t ə s
acostessin	ə k o s t 'e s i n
acosti	ə k 'ɔ s t i
acostin	ə k 'ɔ s t i n
acosto	ə k 'o s t o
acostuma	ə k o s t 'u m ə
acostumada	ə k o s t u m 'a ð ə
acostumades	ə k o s t u m 'a ð ə s
acostumant	ə k o s t u m 'a n t
acostumar	ə k o s t u m 'a
acostumarnos	ə k o s t u m 'a ɾ n o s
acostumarse	ə k o s t u m 'a ɾ s ə
acostumat	ə k o s t u m 'a t
acostumats	ə k o s t u m 'a t s
acostumava	ə k o s t u m 'a v ə
acostumaven	ə k o s t u m 'a v ə n
acostumaves	ə k o s t u m 'a v ə s
acostumem	ə k o s t u m 'ə m
acostumen	ə k o s t 'u m ə n
acostumes	ə k o s t 'u m ə s
acostumeu	ə k o s t u m 'ɛ w
acostumi	ə k o s t 'u m i
acostumin	ə k o s t 'u m i n
acostumo	ə k o s t 'u m o
acostés	ə k o s t 'e s
acota	ə k 'ɔ t ə
acotacions	ə k o t ə s i 'o n s
acotació	ə k o t ə s i 'o
acotar	ə k o t 'a
acovardir	ə k o v ə ɾ ð 'i
acre	'a k ɾ ə
acredita	ə k ɾ ə ð 'i t ə
acreditacions	ə k ɾ ə ð i t ə s i 'o n s
acreditació	ə k ɾ ə ð i t ə s i 'o
acreditada	ə k ɾ ə ð i t 'a ð ə
acreditades	ə k ɾ ə ð i t 'a ð ə s
acreditant	ə k ɾ ə ð i t 'a n t
acreditar	ə k ɾ ə ð i t 'a
acreditarà	ə k ɾ ə ð i t ə ɾ 'a
acreditat	ə k ɾ ə ð i t 'a t
acreditatiu	ə k ɾ ə ð i t ə t 'i w
acreditatius	ə k ɾ ə ð i t ə t 'i w s
acreditativa	ə k ɾ ə ð i t ə t 'i v ə
acreditats	ə k ɾ ə ð i t 'a t s
acreditava	ə k ɾ ə ð i t 'a v ə
acrediten	ə k ɾ ə ð 'i t ə n
acrediti	ə k ɾ ə ð 'i t i
acreditin	ə k ɾ ə ð 'i t i n
acres	'a k ɾ ə s
acrescut	ə k ɾ ə s k 'u t
acritud	ə k ɾ i t 'u t
acrobàcia	ə k ɾ o β 'a s i ə
acrobàcies	ə k ɾ o β 'a s i ə s
acrobàtic	ə k ɾ o β 'a t i k
acrobàtica	ə k ɾ o β 'a t i k ə
acrobàtics	ə k ɾ o β 'a t i t s
acrobàtiques	ə k ɾ o β 'a t i k ə s
acrílic	ə k ɾ 'i l i k
acrílics	ə k ɾ 'i l i t s
acrític	ə k ɾ 'i t i k
acrítica	ə k ɾ 'i t i k ə
acríticament	ə k ɾ ˌ i t i k ə m 'e n t
acròbata	ə k ɾ 'ɔ β ə t ə
acròbates	ə k ɾ 'ɔ β ə t ə s
acrònim	ə k ɾ 'ɔ n i m
acrònims	ə k ɾ 'ɔ n i n s
acta	'a t t ə
acte	'a t t ə
actes	'a t t ə s
actitud	ə t t i t 'u t
actitudinals	ə t t i t u ð i n 'a l s
actituds	ə t t i t 'u t s
actiu	ə t t 'i w
actius	ə t t 'i w s
activa	ə t t 'i v ə
activació	ə t t i v ə s i 'o
activada	ə t t i v 'a ð ə
activades	ə t t i v 'a ð ə s
activament	ə t t ˌ i v ə m 'e n t
activant	ə t t i v 'a n t
activar	ə t t i v 'a
activaran	ə t t i v ə ɾ 'a n
activaria	ə t t i v ə ɾ 'i ə
activaries	ə t t i v ə ɾ 'i ə s
activarse	ə t t i v 'a ɾ s ə
activarà	ə t t i v ə ɾ 'a
activat	ə t t i v 'a t
activats	ə t t i v 'a t s
activen	ə t t 'i v ə n
actives	ə t t 'i v ə s
activi	ə t t 'i v i
activisme	ə t t i v 'i z m ə
activista	ə t t i v 'i s t ə
activistes	ə t t i v 'i s t ə s
activitat	ə t t i v i t 'a t
activitats	ə t t i v i t 'a t s
activés	ə t t i v 'e s
actor	ə t t 'o
actores	ə t t 'o ɾ ə s
actors	ə t t 'o s
actorsballarins	ə t t o ɾ z β ə ʎ ə ɾ 'i n s
actorsdirectors	ə t t o ɾ z ð i ɾ ə t t 'o s
actriu	ə t t ɾ 'i w
actrius	ə t t ɾ 'i w s
actua	ə t t 'u ə
actuacions	ə t t u ə s i 'o n s
actuació	ə t t u ə s i 'o
actual	ə t t u 'a l
actualitat	ə t t u ə l i t 'a t
actualitza	ə t t u ə l 'i d z ə
actualitzable	ə t t u ə l i d z 'a b b l ə
actualitzacions	ə t t u ə l i d z ə s i 'o n s
actualització	ə t t u ə l i d z ə s i 'o
actualitzada	ə t t u ə l i d z 'a ð ə
actualitzades	ə t t u ə l i d z 'a ð ə s
actualitzador	ə t t u ə l i d z ə ð 'o
actualitzant	ə t t u ə l i d z 'a n t
actualitzar	ə t t u ə l i d z 'a
actualitzaran	ə t t u ə l i d z ə ɾ 'a n
actualitzaries	ə t t u ə l i d z ə ɾ 'i ə s
actualitzarlo	ə t t u ə l i d z 'a ɾ l o
actualitzarse	ə t t u ə l i d z 'a ɾ s ə
actualitzarà	ə t t u ə l i d z ə ɾ 'a
actualitzat	ə t t u ə l i d z 'a t
actualitzats	ə t t u ə l i d z 'a t s
actualitzem	ə t t u ə l i d z 'ə m
actualitzen	ə t t u ə l 'i d z ə n
actualitzeu	ə t t u ə l i d z 'ɛ w
actualitzi	ə t t u ə l 'i d z i
actualitzin	ə t t u ə l 'i d z i n
actualment	ə t t u ˌ a l m 'e n t
actuals	ə t t u 'a l s
actuant	ə t t u 'a n t
actuar	ə t t u 'a
actuaran	ə t t u ə ɾ 'a n
actuarem	ə t t u ə ɾ 'ə m
actuareu	ə t t u ə ɾ 'ɛ w
actuarhi	ə t t u 'a ɾ i
actuaria	ə t t u ə ɾ 'i ə
actuarien	ə t t u ə ɾ 'i ə n
actuarà	ə t t u ə ɾ 'a
actuaré	ə t t u ə ɾ 'e
actuat	ə t t u 'a t
actuava	ə t t u 'a v ə
actuaven	ə t t u 'a v ə n
actuem	ə t t u 'ə m
actuen	ə t t 'u ə n
actuessin	ə t t u 'e s i n
actueu	ə t t u 'ɛ w
actuo	ə t t 'u o
actués	ə t t u 'e s
actuï	ə t t 'u i
actuïn	ə t t 'u i n
acudeix	ə k u ð 'ə ʃ
acudeixen	ə k u ð 'ə ʃ ə n
acudeixi	ə k u ð 'ə ʃ i
acudeixin	ə k u ð 'ə ʃ i n
acuden	ə k 'u ð ə n
acudia	ə k u ð 'i ə
acudien	ə k u ð 'i ə n
acudin	ə k 'u ð i n
acudint	ə k u ð 'i n t
acudir	ə k u ð 'i
acudiran	ə k u ð i ɾ 'a n
acudirhi	ə k u ð 'i ɾ i
acudiria	ə k u ð i ɾ 'i ə
acudirà	ə k u ð i ɾ 'a
acudissin	ə k u ð 'i s i n
acudit	ə k u ð 'i t
acudits	ə k u ð 'i t s
acudo	ə k 'u ð o
acudís	ə k u ð 'i s
acular	ə k u l 'a
aculat	ə k u l 'a t
acull	ə k 'u ʎ
acullen	ə k 'u ʎ ə n
aculli	ə k 'u ʎ i
acullin	ə k 'u ʎ i n
aculturació	ə k u l t u ɾ ə s i 'o
acumula	ə k u m 'u l ə
acumulacions	ə k u m u l ə s i 'o n s
acumulació	ə k u m u l ə s i 'o
acumulada	ə k u m u l 'a ð ə
acumulades	ə k u m u l 'a ð ə s
acumulant	ə k u m u l 'a n t
acumulantse	ə k u m u l 'a n s ə
acumular	ə k u m u l 'a
acumulat	ə k u m u l 'a t
acumulatiu	ə k u m u l ə t 'i w
acumulatius	ə k u m u l ə t 'i w s
acumulativa	ə k u m u l ə t 'i v ə
acumulats	ə k u m u l 'a t s
acumulava	ə k u m u l 'a v ə
acumulaven	ə k u m u l 'a v ə n
acumulen	ə k u m 'u l ə n
acumuli	ə k u m 'u l i
acumulin	ə k u m 'u l i n
acupuntura	ə k u p u n t 'u ɾ ə
acurada	ə k u ɾ 'a ð ə
acuradament	ə k u ɾ ˌ a ð ə m 'e n t
acurades	ə k u ɾ 'a ð ə s
acurat	ə k u ɾ 'a t
acurats	ə k u ɾ 'a t s
acusa	ə k 'u z ə
acusacions	ə k u z ə s i 'o n s
acusació	ə k u z ə s i 'o
acusada	ə k u z 'a ð ə
acusades	ə k u z 'a ð ə s
acusador	ə k u z ə ð 'o
acusadora	ə k u z ə ð 'o ɾ ə
acusadors	ə k u z ə ð 'o s
acusant	ə k u z 'a n t
acusantla	ə k u z 'a n l ə
acusantlo	ə k u z 'a n l o
acusantlos	ə k u z 'a n l o s
acusar	ə k u z 'a
acusaran	ə k u z ə ɾ 'a n
acusareu	ə k u z ə ɾ 'ɛ w
acusarlo	ə k u z 'a ɾ l o
acusarlos	ə k u z 'a ɾ l o s
acusarse	ə k u z 'a ɾ s ə
acusarà	ə k u z ə ɾ 'a
acusat	ə k u z 'a t
acusats	ə k u z 'a t s
acusava	ə k u z 'a v ə
acusaven	ə k u z 'a v ə n
acusen	ə k 'u z ə n
acuseu	ə k u z 'ɛ w
acusi	ə k 'u z i
acusin	ə k 'u z i n
acusis	ə k 'u z i s
acuso	ə k 'u z o
acusés	ə k u z 'e s
acut	ə k 'u t
acutangles	ə k u t 'a ŋ g l ə s
acàcia	ə k 'a s i ə
acàcies	ə k 'a s i ə s
acèrrim	ə s 'ə r i m
ací	ə s 'i
acòlits	ə k 'ɔ l i t s
acústic	ə k 'u s t i k
acústica	ə k 'u s t i k ə
acústics	ə k 'u s t i t s
acústiques	ə k 'u s t i k ə s
adagio	ə ð ə ʒ 'i o
adagis	ə ð 'a ʒ i s
adalt	ə ð 'a l t
adam	ə ð 'a m
adams	ə ð 'a n s
adapta	ə ð 'a t t ə
adaptable	ə ð ə t t 'a b b l ə
adaptables	ə ð ə t t 'a b b l ə s
adaptacions	ə ð ə t t ə s i 'o n s
adaptació	ə ð ə t t ə s i 'o
adaptada	ə ð ə t t 'a ð ə
adaptades	ə ð ə t t 'a ð ə s
adaptador	ə ð ə t t ə ð 'o
adaptadors	ə ð ə t t ə ð 'o s
adaptant	ə ð ə t t 'a n t
adaptantse	ə ð ə t t 'a n s ə
adaptar	ə ð ə t t 'a
adaptaran	ə ð ə t t ə ɾ 'a n
adaptaria	ə ð ə t t ə ɾ 'i ə
adaptarla	ə ð ə t t 'a ɾ l ə
adaptarles	ə ð ə t t 'a ɾ l ə s
adaptarlo	ə ð ə t t 'a ɾ l o
adaptarlos	ə ð ə t t 'a ɾ l o s
adaptarme	ə ð ə t t 'a ɾ m ə
adaptarnos	ə ð ə t t 'a ɾ n o s
adaptarse	ə ð ə t t 'a ɾ s ə
adaptarshi	ə ð ə t t 'a ɾ s i
adaptarà	ə ð ə t t ə ɾ 'a
adaptat	ə ð ə t t 'a t
adaptats	ə ð ə t t 'a t s
adaptava	ə ð ə t t 'a v ə
adaptem	ə ð ə t t 'ə m
adapten	ə ð 'a t t ə n
adaptessin	ə ð ə t t 'e s i n
adapteu	ə ð ə t t 'ɛ w
adapti	ə ð 'a t t i
adaptin	ə ð 'a t t i n
adapto	ə ð 'a t t o
addiccions	ə ð d i t s i 'o n s
addicció	ə ð d i t s i 'o
addicional	ə ð d i s i o n 'a l
addicionalment	ə ð d i s i o n ˌ a l m 'e n t
addicionals	ə ð d i s i o n 'a l s
addicions	ə ð d i s i 'o n s
addició	ə ð d i s i 'o
addicta	ə ð d 'i t t ə
addicte	ə ð d 'i t t ə
addictes	ə ð d 'i t t ə s
addictiu	ə ð d i t t 'i w
addictiva	ə ð d i t t 'i v ə
additiu	ə ð d i t 'i w
additius	ə ð d i t 'i w s
adductor	ə ð d u t t 'o
adductors	ə ð d u t t 'o s
addueix	ə ð d u 'ə ʃ
addueixen	ə ð d u 'ə ʃ ə n
adduint	ə ð d u 'i n t
adduir	ə ð d u 'i
adduí	ə ð d u 'i
adduïa	ə ð d u 'i ə
adduït	ə ð d u 'i t
adduïts	ə ð d u 'i t s
adeien	ə ð 'e j ə n
adell	ə ð 'e ʎ
adena	ə ð 'ə n ə
adenosina	ə ð ə n o z 'i n ə
adeptes	ə ð 'e t t ə s
adequa	ə ð 'e k w ə
adequació	ə ð ə k w ə s i 'o
adequada	ə ð ə k w 'a ð ə
adequadament	ə ð ə k w ˌ a ð ə m 'e n t
adequades	ə ð ə k w 'a ð ə s
adequar	ə ð ə k w 'a
adequaria	ə ð ə k w ə ɾ 'i ə
adequarlo	ə ð ə k w 'a ɾ l o
adequarse	ə ð ə k w 'a ɾ s ə
adequarà	ə ð ə k w ə ɾ 'a
adequat	ə ð ə k w 'a t
adequats	ə ð ə k w 'a t s
adeqüi	ə ð 'ɛ k w i
adhereix	ə ð ə ɾ 'ə ʃ
adhereixen	ə ð ə ɾ 'ə ʃ ə n
adhereixi	ə ð ə ɾ 'ə ʃ i
adhereixin	ə ð ə ɾ 'ə ʃ i n
adhereixo	ə ð ə ɾ 'ə ʃ o
adherida	ə ð ə ɾ 'i ð ə
adherides	ə ð ə ɾ 'i ð ə s
adherir	ə ð ə ɾ 'i
adherirme	ə ð ə ɾ 'i ɾ m ə
adherirse	ə ð ə ɾ 'i ɾ s ə
adherirshi	ə ð ə ɾ 'i ɾ s i
adherit	ə ð ə ɾ 'i t
adherits	ə ð ə ɾ 'i t s
adherència	ə ð ə ɾ 'ə n s i ə
adhesions	ə ð ə z i 'o n s
adhesiu	ə ð ə z 'i w
adhesius	ə ð ə z 'i w s
adhesiva	ə ð ə z 'i v ə
adhesives	ə ð ə z 'i v ə s
adhesió	ə ð ə z i 'o
adient	ə ð i 'e n t
adients	ə ð i 'e n s
adigui	ə ð 'i ɣ i
adinerat	ə ð i n ə ɾ 'a t
adinerats	ə ð i n ə ɾ 'a t s
adio	ə ð 'i o
adipós	ə ð i p 'o s
adir	ə ð 'i
adiu	ə ð 'i w
adiuen	ə ð 'i w ə n
adjacent	ə dʒ ə s 'e n t
adjacents	ə dʒ ə s 'e n s
adjectiu	ə dʒ ə t t 'i w
adjectius	ə dʒ ə t t 'i w s
adjectivació	ə dʒ ə t t i v ə s i 'o
adjudica	ə dʒ u ð 'i k ə
adjudicacions	ə dʒ u ð i k ə s i 'o n s
adjudicació	ə dʒ u ð i k ə s i 'o
adjudicada	ə dʒ u ð i k 'a ð ə
adjudicades	ə dʒ u ð i k 'a ð ə s
adjudicant	ə dʒ u ð i k 'a n t
adjudicantse	ə dʒ u ð i k 'a n s ə
adjudicar	ə dʒ u ð i k 'a
adjudicaran	ə dʒ u ð i k ə ɾ 'a n
adjudicarse	ə dʒ u ð i k 'a ɾ s ə
adjudicarà	ə dʒ u ð i k ə ɾ 'a
adjudicat	ə dʒ u ð i k 'a t
adjudicatari	ə dʒ u ð i k ə t 'a ɾ i
adjudicats	ə dʒ u ð i k 'a t s
adjudicatària	ə dʒ u ð i k ə t 'a ɾ i ə
adjudicatàries	ə dʒ u ð i k ə t 'a ɾ i ə s
adjudiquen	ə dʒ u ð 'i k ə n
adjudiqués	ə dʒ u ð i k 'e s
adjunt	ə dʒ 'u n t
adjunta	ə dʒ 'u n t ə
adjuntar	ə dʒ u n t 'a
adjuntarhi	ə dʒ u n t 'a ɾ i
adjuntaries	ə dʒ u n t ə ɾ 'i ə s
adjuntat	ə dʒ u n t 'a t
adjuntem	ə dʒ u n t 'ə m
adjunteu	ə dʒ u n t 'ɛ w
adjunteulo	ə dʒ u n t 'e w l o
adjunto	ə dʒ 'u n t o
adjunts	ə dʒ 'u n s
admesa	ə m m 'ə z ə
admeses	ə m m 'ə z ə s
admesos	ə m m 'ə z o s
admet	ə m m 'ə t
admetem	ə m m ə t 'ə m
admeten	ə m m 'e t ə n
admetent	ə m m ə t 'e n t
admeti	ə m m 'ɛ t i
admetia	ə m m ə t 'i ə
admetien	ə m m ə t 'i ə n
admetin	ə m m 'ɛ t i n
admeto	ə m m 'e t o
admetran	ə m m ə t ɾ 'a n
admetre	ə m m 'ə t ɾ ə
admetreho	ə m m ə t ɾ 'e o
admetria	ə m m ə t ɾ 'i ə
admetrà	ə m m ə t ɾ 'a
admetés	ə m m ə t 'e s
administra	ə m m i n 'i s t ɾ ə
administracions	ə m m i n i s t ɾ ə s i 'o n s
administració	ə m m i n i s t ɾ ə s i 'o
administrada	ə m m i n i s t ɾ 'a ð ə
administrador	ə m m i n i s t ɾ ə ð 'o
administradors	ə m m i n i s t ɾ ə ð 'o s
administrar	ə m m i n i s t ɾ 'a
administrarà	ə m m i n i s t ɾ ə ɾ 'a
administrat	ə m m i n i s t ɾ 'a t
administratiu	ə m m i n i s t ɾ ə t 'i w
administratius	ə m m i n i s t ɾ ə t 'i w s
administrativa	ə m m i n i s t ɾ ə t 'i v ə
administrativament	ə m m i n i s t ɾ ə t ˌ i v ə m 'e n t
administratives	ə m m i n i s t ɾ ə t 'i v ə s
administrats	ə m m i n i s t ɾ 'a t s
administrava	ə m m i n i s t ɾ 'a v ə
administren	ə m m i n 'i s t ɾ ə n
administri	ə m m i n 'i s t ɾ i
admira	ə m m 'i ɾ ə
admirable	ə m m i ɾ 'a b b l ə
admirablement	ə m m i ɾ ˌ a b b l ə m 'e n t
admirables	ə m m i ɾ 'a b b l ə s
admiració	ə m m i ɾ ə s i 'o
admirada	ə m m i ɾ 'a ð ə
admirades	ə m m i ɾ 'a ð ə s
admirador	ə m m i ɾ ə ð 'o
admiradora	ə m m i ɾ ə ð 'o ɾ ə
admiradores	ə m m i ɾ ə ð 'o ɾ ə s
admiradors	ə m m i ɾ ə ð 'o s
admirant	ə m m i ɾ 'a n t
admirar	ə m m i ɾ 'a
admirarlo	ə m m i ɾ 'a ɾ l o
admirat	ə m m i ɾ 'a t
admirats	ə m m i ɾ 'a t s
admirava	ə m m i ɾ 'a v ə
admirem	ə m m i ɾ 'ə m
admiren	ə m m 'i ɾ ə n
admires	ə m m 'i ɾ ə s
admireu	ə m m i ɾ 'ɛ w
admiro	ə m m 'i ɾ o
admissible	ə m m i s 'i b b l ə
admissibles	ə m m i s 'i b b l ə s
admissió	ə m m i s i 'o
admès	ə m m 'ə s
adob	ə ð 'o k
adobar	ə ð o β 'a
adobarho	ə ð o β 'a ɾ o
adobat	ə ð o β 'a t
adobs	ə ð 'o t s
adoctrinament	ə ð o t t ɾ i n ə m 'e n t
adolescent	ə ð o l ə t s 'e n t
adolescents	ə ð o l ə t s 'e n s
adolescència	ə ð o l ə t s 'ə n s i ə
adolorida	ə ð o l o ɾ 'i ð ə
adona	ə ð 'o n ə
adonant	ə ð o n 'a n t
adonantse	ə ð o n 'a n s ə
adonar	ə ð o n 'a
adonaran	ə ð o n ə ɾ 'a n
adonarem	ə ð o n ə ɾ 'ə m
adonaren	ə ð o n 'a ɾ ə n
adonareu	ə ð o n ə ɾ 'ɛ w
adonarien	ə ð o n ə ɾ 'i ə n
adonarme	ə ð o n 'a ɾ m ə
adonarmen	ə ð o n 'a ɾ m ə n
adonarnos	ə ð o n 'a ɾ n o s
adonarnosen	ə ð o n ə ɾ n 'o z ə n
adonarse	ə ð o n 'a ɾ s ə
adonarsen	ə ð o n 'a ɾ s ə n
adonarvos	ə ð o n 'a ɾ v o s
adonarvosen	ə ð o n ə ɾ v 'o z ə n
adonarà	ə ð o n ə ɾ 'a
adonaràs	ə ð o n ə ɾ 'a s
adonaríem	ə ð o n ə ɾ 'i ə m
adonat	ə ð o n 'a t
adonava	ə ð o n 'a v ə
adonem	ə ð o n 'ə m
adonen	ə ð 'o n ə n
adones	ə ð 'o n ə s
adonessin	ə ð o n 'e s i n
adoneu	ə ð o n 'ɛ w
adoni	ə ð 'ɔ n i
adonin	ə ð 'ɔ n i n
adonis	ə ð 'ɔ n i s
adono	ə ð 'o n o
adonés	ə ð o n 'e s
adonéssiu	ə ð o n 'e s i w
adopcions	ə ð o t s i 'o n s
adopció	ə ð o t s i 'o
adopta	ə ð 'o t t ə
adoptada	ə ð o t t 'a ð ə
adoptades	ə ð o t t 'a ð ə s
adoptant	ə ð o t t 'a n t
adoptants	ə ð o t t 'a n s
adoptar	ə ð o t t 'a
adoptaran	ə ð o t t ə ɾ 'a n
adoptarà	ə ð o t t ə ɾ 'a
adoptat	ə ð o t t 'a t
adoptats	ə ð o t t 'a t s
adoptava	ə ð o t t 'a v ə
adoptem	ə ð o t t 'ə m
adopten	ə ð 'o t t ə n
adopti	ə ð 'ɔ t t i
adoptin	ə ð 'ɔ t t i n
adoptiu	ə ð o t t 'i w
adoptius	ə ð o t t 'i w s
adoptiva	ə ð o t t 'i v ə
adoptà	ə ð o t t 'a
adoptés	ə ð o t t 'e s
adora	ə ð 'o ɾ ə
adorables	ə ð o ɾ 'a b b l ə s
adoració	ə ð o ɾ ə s i 'o
adorada	ə ð o ɾ 'a ð ə
adoradors	ə ð o ɾ ə ð 'o s
adorar	ə ð o ɾ 'a
adorat	ə ð o ɾ 'a t
adorava	ə ð o ɾ 'a v ə
adoren	ə ð 'o ɾ ə n
adorm	ə ð 'o ɾ m
adormida	ə ð o ɾ m 'i ð ə
adormides	ə ð o ɾ m 'i ð ə s
adormir	ə ð o ɾ m 'i
adormirnos	ə ð o ɾ m 'i ɾ n o s
adormirse	ə ð o ɾ m 'i ɾ s ə
adormit	ə ð o ɾ m 'i t
adormits	ə ð o ɾ m 'i t s
adormo	ə ð 'o ɾ m o
adorna	ə ð 'o ɾ n ə
adornant	ə ð o ɾ n 'a n t
adornar	ə ð o ɾ n 'a
adornats	ə ð o ɾ n 'a t s
adornen	ə ð 'o ɾ n ə n
adorns	ə ð 'o ɾ n s
adossada	ə ð o s 'a ð ə
adossades	ə ð o s 'a ð ə s
adossat	ə ð o s 'a t
adquireix	ə k k i ɾ 'ə ʃ
adquireixen	ə k k i ɾ 'ə ʃ ə n
adquireixi	ə k k i ɾ 'ə ʃ i
adquireixin	ə k k i ɾ 'ə ʃ i n
adquirent	ə k k i ɾ 'e n t
adquiria	ə k k i ɾ 'i ə
adquirida	ə k k i ɾ 'i ð ə
adquirides	ə k k i ɾ 'i ð ə s
adquirint	ə k k i ɾ 'i n t
adquirir	ə k k i ɾ 'i
adquiriran	ə k k i ɾ i ɾ 'a n
adquiriria	ə k k i ɾ i ɾ 'i ə
adquirirla	ə k k i ɾ 'i ɾ l ə
adquirirlo	ə k k i ɾ 'i ɾ l o
adquirirlos	ə k k i ɾ 'i ɾ l o s
adquirirà	ə k k i ɾ i ɾ 'a
adquirit	ə k k i ɾ 'i t
adquirits	ə k k i ɾ 'i t s
adquirís	ə k k i ɾ 'i s
adquisicions	ə k k i z i s i 'o n s
adquisició	ə k k i z i s i 'o
adquisitiu	ə k k i z i t 'i w
adquisitives	ə k k i z i t 'i v ə s
adrecem	ə ð ɾ ə s 'ə m
adrecen	ə ð ɾ 'e s ə n
adreces	ə ð ɾ 'e s ə s
adreceu	ə ð ɾ ə s 'ɛ w
adreceuvos	ə ð ɾ ə s 'e w v o s
adreci	ə ð ɾ 'ɛ s i
adrenalina	ə ð ɾ ə n ə l 'i n ə
adreça	ə ð ɾ 'e s ə
adreçada	ə ð ɾ ə s 'a ð ə
adreçades	ə ð ɾ ə s 'a ð ə s
adreçador	ə ð ɾ ə s ə ð 'o
adreçantse	ə ð ɾ ə s 'a n s ə
adreçar	ə ð ɾ ə s 'a
adreçaran	ə ð ɾ ə s ə ɾ 'a n
adreçarme	ə ð ɾ ə s 'a ɾ m ə
adreçarse	ə ð ɾ ə s 'a ɾ s ə
adreçarvos	ə ð ɾ ə s 'a ɾ v o s
