a	ə
aconseguirse	ə k u n s ə ɣ 'i r s ə
aconseguirà	ə k u n s ə ɣ i ɾ 'a
aconseguiràs	ə k u n s ə ɣ i ɾ 'a s
aconseguiré	ə k u n s ə ɣ i ɾ 'e
aconseguiríem	ə k u n s ə ɣ i ɾ 'i ə m
aconseguissin	ə k u n s ə ɣ 'i s i n
aconseguit	ə k u n s ə ɣ 'i t
aconseguits	ə k u n s ə ɣ 'i t s
aconseguiu	ə k u n s ə ɣ 'i w
aconseguí	ə k u n s ə ɣ 'i
aconseguís	ə k u n s ə ɣ 'i s
aconsella	ə k u n s 'e ʎ ə
aconsellable	ə k u n s ə ʎ 'a b b l ə
aconsellables	ə k u n s ə ʎ 'a b b l ə s
aconsellant	ə k u n s ə ʎ 'a n
aconsellar	ə k u n s ə ʎ 'a
aconsellaria	ə k u n s ə ʎ ə ɾ 'i ə
aconsellarlos	ə k u n s ə ʎ 'a r l u s
aconsellat	ə k u n s ə ʎ 'a t
aconsellava	ə k u n s ə ʎ 'a β ə
aconsellaven	ə k u n s ə ʎ 'a β ə n
aconsellem	ə k u n s ə ʎ 'ɛ m
aconsellen	ə k u n s 'e ʎ ə n
aconselli	ə k u n s 'e ʎ i
aconsellin	ə k u n s 'e ʎ i n
aconsello	ə k u n s 'e ʎ u
acontenta	ə k u n t 'e n t ə
acontentar	ə k u n t ə n t 'a
acontentarse	ə k u n t ə n t 'a r s ə
acontentava	ə k u n t ə n t 'a β ə
acontenten	ə k u n t 'e n t ə n
acontrapèl	ə k u n t ɾ ə p 'ɛ l
acord	ə k 'ɔ r t
acorda	ə k 'ɔ ɾ ð ə
acordada	ə k u ɾ ð 'a ð ə
acordades	ə k u ɾ ð 'a ð ə s
acordar	ə k u ɾ ð 'a
acordaran	ə k u ɾ ð ə ɾ 'a n
acordarà	ə k u ɾ ð ə ɾ 'a
acordat	ə k u ɾ ð 'a t
acordats	ə k u ɾ ð 'a t s
acordava	ə k u ɾ ð 'a β ə
acorden	ə k 'ɔ ɾ ð ə n
acordes	ə k 'ɔ ɾ ð ə s
acordessin	ə k u ɾ ð 'e s i n
acordi	ə k 'ɔ ɾ ð i
acordin	ə k 'ɔ ɾ ð i n
acordionista	ə k u ɾ ð i u n 'i s t ə
acordionistes	ə k u ɾ ð i u n 'i s t ə s
acordions	ə k u ɾ ð i 'o n s
acordió	ə k u ɾ ð i 'o
acordonada	ə k u ɾ ð u n 'a ð ə
acordonar	ə k u ɾ ð u n 'a
acordonat	ə k u ɾ ð u n 'a t
acords	ə k 'ɔ r s
acordés	ə k u ɾ ð 'e s
acorralada	ə k u r ə l 'a ð ə
acorralar	ə k u r ə l 'a
acorralat	ə k u r ə l 'a t
acorralats	ə k u r ə l 'a t s
acorrecuita	ə k u r ə k 'u j t ə
acosta	ə k 'ɔ s t ə
acostament	ə k u s t ə m 'e n
acostaments	ə k u s t ə m 'e n s
acostant	ə k u s t 'a n
acostantse	ə k u s t 'a n s ə
acostar	ə k u s t 'a
acostaran	ə k u s t ə ɾ 'a n
acostaria	ə k u s t ə ɾ 'i ə
acostarla	ə k u s t 'a r l ə
acostarlos	ə k u s t 'a r l u s
acostarnos	ə k u s t 'a r n u s
acostarse	ə k u s t 'a r s ə
acostarshi	ə k u s t 'a r s i
acostarà	ə k u s t ə ɾ 'a
acostat	ə k u s t 'a t
acostathi	ə k u s t 'a t i
acostava	ə k u s t 'a β ə
acostaven	ə k u s t 'a β ə n
acostem	ə k u s t 'ɛ m
acosten	ə k 'ɔ s t ə n
acostes	ə k 'ɔ s t ə s
acostessin	ə k u s t 'e s i n
acosti	ə k 'ɔ s t i
acostin	ə k 'ɔ s t i n
acosto	ə k 'ɔ s t u
acostuma	ə k u s t 'u m ə
acostumada	ə k u s t u m 'a ð ə
acostumades	ə k u s t u m 'a ð ə s
acostumant	ə k u s t u m 'a n
acostumar	ə k u s t u m 'a
acostumarnos	ə k u s t u m 'a r n u s
acostumarse	ə k u s t u m 'a r s ə
acostumat	ə k u s t u m 'a t
acostumats	ə k u s t u m 'a t s
acostumava	ə k u s t u m 'a β ə
acostumaven	ə k u s t u m 'a β ə n
acostumaves	ə k u s t u m 'a β ə s
acostumem	ə k u s t u m 'ɛ m
acostumen	ə k u s t 'u m ə n
acostumes	ə k u s t 'u m ə s
acostumeu	ə k u s t u m 'ɛ w
acostumi	ə k u s t 'u m i
acostumin	ə k u s t 'u m i n
acostumo	ə k u s t 'u m u
acostés	ə k u s t 'e s
acota	ə k 'ɔ t ə
acotacions	ə k u t ə s i 'o n s
acotació	ə k u t ə s i 'o
acotar	ə k u t 'a
acovardir	ə k u β ə ɾ ð 'i
acre	'a k ɾ ə
acredita	ə k ɾ ə ð 'i t ə
acreditacions	ə k ɾ ə ð i t ə s i 'o n s
acreditació	ə k ɾ ə ð i t ə s i 'o
acreditada	ə k ɾ ə ð i t 'a ð ə
acreditades	ə k ɾ ə ð i t 'a ð ə s
acreditant	ə k ɾ ə ð i t 'a n
acreditar	ə k ɾ ə ð i t 'a
acreditarà	ə k ɾ ə ð i t ə ɾ 'a
acreditat	ə k ɾ ə ð i t 'a t
acreditatiu	ə k ɾ ə ð i t ə t 'i w
acreditatius	ə k ɾ ə ð i t ə t 'i w s
acreditativa	ə k ɾ ə ð i t ə t 'i β ə
acreditats	ə k ɾ ə ð i t 'a t s
acreditava	ə k ɾ ə ð i t 'a β ə
acrediten	ə k ɾ ə ð 'i t ə n
acrediti	ə k ɾ ə ð 'i t i
acreditin	ə k ɾ ə ð 'i t i n
acres	'a k ɾ ə s
acrescut	ə k ɾ ə s k 'u t
acritud	ə k ɾ i t 'u t
acrobàcia	ə k ɾ u β 'a s i ə
acrobàcies	ə k ɾ u β 'a s i ə s
acrobàtic	ə k ɾ u β 'a t i k
acrobàtica	ə k ɾ u β 'a t i k ə
acrobàtics	ə k ɾ u β 'a t i k s
acrobàtiques	ə k ɾ u β 'a t i k ə s
acrílic	ə k ɾ 'i l i k
acrílics	ə k ɾ 'i l i k s
acrític	ə k ɾ 'i t i k
acrítica	ə k ɾ 'i t i k ə
acròbata	ə k ɾ 'ɔ β ə t ə
acròbates	ə k ɾ 'ɔ β ə t ə s
acrònim	ə k ɾ 'ɔ n i m
acrònims	ə k ɾ 'ɔ n i m s
acta	'a k t ə
acte	'a k t ə
actes	'a k t ə s
actitud	ə k t i t 'u t
actitudinals	ə k t i t u ð i n 'a l s
actituds	ə k t i t 'u t s
actiu	ə k t 'i w
actius	ə k t 'i w s
activa	ə k t 'i β ə
activació	ə k t i β ə s i 'o
activada	ə k t i β 'a ð ə
activades	ə k t i β 'a ð ə s
activant	ə k t i β 'a n
activar	ə k t i β 'a
activaran	ə k t i β ə ɾ 'a n
activaria	ə k t i β ə ɾ 'i ə
activaries	ə k t i β ə ɾ 'i ə s
activarse	ə k t i β 'a r s ə
activarà	ə k t i β ə ɾ 'a
activat	ə k t i β 'a t
activats	ə k t i β 'a t s
activen	ə k t 'i β ə n
actives	ə k t 'i β ə s
activi	ə k t 'i β i
activisme	ə k t i β 'i z m ə
activista	ə k t i β 'i s t ə
activistes	ə k t i β 'i s t ə s
activitat	ə k t i β i t 'a t
activitats	ə k t i β i t 'a t s
activés	ə k t i β 'e s
actor	ə k t 'o
actores	ə k t 'o ɾ ə s
actors	ə k t 'o s
actorsballarins	ə k t u r z β ə ʎ ə ɾ 'i n s
actorsdirectors	ə k t u r z ð i ɾ ə k t 'o s
actriu	ə k t ɾ 'i w
actrius	ə k t ɾ 'i w s
actua	ə k t 'u ə
actuacions	ə k t u ə s i 'o n s
actuació	ə k t u ə s i 'o
actual	ə k t u 'a l
actualitat	ə k t u ə l i t 'a t
actualitza	ə k t u ə l 'i d z ə
actualitzable	ə k t u ə l i d z 'a b b l ə
actualitzacions	ə k t u ə l i d z ə s i 'o n s
actualització	ə k t u ə l i d z ə s i 'o
actualitzada	ə k t u ə l i d z 'a ð ə
actualitzades	ə k t u ə l i d z 'a ð ə s
actualitzador	ə k t u ə l i d z ə ð 'o
actualitzant	ə k t u ə l i d z 'a n
actualitzar	ə k t u ə l i d z 'a
actualitzaran	ə k t u ə l i d z ə ɾ 'a n
actualitzaries	ə k t u ə l i d z ə ɾ 'i ə s
actualitzarlo	ə k t u ə l i d z 'a r l u
actualitzarse	ə k t u ə l i d z 'a r s ə
actualitzarà	ə k t u ə l i d z ə ɾ 'a
actualitzat	ə k t u ə l i d z 'a t
actualitzats	ə k t u ə l i d z 'a t s
actualitzem	ə k t u ə l i d z 'ɛ m
actualitzen	ə k t u ə l 'i d z ə n
actualitzeu	ə k t u ə l i d z 'ɛ w
actualitzi	ə k t u ə l 'i d z i
actualitzin	ə k t u ə l 'i d z i n
actuals	ə k t u 'a l s
actuant	ə k t u 'a n
actuar	ə k t u 'a
actuaran	ə k t u ə ɾ 'a n
actuarem	ə k t u ə ɾ 'ɛ m
actuareu	ə k t u ə ɾ 'ɛ w
actuarhi	ə k t u 'a ɾ i
actuaria	ə k t u ə ɾ 'i ə
actuarien	ə k t u ə ɾ 'i ə n
actuarà	ə k t u ə ɾ 'a
actuaré	ə k t u ə ɾ 'e
actuat	ə k t u 'a t
actuava	ə k t u 'a β ə
actuaven	ə k t u 'a β ə n
actuem	ə k t u 'ɛ m
actuen	ə k t 'u ə n
actuessin	ə k t u 'e s i n
actueu	ə k t u 'ɛ w
actuo	ə k t 'u u
actués	ə k t u 'e s
actuï	ə k t 'u i
actuïn	ə k t 'u i n
acudeix	ə k u ð 'ɛ ʃ
acudeixen	ə k u ð 'ɛ ʃ ə n
acudeixi	ə k u ð 'ɛ ʃ i
acudeixin	ə k u ð 'ɛ ʃ i n
acuden	ə k 'u ð ə n
acudia	ə k u ð 'i ə
acudien	ə k u ð 'i ə n
acudin	ə k 'u ð i n
acudint	ə k u ð 'i n
acudir	ə k u ð 'i
acudiran	ə k u ð i ɾ 'a n
acudirhi	ə k u ð 'i ɾ i
acudiria	ə k u ð i ɾ 'i ə
acudirà	ə k u ð i ɾ 'a
acudissin	ə k u ð 'i s i n
acudit	ə k u ð 'i t
acudits	ə k u ð 'i t s
acudo	ə k 'u ð u
acudís	ə k u ð 'i s
acular	ə k u l 'a
aculat	ə k u l 'a t
acull	ə k 'u ʎ
acullen	ə k 'u ʎ ə n
aculli	ə k 'u ʎ i
acullin	ə k 'u ʎ i n
aculturació	ə k u l t u ɾ ə s i 'o
acumula	ə k u m 'u l ə
acumulacions	ə k u m u l ə s i 'o n s
acumulació	ə k u m u l ə s i 'o
acumulada	ə k u m u l 'a ð ə
acumulades	ə k u m u l 'a ð ə s
acumulant	ə k u m u l 'a n
acumulantse	ə k u m u l 'a n s ə
acumular	ə k u m u l 'a
acumulat	ə k u m u l 'a t
acumulatiu	ə k u m u l ə t 'i w
acumulatius	ə k u m u l ə t 'i w s
acumulativa	ə k u m u l ə t 'i β ə
acumulats	ə k u m u l 'a t s
acumulava	ə k u m u l 'a β ə
acumulaven	ə k u m u l 'a β ə n
acumulen	ə k u m 'u l ə n
acumuli	ə k u m 'u l i
acumulin	ə k u m 'u l i n
acupuntura	ə k u p u n t 'u ɾ ə
acurada	ə k u ɾ 'a ð ə
acurades	ə k u ɾ 'a ð ə s
acurat	ə k u ɾ 'a t
acurats	ə k u ɾ 'a t s
acusa	ə k 'u z ə
acusacions	ə k u z ə s i 'o n s
acusació	ə k u z ə s i 'o
acusada	ə k u z 'a ð ə
acusades	ə k u z 'a ð ə s
acusador	ə k u z ə ð 'o
acusadora	ə k u z ə ð 'o ɾ ə
acusadors	ə k u z ə ð 'o s
acusant	ə k u z 'a n
acusantla	ə k u z 'a n l l ə
acusantlo	ə k u z 'a n l l u
acusantlos	ə k u z 'a n l l u s
acusar	ə k u z 'a
acusaran	ə k u z ə ɾ 'a n
acusareu	ə k u z ə ɾ 'ɛ w
acusarlo	ə k u z 'a r l u
acusarlos	ə k u z 'a r l u s
acusarse	ə k u z 'a r s ə
acusarà	ə k u z ə ɾ 'a
acusat	ə k u z 'a t
acusats	ə k u z 'a t s
acusava	ə k u z 'a β ə
acusaven	ə k u z 'a β ə n
acusen	ə k 'u z ə n
acuseu	ə k u z 'ɛ w
acusi	ə k 'u z i
acusin	ə k 'u z i n
acusis	ə k 'u z i s
acuso	ə k 'u z u
acusés	ə k u z 'e s
acut	ə k 'u t
acutangles	ə k u t 'a ŋ g l ə s
acàcia	ə k 'a s i ə
acàcies	ə k 'a s i ə s
acèrrim	ə s 'ɛ r i m
ací	ə s 'i
acòlits	ə k 'ɔ l i t s
acústic	ə k 'u s t i k
acústica	ə k 'u s t i k ə
acústics	ə k 'u s t i k s
acústiques	ə k 'u s t i k ə s
adagio	ə ð ə ʒ 'i u
adagis	ə ð 'a ʒ i s
adalt	ə ð 'a l
adam	ə ð 'a m
adams	ə ð 'a m s
adapta	ə ð 'a p t ə
adaptable	ə ð ə p t 'a b b l ə
adaptables	ə ð ə p t 'a b b l ə s
adaptacions	ə ð ə p t ə s i 'o n s
adaptació	ə ð ə p t ə s i 'o
adaptada	ə ð ə p t 'a ð ə
adaptades	ə ð ə p t 'a ð ə s
adaptador	ə ð ə p t ə ð 'o
adaptadors	ə ð ə p t ə ð 'o s
adaptant	ə ð ə p t 'a n
adaptantse	ə ð ə p t 'a n s ə
adaptar	ə ð ə p t 'a
adaptaran	ə ð ə p t ə ɾ 'a n
adaptaria	ə ð ə p t ə ɾ 'i ə
adaptarla	ə ð ə p t 'a r l ə
adaptarles	ə ð ə p t 'a r l ə s
adaptarlo	ə ð ə p t 'a r l u
adaptarlos	ə ð ə p t 'a r l u s
adaptarme	ə ð ə p t 'a r m ə
adaptarnos	ə ð ə p t 'a r n u s
adaptarse	ə ð ə p t 'a r s ə
adaptarshi	ə ð ə p t 'a r s i
adaptarà	ə ð ə p t ə ɾ 'a
adaptat	ə ð ə p t 'a t
adaptats	ə ð ə p t 'a t s
adaptava	ə ð ə p t 'a β ə
adaptem	ə ð ə p t 'ɛ m
adapten	ə ð 'a p t ə n
adaptessin	ə ð ə p t 'e s i n
adapteu	ə ð ə p t 'ɛ w
adapti	ə ð 'a p t i
adaptin	ə ð 'a p t i n
adapto	ə ð 'a p t u
addiccions	ə d d i k s i 'o n s
addicció	ə d d i k s i 'o
addicional	ə d d i s i u n 'a l
addicionals	ə d d i s i u n 'a l s
addicions	ə d d i s i 'o n s
addició	ə d d i s i 'o
addicta	ə d d 'i k t ə
addicte	ə d d 'i k t ə
addictes	ə d d 'i k t ə s
addictiu	ə d d i k t 'i w
addictiva	ə d d i k t 'i β ə
additiu	ə d d i t 'i w
additius	ə d d i t 'i w s
adductor	ə d d u k t 'o
adductors	ə d d u k t 'o s
addueix	ə d d u 'ɛ ʃ
addueixen	ə d d u 'ɛ ʃ ə n
adduint	ə d d u 'i n
adduir	ə d d u 'i
adduí	ə d d u 'i
adduïa	ə d d u 'i ə
adduït	ə d d u 'i t
adduïts	ə d d u 'i t s
adeien	ə ð 'ɛ j ə n
adell	ə ð 'e ʎ
adena	ə ð 'ɛ n ə
adenosina	ə ð ə n u z 'i n ə
adeptes	ə ð 'e p t ə s
adequa	ə ð 'e k w ə
adequació	ə ð ə k w ə s i 'o
adequada	ə ð ə k w 'a ð ə
adequades	ə ð ə k w 'a ð ə s
adequar	ə ð ə k w 'a
adequaria	ə ð ə k w ə ɾ 'i ə
adequarlo	ə ð ə k w 'a r l u
adequarse	ə ð ə k w 'a r s ə
adequarà	ə ð ə k w ə ɾ 'a
adequat	ə ð ə k w 'a t
adequats	ə ð ə k w 'a t s
adeqüi	ə ð 'e k w i
adhereix	ə ð ə ɾ 'ɛ ʃ
adhereixen	ə ð ə ɾ 'ɛ ʃ ə n
adhereixi	ə ð ə ɾ 'ɛ ʃ i
adhereixin	ə ð ə ɾ 'ɛ ʃ i n
adhereixo	ə ð ə ɾ 'ɛ ʃ u
adherida	ə ð ə ɾ 'i ð ə
adherides	ə ð ə ɾ 'i ð ə s
adherir	ə ð ə ɾ 'i
adherirme	ə ð ə ɾ 'i r m ə
adherirse	ə ð ə ɾ 'i r s ə
adherirshi	ə ð ə ɾ 'i r s i
adherit	ə ð ə ɾ 'i t
adherits	ə ð ə ɾ 'i t s
adherència	ə ð ə ɾ 'ɛ n s i ə
adhesions	ə ð ə z i 'o n s
adhesiu	ə ð ə z 'i w
adhesius	ə ð ə z 'i w s
adhesiva	ə ð ə z 'i β ə
adhesives	ə ð ə z 'i β ə s
adhesió	ə ð ə z i 'o
adient	ə ð i 'e n
adients	ə ð i 'e n s
adigui	ə ð 'i ɣ i
adinerat	ə ð i n ə ɾ 'a t
adinerats	ə ð i n ə ɾ 'a t s
adio	ə ð 'i u
adipós	ə ð i p 'o s
adir	ə ð 'i
adiu	ə ð 'i w
adiuen	ə ð 'i w ə n
adjacent	ə d ʒ ə s 'e n
adjacents	ə d ʒ ə s 'e n s
adjectiu	ə d ʒ ə k t 'i w
adjectius	ə d ʒ ə k t 'i w s
adjectivació	ə d ʒ ə k t i β ə s i 'o
adjudica	ə d ʒ u ð 'i k ə
adjudicacions	ə d ʒ u ð i k ə s i 'o n s
adjudicació	ə d ʒ u ð i k ə s i 'o
adjudicada	ə d ʒ u ð i k 'a ð ə
adjudicades	ə d ʒ u ð i k 'a ð ə s
adjudicant	ə d ʒ u ð i k 'a n
adjudicantse	ə d ʒ u ð i k 'a n s ə
adjudicar	ə d ʒ u ð i k 'a
adjudicaran	ə d ʒ u ð i k ə ɾ 'a n
adjudicarse	ə d ʒ u ð i k 'a r s ə
adjudicarà	ə d ʒ u ð i k ə ɾ 'a
adjudicat	ə d ʒ u ð i k 'a t
adjudicatari	ə d ʒ u ð i k ə t 'a ɾ i
adjudicats	ə d ʒ u ð i k 'a t s
adjudicatària	ə d ʒ u ð i k ə t 'a ɾ i ə
adjudicatàries	ə d ʒ u ð i k ə t 'a ɾ i ə s
adjudiquen	ə d ʒ u ð 'i k ə n
adjudiqués	ə d ʒ u ð i k 'e s
adjunt	ə d ʒ 'u n
adjunta	ə d ʒ 'u n t ə
adjuntar	ə d ʒ u n t 'a
adjuntarhi	ə d ʒ u n t 'a ɾ i
adjuntaries	ə d ʒ u n t ə ɾ 'i ə s
adjuntat	ə d ʒ u n t 'a t
adjuntem	ə d ʒ u n t 'ɛ m
adjunteu	ə d ʒ u n t 'ɛ w
adjunteulo	ə d ʒ u n t 'ɛ w l u
adjunto	ə d ʒ 'u n t u
adjunts	ə d ʒ 'u n s
admesa	ə d m 'ɛ z ə
admeses	ə d m 'ɛ z ə s
admesos	ə d m 'ɛ z u s
admet	ə d m 'ɛ t
admetem	ə d m ə t 'ɛ m
admeten	ə d m 'ɛ t ə n
admetent	ə d m ə t 'e n
admeti	ə d m 'ɛ t i
admetia	ə d m ə t 'i ə
admetien	ə d m ə t 'i ə n
admetin	ə d m 'ɛ t i n
admeto	ə d m 'ɛ t u
admetran	ə d m ə t ɾ 'a n
admetre	ə d m 'ɛ t ɾ ə
admetreho	ə d m ə t ɾ 'e u
admetria	ə d m ə t ɾ 'i ə
admetrà	ə d m ə t ɾ 'a
admetés	ə d m ə t 'e s
administra	ə d m i n 'i s t ɾ ə
administracions	ə d m i n i s t ɾ ə s i 'o n s
administració	ə d m i n i s t ɾ ə s i 'o
administrada	ə d m i n i s t ɾ 'a ð ə
administrador	ə d m i n i s t ɾ ə ð 'o
administradors	ə d m i n i s t ɾ ə ð 'o s
administrar	ə d m i n i s t ɾ 'a
administrarà	ə d m i n i s t ɾ ə ɾ 'a
administrat	ə d m i n i s t ɾ 'a t
administratiu	ə d m i n i s t ɾ ə t 'i w
administratius	ə d m i n i s t ɾ ə t 'i w s
administrativa	ə d m i n i s t ɾ ə t 'i β ə
administratives	ə d m i n i s t ɾ ə t 'i β ə s
administrats	ə d m i n i s t ɾ 'a t s
administrava	ə d m i n i s t ɾ 'a β ə
administren	ə d m i n 'i s t ɾ ə n
administri	ə d m i n 'i s t ɾ i
admira	ə d m 'i ɾ ə
admirable	ə d m i ɾ 'a b b l ə
admirables	ə d m i ɾ 'a b b l ə s
admiració	ə d m i ɾ ə s i 'o
admirada	ə d m i ɾ 'a ð ə
admirades	ə d m i ɾ 'a ð ə s
admirador	ə d m i ɾ ə ð 'o
admiradora	ə d m i ɾ ə ð 'o ɾ ə
admiradores	ə d m i ɾ ə ð 'o ɾ ə s
admiradors	ə d m i ɾ ə ð 'o s
admirant	ə d m i ɾ 'a n
admirar	ə d m i ɾ 'a
admirarlo	ə d m i ɾ 'a r l u
admirat	ə d m i ɾ 'a t
admirats	ə d m i ɾ 'a t s
admirava	ə d m i ɾ 'a β ə
admirem	ə d m i ɾ 'ɛ m
admiren	ə d m 'i ɾ ə n
admires	ə d m 'i ɾ ə s
admireu	ə d m i ɾ 'ɛ w
admiro	ə d m 'i ɾ u
admissible	ə d m i s 'i b b l ə
admissibles	ə d m i s 'i b b l ə s
admissió	ə d m i s i 'o
admès	ə d m 'ɛ s
adob	ə ð 'o p
adobar	ə ð u β 'a
adobarho	ə ð u β 'a ɾ u
adobat	ə ð u β 'a t
adobs	ə ð 'o p s
adoctrinament	ə ð u k t ɾ i n ə m 'e n
adolescent	ə ð u l ə s 'e n
adolescents	ə ð u l ə s 'e n s
adolescència	ə ð u l ə s 'ɛ n s i ə
adolorida	ə ð u l u ɾ 'i ð ə
adona	ə ð 'o n ə
adonant	ə ð u n 'a n
adonantse	ə ð u n 'a n s ə
adonar	ə ð u n 'a
adonaran	ə ð u n ə ɾ 'a n
adonarem	ə ð u n ə ɾ 'ɛ m
adonaren	ə ð u n 'a ɾ ə n
adonareu	ə ð u n ə ɾ 'ɛ w
adonarien	ə ð u n ə ɾ 'i ə n
adonarme	ə ð u n 'a r m ə
adonarmen	ə ð u n 'a r m ə n
adonarnos	ə ð u n 'a r n u s
adonarnosen	ə ð u n ə r n 'o z ə n
adonarse	ə ð u n 'a r s ə
adonarsen	ə ð u n 'a r s ə n
adonarvos	ə ð u n 'a ɾ β u s
adonarvosen	ə ð u n ə ɾ β 'o z ə n
adonarà	ə ð u n ə ɾ 'a
adonaràs	ə ð u n ə ɾ 'a s
adonaríem	ə ð u n ə ɾ 'i ə m
adonat	ə ð u n 'a t
adonava	ə ð u n 'a β ə
adonem	ə ð u n 'ɛ m
adonen	ə ð 'o n ə n
adones	ə ð 'o n ə s
adonessin	ə ð u n 'e s i n
adoneu	ə ð u n 'ɛ w
adoni	ə ð 'o n i
adonin	ə ð 'o n i n
adonis	ə ð 'o n i s
adono	ə ð 'o n u
adonés	ə ð u n 'e s
adonéssiu	ə ð u n 'e s i w
adopcions	ə ð u p s i 'o n s
adopció	ə ð u p s i 'o
adopta	ə ð 'o p t ə
adoptada	ə ð u p t 'a ð ə
adoptades	ə ð u p t 'a ð ə s
adoptant	ə ð u p t 'a n
adoptants	ə ð u p t 'a n s
adoptar	ə ð u p t 'a
adoptaran	ə ð u p t ə ɾ 'a n
adoptarà	ə ð u p t ə ɾ 'a
adoptat	ə ð u p t 'a t
adoptats	ə ð u p t 'a t s
adoptava	ə ð u p t 'a β ə
adoptem	ə ð u p t 'ɛ m
adopten	ə ð 'o p t ə n
adopti	ə ð 'ɔ p t i
adoptin	ə ð 'ɔ p t i n
adoptiu	ə ð u p t 'i w
adoptius	ə ð u p t 'i w s
adoptiva	ə ð u p t 'i β ə
adoptà	ə ð u p t 'a
adoptés	ə ð u p t 'e s
adora	ə ð 'o ɾ ə
adorables	ə ð u ɾ 'a b b l ə s
adoració	ə ð u ɾ ə s i 'o
adorada	ə ð u ɾ 'a ð ə
adoradors	ə ð u ɾ ə ð 'o s
adorar	ə ð u ɾ 'a
adorat	ə ð u ɾ 'a t
adorava	ə ð u ɾ 'a β ə
adoren	ə ð 'o ɾ ə n
adorm	ə ð 'o r m
adormida	ə ð u r m 'i ð ə
adormides	ə ð u r m 'i ð ə s
adormir	ə ð u r m 'i
adormirnos	ə ð u r m 'i r n u s
adormirse	ə ð u r m 'i r s ə
adormit	ə ð u r m 'i t
adormits	ə ð u r m 'i t s
adormo	ə ð 'o r m u
adorna	ə ð 'o r n ə
adornant	ə ð u r n 'a n
adornar	ə ð u r n 'a
adornats	ə ð u r n 'a t s
adornen	ə ð 'o r n ə n
adorns	ə ð 'o r n s
adossada	ə ð u s 'a ð ə
adossades	ə ð u s 'a ð ə s
adossat	ə ð u s 'a t
adquireix	ə t k i ɾ 'ɛ ʃ
adquireixen	ə t k i ɾ 'ɛ ʃ ə n
adquireixi	ə t k i ɾ 'ɛ ʃ i
adquireixin	ə t k i ɾ 'ɛ ʃ i n
adquirent	ə t k i ɾ 'e n
adquiria	ə t k i ɾ 'i ə
adquirida	ə t k i ɾ 'i ð ə
adquirides	ə t k i ɾ 'i ð ə s
adquirint	ə t k i ɾ 'i n
adquirir	ə t k i ɾ 'i
adquiriran	ə t k i ɾ i ɾ 'a n
adquiriria	ə t k i ɾ i ɾ 'i ə
adquirirla	ə t k i ɾ 'i r l ə
adquirirlo	ə t k i ɾ 'i r l u
adquirirlos	ə t k i ɾ 'i r l u s
adquirirà	ə t k i ɾ i ɾ 'a
adquirit	ə t k i ɾ 'i t
adquirits	ə t k i ɾ 'i t s
adquirís	ə t k i ɾ 'i s
adquisicions	ə t k i z i s i 'o n s
adquisició	ə t k i z i s i 'o
adquisitiu	ə t k i z i t 'i w
adquisitives	ə t k i z i t 'i β ə s
adrecem	ə ð ɾ ə s 'ɛ m
adrecen	ə ð ɾ 'e s ə n
adreces	ə ð ɾ 'e s ə s
adreceu	ə ð ɾ ə s 'ɛ w
adreceuvos	ə ð ɾ ə s 'ɛ w β u s
adreci	ə ð ɾ 'e s i
adrenalina	ə ð ɾ ə n ə l 'i n ə
adreça	ə ð ɾ 'e s ə
adreçada	ə ð ɾ ə s 'a ð ə
adreçades	ə ð ɾ ə s 'a ð ə s
adreçador	ə ð ɾ ə s ə ð 'o
adreçantse	ə ð ɾ ə s 'a n s ə
adreçar	ə ð ɾ ə s 'a
adreçaran	ə ð ɾ ə s ə ɾ 'a n
adreçarme	ə ð ɾ ə s 'a r m ə
adreçarse	ə ð ɾ ə s 'a r s ə
adreçarvos	ə ð ɾ ə s 'a ɾ β u s
adreçarà	ə ð ɾ ə s ə ɾ 'a
adreçat	ə ð ɾ ə s 'a t
adreçats	ə ð ɾ ə s 'a t s
adreçava	ə ð ɾ ə s 'a β ə
adreçaven	ə ð ɾ ə s 'a β ə n
adreço	ə ð ɾ 'e s u
adrianenc	ə ð ɾ i ə n 'ɛ ŋ
adrianenques	ə ð ɾ i ə n 'ɛ ŋ k ə s
adrià	ə ð ɾ i 'a
adscripcions	ə ts k ɾ i p s i 'o n s
adscripció	ə ts k ɾ i p s i 'o
adscrit	ə ts k ɾ 'i t
adscrita	ə ts k ɾ 'i t ə
adscrites	ə ts k ɾ 'i t ə s
adscrits	ə ts k ɾ 'i t s
adscriu	ə ts k ɾ 'i w
adscriure	ə ts k ɾ 'i w ɾ ə
adulació	ə ð u l ə s i 'o
aduladors	ə ð u l ə ð 'o s
adult	ə ð 'u l
adulta	ə ð 'u l t ə
adulterar	ə ð u l t ə ɾ 'a
adulterat	ə ð u l t ə ɾ 'a t
adulteri	ə ð u l t 'ɛ ɾ i
adultes	ə ð 'u l t ə s
adults	ə ð 'u l s
adveniment	ə d b ə n i m 'e n
advers	ə d b 'ɛ r s
adversa	ə d b 'ɛ r s ə
adversaire	ə d b ə r s 'a j ɾ ə
adversari	ə d b ə r s 'a ɾ i
adversaris	ə d b ə r s 'a ɾ i s
adverses	ə d b 'ɛ r s ə s
adversitat	ə d b ə r s i t 'a t
adversitats	ə d b ə r s i t 'a t s
adversos	ə d b 'ɛ r s u s
adversària	ə d b ə r s 'a ɾ i ə
adversàries	ə d b ə r s 'a ɾ i ə s
