a	ə
acompliɾ	ə k u m p l 'i
acompliɾé	ə k u m p l i ɾ 'e
aconfessional	ə k u m f ə s i u n 'a l
aconsegueix	ə k u n s ə ɣ 'ɛ ʃ
aconsegueixen	ə k u n s ə ɣ 'ɛ ʃ ə n
aconsegueixes	ə k u n s ə ɣ 'ɛ ʃ ə s
aconsegueixi	ə k u n s ə ɣ 'ɛ ʃ i
aconsegueixin	ə k u n s ə ɣ 'ɛ ʃ i n
aconsegueixo	ə k u n s ə ɣ 'ɛ ʃ u
aconseguia	ə k u n s ə ɣ 'i ə
aconseguida	ə k u n s ə ɣ 'i ð ə
aconseguides	ə k u n s ə ɣ 'i ð ə s
aconseguien	ə k u n s ə ɣ 'i ə n
aconseguim	ə k u n s ə ɣ 'i m
aconseguint	ə k u n s ə ɣ 'i n
aconseguintho	ə k u n s ə ɣ 'i n t u
aconseguiɾ	ə k u n s ə ɣ 'i
aconseguiɾan	ə k u n s ə ɣ i ɾ 'a n
aconseguiɾem	ə k u n s ə ɣ i ɾ 'ɛ m
aconseguiɾen	ə k u n s ə ɣ 'i ɾ ə n
aconseguiɾeu	ə k u n s ə ɣ i ɾ 'ɛ w
aconseguiɾho	ə k u n s ə ɣ 'i ɾ u
aconseguiɾia	ə k u n s ə ɣ i ɾ 'i ə
aconseguiɾien	ə k u n s ə ɣ i ɾ 'i ə n
aconseguiɾla	ə k u n s ə ɣ 'i r l ə
aconseguiɾlo	ə k u n s ə ɣ 'i r l u
aconseguiɾlos	ə k u n s ə ɣ 'i r l u s
aconseguiɾne	ə k u n s ə ɣ 'i r n ə
aconseguiɾse	ə k u n s ə ɣ 'i r s ə
aconseguiɾà	ə k u n s ə ɣ i ɾ 'a
aconseguiɾàs	ə k u n s ə ɣ i ɾ 'a s
aconseguiɾé	ə k u n s ə ɣ i ɾ 'e
aconseguiɾíem	ə k u n s ə ɣ i ɾ 'i ə m
aconseguissin	ə k u n s ə ɣ 'i s i n
aconseguit	ə k u n s ə ɣ 'i t
aconseguits	ə k u n s ə ɣ 'i t s
aconseguiu	ə k u n s ə ɣ 'i w
aconseguí	ə k u n s ə ɣ 'i
aconseguís	ə k u n s ə ɣ 'i s
aconsella	ə k u n s 'e ʎ ə
aconsellable	ə k u n s ə ʎ 'a b b l ə
aconsellables	ə k u n s ə ʎ 'a b b l ə s
aconsellant	ə k u n s ə ʎ 'a n
aconsellaɾ	ə k u n s ə ʎ 'a
aconsellaɾia	ə k u n s ə ʎ ə ɾ 'i ə
aconsellaɾlos	ə k u n s ə ʎ 'a r l u s
aconsellat	ə k u n s ə ʎ 'a t
aconsellava	ə k u n s ə ʎ 'a β ə
aconsellaven	ə k u n s ə ʎ 'a β ə n
aconsellem	ə k u n s ə ʎ 'ɛ m
aconsellen	ə k u n s 'e ʎ ə n
aconselli	ə k u n s 'e ʎ i
aconsellin	ə k u n s 'e ʎ i n
aconsello	ə k u n s 'e ʎ u
acontenta	ə k u n t 'e n t ə
acontentaɾ	ə k u n t ə n t 'a
acontentaɾse	ə k u n t ə n t 'a r s ə
acontentava	ə k u n t ə n t 'a β ə
acontenten	ə k u n t 'e n t ə n
acontɾapèl	ə k u n t ɾ ə p 'ɛ l
acoɾd	ə k 'ɔ r t
acoɾda	ə k 'ɔ ɾ ð ə
acoɾdada	ə k u ɾ ð 'a ð ə
acoɾdades	ə k u ɾ ð 'a ð ə s
acoɾdaɾ	ə k u ɾ ð 'a
acoɾdaɾan	ə k u ɾ ð ə ɾ 'a n
acoɾdaɾà	ə k u ɾ ð ə ɾ 'a
acoɾdat	ə k u ɾ ð 'a t
acoɾdats	ə k u ɾ ð 'a t s
acoɾdava	ə k u ɾ ð 'a β ə
acoɾden	ə k 'ɔ ɾ ð ə n
acoɾdes	ə k 'ɔ ɾ ð ə s
acoɾdessin	ə k u ɾ ð 'e s i n
acoɾdi	ə k 'ɔ ɾ ð i
acoɾdin	ə k 'ɔ ɾ ð i n
acoɾdionista	ə k u ɾ ð i u n 'i s t ə
acoɾdionistes	ə k u ɾ ð i u n 'i s t ə s
acoɾdions	ə k u ɾ ð i 'o n s
acoɾdió	ə k u ɾ ð i 'o
acoɾdonada	ə k u ɾ ð u n 'a ð ə
acoɾdonaɾ	ə k u ɾ ð u n 'a
acoɾdonat	ə k u ɾ ð u n 'a t
acoɾds	ə k 'ɔ r s
acoɾdés	ə k u ɾ ð 'e s
acoralada	ə k u r ə l 'a ð ə
acoralaɾ	ə k u r ə l 'a
acoralat	ə k u r ə l 'a t
acoralats	ə k u r ə l 'a t s
acorecuita	ə k u r ə k 'u j t ə
acosta	ə k 'ɔ s t ə
acostament	ə k u s t ə m 'e n
acostaments	ə k u s t ə m 'e n s
acostant	ə k u s t 'a n
acostantse	ə k u s t 'a n s ə
acostaɾ	ə k u s t 'a
acostaɾan	ə k u s t ə ɾ 'a n
acostaɾia	ə k u s t ə ɾ 'i ə
acostaɾla	ə k u s t 'a r l ə
acostaɾlos	ə k u s t 'a r l u s
acostaɾnos	ə k u s t 'a r n u s
acostaɾse	ə k u s t 'a r s ə
acostaɾshi	ə k u s t 'a r s i
acostaɾà	ə k u s t ə ɾ 'a
acostat	ə k u s t 'a t
acostathi	ə k u s t 'a t i
acostava	ə k u s t 'a β ə
acostaven	ə k u s t 'a β ə n
acostem	ə k u s t 'ɛ m
acosten	ə k 'ɔ s t ə n
acostes	ə k 'ɔ s t ə s
acostessin	ə k u s t 'e s i n
acosti	ə k 'ɔ s t i
acostin	ə k 'ɔ s t i n
acosto	ə k 'ɔ s t u
acostuma	ə k u s t 'u m ə
acostumada	ə k u s t u m 'a ð ə
acostumades	ə k u s t u m 'a ð ə s
acostumant	ə k u s t u m 'a n
acostumaɾ	ə k u s t u m 'a
acostumaɾnos	ə k u s t u m 'a r n u s
acostumaɾse	ə k u s t u m 'a r s ə
acostumat	ə k u s t u m 'a t
acostumats	ə k u s t u m 'a t s
acostumava	ə k u s t u m 'a β ə
acostumaven	ə k u s t u m 'a β ə n
acostumaves	ə k u s t u m 'a β ə s
acostumem	ə k u s t u m 'ɛ m
acostumen	ə k u s t 'u m ə n
acostumes	ə k u s t 'u m ə s
acostumeu	ə k u s t u m 'ɛ w
acostumi	ə k u s t 'u m i
acostumin	ə k u s t 'u m i n
acostumo	ə k u s t 'u m u
acostés	ə k u s t 'e s
acota	ə k 'ɔ t ə
acotacions	ə k u t ə s i 'o n s
acotació	ə k u t ə s i 'o
acotaɾ	ə k u t 'a
acovaɾdiɾ	ə k u β ə ɾ ð 'i
acɾe	'a k ɾ ə
acɾedita	ə k ɾ ə ð 'i t ə
acɾeditacions	ə k ɾ ə ð i t ə s i 'o n s
acɾeditació	ə k ɾ ə ð i t ə s i 'o
acɾeditada	ə k ɾ ə ð i t 'a ð ə
acɾeditades	ə k ɾ ə ð i t 'a ð ə s
acɾeditant	ə k ɾ ə ð i t 'a n
acɾeditaɾ	ə k ɾ ə ð i t 'a
acɾeditaɾà	ə k ɾ ə ð i t ə ɾ 'a
acɾeditat	ə k ɾ ə ð i t 'a t
acɾeditatiu	ə k ɾ ə ð i t ə t 'i w
acɾeditatius	ə k ɾ ə ð i t ə t 'i w s
acɾeditativa	ə k ɾ ə ð i t ə t 'i β ə
acɾeditats	ə k ɾ ə ð i t 'a t s
acɾeditava	ə k ɾ ə ð i t 'a β ə
acɾediten	ə k ɾ ə ð 'i t ə n
acɾediti	ə k ɾ ə ð 'i t i
acɾeditin	ə k ɾ ə ð 'i t i n
acɾes	'a k ɾ ə s
acɾescut	ə k ɾ ə s k 'u t
acɾitud	ə k ɾ i t 'u t
acɾobàcia	ə k ɾ u β 'a s i ə
acɾobàcies	ə k ɾ u β 'a s i ə s
acɾobàtic	ə k ɾ u β 'a t i k
acɾobàtica	ə k ɾ u β 'a t i k ə
acɾobàtics	ə k ɾ u β 'a t i k s
acɾobàtiques	ə k ɾ u β 'a t i k ə s
acɾílic	ə k ɾ 'i l i k
acɾílics	ə k ɾ 'i l i k s
acɾític	ə k ɾ 'i t i k
acɾítica	ə k ɾ 'i t i k ə
acɾòbata	ə k ɾ 'ɔ β ə t ə
acɾòbates	ə k ɾ 'ɔ β ə t ə s
acɾònim	ə k ɾ 'ɔ n i m
acɾònims	ə k ɾ 'ɔ n i m s
acta	'a k t ə
acte	'a k t ə
actes	'a k t ə s
actitud	ə k t i t 'u t
actitudinals	ə k t i t u ð i n 'a l s
actituds	ə k t i t 'u t s
actiu	ə k t 'i w
actius	ə k t 'i w s
activa	ə k t 'i β ə
activació	ə k t i β ə s i 'o
activada	ə k t i β 'a ð ə
activades	ə k t i β 'a ð ə s
activant	ə k t i β 'a n
activaɾ	ə k t i β 'a
activaɾan	ə k t i β ə ɾ 'a n
activaɾia	ə k t i β ə ɾ 'i ə
activaɾies	ə k t i β ə ɾ 'i ə s
activaɾse	ə k t i β 'a r s ə
activaɾà	ə k t i β ə ɾ 'a
activat	ə k t i β 'a t
activats	ə k t i β 'a t s
activen	ə k t 'i β ə n
actives	ə k t 'i β ə s
activi	ə k t 'i β i
activisme	ə k t i β 'i z m ə
activista	ə k t i β 'i s t ə
activistes	ə k t i β 'i s t ə s
activitat	ə k t i β i t 'a t
activitats	ə k t i β i t 'a t s
activés	ə k t i β 'e s
actoɾ	ə k t 'o
actoɾes	ə k t 'o ɾ ə s
actoɾs	ə k t 'o s
actoɾsballaɾins	ə k t u r z β ə ʎ ə ɾ 'i n s
actoɾsdiɾectoɾs	ə k t u r z ð i ɾ ə k t 'o s
actɾiu	ə k t ɾ 'i w
actɾius	ə k t ɾ 'i w s
actua	ə k t 'u ə
actuacions	ə k t u ə s i 'o n s
actuació	ə k t u ə s i 'o
actual	ə k t u 'a l
actualitat	ə k t u ə l i t 'a t
actualitza	ə k t u ə l 'i d z ə
actualitzable	ə k t u ə l i d z 'a b b l ə
actualitzacions	ə k t u ə l i d z ə s i 'o n s
actualització	ə k t u ə l i d z ə s i 'o
actualitzada	ə k t u ə l i d z 'a ð ə
actualitzades	ə k t u ə l i d z 'a ð ə s
actualitzadoɾ	ə k t u ə l i d z ə ð 'o
actualitzant	ə k t u ə l i d z 'a n
actualitzaɾ	ə k t u ə l i d z 'a
actualitzaɾan	ə k t u ə l i d z ə ɾ 'a n
actualitzaɾies	ə k t u ə l i d z ə ɾ 'i ə s
actualitzaɾlo	ə k t u ə l i d z 'a r l u
actualitzaɾse	ə k t u ə l i d z 'a r s ə
actualitzaɾà	ə k t u ə l i d z ə ɾ 'a
actualitzat	ə k t u ə l i d z 'a t
actualitzats	ə k t u ə l i d z 'a t s
actualitzem	ə k t u ə l i d z 'ɛ m
actualitzen	ə k t u ə l 'i d z ə n
actualitzeu	ə k t u ə l i d z 'ɛ w
actualitzi	ə k t u ə l 'i d z i
actualitzin	ə k t u ə l 'i d z i n
actuals	ə k t u 'a l s
actuant	ə k t u 'a n
actuaɾ	ə k t u 'a
actuaɾan	ə k t u ə ɾ 'a n
actuaɾem	ə k t u ə ɾ 'ɛ m
actuaɾeu	ə k t u ə ɾ 'ɛ w
actuaɾhi	ə k t u 'a ɾ i
actuaɾia	ə k t u ə ɾ 'i ə
actuaɾien	ə k t u ə ɾ 'i ə n
actuaɾà	ə k t u ə ɾ 'a
actuaɾé	ə k t u ə ɾ 'e
actuat	ə k t u 'a t
actuava	ə k t u 'a β ə
actuaven	ə k t u 'a β ə n
actuem	ə k t u 'ɛ m
actuen	ə k t 'u ə n
actuessin	ə k t u 'e s i n
actueu	ə k t u 'ɛ w
actuo	ə k t 'u u
actués	ə k t u 'e s
actuï	ə k t 'u i
actuïn	ə k t 'u i n
acudeix	ə k u ð 'ɛ ʃ
acudeixen	ə k u ð 'ɛ ʃ ə n
acudeixi	ə k u ð 'ɛ ʃ i
acudeixin	ə k u ð 'ɛ ʃ i n
acuden	ə k 'u ð ə n
acudia	ə k u ð 'i ə
acudien	ə k u ð 'i ə n
acudin	ə k 'u ð i n
acudint	ə k u ð 'i n
acudiɾ	ə k u ð 'i
acudiɾan	ə k u ð i ɾ 'a n
acudiɾhi	ə k u ð 'i ɾ i
acudiɾia	ə k u ð i ɾ 'i ə
acudiɾà	ə k u ð i ɾ 'a
acudissin	ə k u ð 'i s i n
acudit	ə k u ð 'i t
acudits	ə k u ð 'i t s
acudo	ə k 'u ð u
acudís	ə k u ð 'i s
aculaɾ	ə k u l 'a
aculat	ə k u l 'a t
acull	ə k 'u ʎ
acullen	ə k 'u ʎ ə n
aculli	ə k 'u ʎ i
acullin	ə k 'u ʎ i n
acultuɾació	ə k u l t u ɾ ə s i 'o
acumula	ə k u m 'u l ə
acumulacions	ə k u m u l ə s i 'o n s
acumulació	ə k u m u l ə s i 'o
acumulada	ə k u m u l 'a ð ə
acumulades	ə k u m u l 'a ð ə s
acumulant	ə k u m u l 'a n
acumulantse	ə k u m u l 'a n s ə
acumulaɾ	ə k u m u l 'a
acumulat	ə k u m u l 'a t
acumulatiu	ə k u m u l ə t 'i w
acumulatius	ə k u m u l ə t 'i w s
acumulativa	ə k u m u l ə t 'i β ə
acumulats	ə k u m u l 'a t s
acumulava	ə k u m u l 'a β ə
acumulaven	ə k u m u l 'a β ə n
acumulen	ə k u m 'u l ə n
acumuli	ə k u m 'u l i
acumulin	ə k u m 'u l i n
acupuntuɾa	ə k u p u n t 'u ɾ ə
acuɾada	ə k u ɾ 'a ð ə
acuɾades	ə k u ɾ 'a ð ə s
acuɾat	ə k u ɾ 'a t
acuɾats	ə k u ɾ 'a t s
acusa	ə k 'u z ə
acusacions	ə k u z ə s i 'o n s
acusació	ə k u z ə s i 'o
acusada	ə k u z 'a ð ə
acusades	ə k u z 'a ð ə s
acusadoɾ	ə k u z ə ð 'o
acusadoɾa	ə k u z ə ð 'o ɾ ə
acusadoɾs	ə k u z ə ð 'o s
acusant	ə k u z 'a n
acusantla	ə k u z 'a n l l ə
acusantlo	ə k u z 'a n l l u
acusantlos	ə k u z 'a n l l u s
acusaɾ	ə k u z 'a
acusaɾan	ə k u z ə ɾ 'a n
acusaɾeu	ə k u z ə ɾ 'ɛ w
acusaɾlo	ə k u z 'a r l u
acusaɾlos	ə k u z 'a r l u s
acusaɾse	ə k u z 'a r s ə
acusaɾà	ə k u z ə ɾ 'a
acusat	ə k u z 'a t
acusats	ə k u z 'a t s
acusava	ə k u z 'a β ə
acusaven	ə k u z 'a β ə n
acusen	ə k 'u z ə n
acuseu	ə k u z 'ɛ w
acusi	ə k 'u z i
acusin	ə k 'u z i n
acusis	ə k 'u z i s
acuso	ə k 'u z u
acusés	ə k u z 'e s
acut	ə k 'u t
acutangles	ə k u t 'a ŋ g l ə s
acàcia	ə k 'a s i ə
acàcies	ə k 'a s i ə s
acèrim	ə s 'ɛ r i m
ací	ə s 'i
acòlits	ə k 'ɔ l i t s
acústic	ə k 'u s t i k
acústica	ə k 'u s t i k ə
acústics	ə k 'u s t i k s
acústiques	ə k 'u s t i k ə s
adagio	ə ð ə ʒ 'i u
adagis	ə ð 'a ʒ i s
adalt	ə ð 'a l
adam	ə ð 'a m
adams	ə ð 'a m s
adapta	ə ð 'a p t ə
adaptable	ə ð ə p t 'a b b l ə
adaptables	ə ð ə p t 'a b b l ə s
adaptacions	ə ð ə p t ə s i 'o n s
adaptació	ə ð ə p t ə s i 'o
adaptada	ə ð ə p t 'a ð ə
adaptades	ə ð ə p t 'a ð ə s
adaptadoɾ	ə ð ə p t ə ð 'o
adaptadoɾs	ə ð ə p t ə ð 'o s
adaptant	ə ð ə p t 'a n
adaptantse	ə ð ə p t 'a n s ə
adaptaɾ	ə ð ə p t 'a
adaptaɾan	ə ð ə p t ə ɾ 'a n
adaptaɾia	ə ð ə p t ə ɾ 'i ə
adaptaɾla	ə ð ə p t 'a r l ə
adaptaɾles	ə ð ə p t 'a r l ə s
adaptaɾlo	ə ð ə p t 'a r l u
adaptaɾlos	ə ð ə p t 'a r l u s
adaptaɾme	ə ð ə p t 'a r m ə
adaptaɾnos	ə ð ə p t 'a r n u s
adaptaɾse	ə ð ə p t 'a r s ə
adaptaɾshi	ə ð ə p t 'a r s i
adaptaɾà	ə ð ə p t ə ɾ 'a
adaptat	ə ð ə p t 'a t
adaptats	ə ð ə p t 'a t s
adaptava	ə ð ə p t 'a β ə
adaptem	ə ð ə p t 'ɛ m
adapten	ə ð 'a p t ə n
adaptessin	ə ð ə p t 'e s i n
adapteu	ə ð ə p t 'ɛ w
adapti	ə ð 'a p t i
adaptin	ə ð 'a p t i n
adapto	ə ð 'a p t u
addiccions	ə d d i k s i 'o n s
addicció	ə d d i k s i 'o
addicional	ə d d i s i u n 'a l
addicionals	ə d d i s i u n 'a l s
addicions	ə d d i s i 'o n s
addició	ə d d i s i 'o
addicta	ə d d 'i k t ə
addicte	ə d d 'i k t ə
addictes	ə d d 'i k t ə s
addictiu	ə d d i k t 'i w
addictiva	ə d d i k t 'i β ə
additiu	ə d d i t 'i w
additius	ə d d i t 'i w s
adductoɾ	ə d d u k t 'o
adductoɾs	ə d d u k t 'o s
addueix	ə d d u 'ɛ ʃ
addueixen	ə d d u 'ɛ ʃ ə n
adduint	ə d d u 'i n
adduiɾ	ə d d u 'i
adduí	ə d d u 'i
adduïa	ə d d u 'i ə
adduït	ə d d u 'i t
adduïts	ə d d u 'i t s
adeien	ə ð 'ɛ j ə n
adell	ə ð 'e ʎ
adena	ə ð 'ɛ n ə
adenosina	ə ð ə n u z 'i n ə
adeptes	ə ð 'e p t ə s
adequa	ə ð 'e k w ə
adequació	ə ð ə k w ə s i 'o
adequada	ə ð ə k w 'a ð ə
adequades	ə ð ə k w 'a ð ə s
adequaɾ	ə ð ə k w 'a
adequaɾia	ə ð ə k w ə ɾ 'i ə
adequaɾlo	ə ð ə k w 'a r l u
adequaɾse	ə ð ə k w 'a r s ə
adequaɾà	ə ð ə k w ə ɾ 'a
adequat	ə ð ə k w 'a t
adequats	ə ð ə k w 'a t s
adeqüi	ə ð 'e k w i
adheɾeix	ə ð ə ɾ 'ɛ ʃ
adheɾeixen	ə ð ə ɾ 'ɛ ʃ ə n
adheɾeixi	ə ð ə ɾ 'ɛ ʃ i
adheɾeixin	ə ð ə ɾ 'ɛ ʃ i n
adheɾeixo	ə ð ə ɾ 'ɛ ʃ u
adheɾida	ə ð ə ɾ 'i ð ə
adheɾides	ə ð ə ɾ 'i ð ə s
adheɾiɾ	ə ð ə ɾ 'i
adheɾiɾme	ə ð ə ɾ 'i r m ə
adheɾiɾse	ə ð ə ɾ 'i r s ə
adheɾiɾshi	ə ð ə ɾ 'i r s i
adheɾit	ə ð ə ɾ 'i t
adheɾits	ə ð ə ɾ 'i t s
adheɾència	ə ð ə ɾ 'ɛ n s i ə
adhesions	ə ð ə z i 'o n s
adhesiu	ə ð ə z 'i w
adhesius	ə ð ə z 'i w s
adhesiva	ə ð ə z 'i β ə
adhesives	ə ð ə z 'i β ə s
adhesió	ə ð ə z i 'o
adient	ə ð i 'e n
adients	ə ð i 'e n s
adigui	ə ð 'i ɣ i
adineɾat	ə ð i n ə ɾ 'a t
adineɾats	ə ð i n ə ɾ 'a t s
adio	ə ð 'i u
adipós	ə ð i p 'o s
adiɾ	ə ð 'i
adiu	ə ð 'i w
adiuen	ə ð 'i w ə n
adjacent	ə d ʒ ə s 'e n
adjacents	ə d ʒ ə s 'e n s
adjectiu	ə d ʒ ə k t 'i w
adjectius	ə d ʒ ə k t 'i w s
adjectivació	ə d ʒ ə k t i β ə s i 'o
adjudica	ə d ʒ u ð 'i k ə
adjudicacions	ə d ʒ u ð i k ə s i 'o n s
adjudicació	ə d ʒ u ð i k ə s i 'o
adjudicada	ə d ʒ u ð i k 'a ð ə
adjudicades	ə d ʒ u ð i k 'a ð ə s
adjudicant	ə d ʒ u ð i k 'a n
adjudicantse	ə d ʒ u ð i k 'a n s ə
adjudicaɾ	ə d ʒ u ð i k 'a
adjudicaɾan	ə d ʒ u ð i k ə ɾ 'a n
adjudicaɾse	ə d ʒ u ð i k 'a r s ə
adjudicaɾà	ə d ʒ u ð i k ə ɾ 'a
adjudicat	ə d ʒ u ð i k 'a t
adjudicataɾi	ə d ʒ u ð i k ə t 'a ɾ i
adjudicats	ə d ʒ u ð i k 'a t s
adjudicatàɾia	ə d ʒ u ð i k ə t 'a ɾ i ə
adjudicatàɾies	ə d ʒ u ð i k ə t 'a ɾ i ə s
adjudiquen	ə d ʒ u ð 'i k ə n
adjudiqués	ə d ʒ u ð i k 'e s
adjunt	ə d ʒ 'u n
adjunta	ə d ʒ 'u n t ə
adjuntaɾ	ə d ʒ u n t 'a
adjuntaɾhi	ə d ʒ u n t 'a ɾ i
adjuntaɾies	ə d ʒ u n t ə ɾ 'i ə s
adjuntat	ə d ʒ u n t 'a t
adjuntem	ə d ʒ u n t 'ɛ m
adjunteu	ə d ʒ u n t 'ɛ w
adjunteulo	ə d ʒ u n t 'ɛ w l u
adjunto	ə d ʒ 'u n t u
adjunts	ə d ʒ 'u n s
admesa	ə d m 'ɛ z ə
admeses	ə d m 'ɛ z ə s
admesos	ə d m 'ɛ z u s
admet	ə d m 'ɛ t
admetem	ə d m ə t 'ɛ m
admeten	ə d m 'ɛ t ə n
admetent	ə d m ə t 'e n
admeti	ə d m 'ɛ t i
admetia	ə d m ə t 'i ə
admetien	ə d m ə t 'i ə n
admetin	ə d m 'ɛ t i n
admeto	ə d m 'ɛ t u
admetɾan	ə d m ə t ɾ 'a n
admetɾe	ə d m 'ɛ t ɾ ə
admetɾeho	ə d m ə t ɾ 'e u
admetɾia	ə d m ə t ɾ 'i ə
admetɾà	ə d m ə t ɾ 'a
admetés	ə d m ə t 'e s
administɾa	ə d m i n 'i s t ɾ ə
administɾacions	ə d m i n i s t ɾ ə s i 'o n s
administɾació	ə d m i n i s t ɾ ə s i 'o
administɾada	ə d m i n i s t ɾ 'a ð ə
administɾadoɾ	ə d m i n i s t ɾ ə ð 'o
administɾadoɾs	ə d m i n i s t ɾ ə ð 'o s
administɾaɾ	ə d m i n i s t ɾ 'a
administɾaɾà	ə d m i n i s t ɾ ə ɾ 'a
administɾat	ə d m i n i s t ɾ 'a t
administɾatiu	ə d m i n i s t ɾ ə t 'i w
administɾatius	ə d m i n i s t ɾ ə t 'i w s
administɾativa	ə d m i n i s t ɾ ə t 'i β ə
administɾatives	ə d m i n i s t ɾ ə t 'i β ə s
administɾats	ə d m i n i s t ɾ 'a t s
administɾava	ə d m i n i s t ɾ 'a β ə
administɾen	ə d m i n 'i s t ɾ ə n
administɾi	ə d m i n 'i s t ɾ i
admiɾa	ə d m 'i ɾ ə
admiɾable	ə d m i ɾ 'a b b l ə
admiɾables	ə d m i ɾ 'a b b l ə s
admiɾació	ə d m i ɾ ə s i 'o
admiɾada	ə d m i ɾ 'a ð ə
admiɾades	ə d m i ɾ 'a ð ə s
admiɾadoɾ	ə d m i ɾ ə ð 'o
admiɾadoɾa	ə d m i ɾ ə ð 'o ɾ ə
admiɾadoɾes	ə d m i ɾ ə ð 'o ɾ ə s
admiɾadoɾs	ə d m i ɾ ə ð 'o s
admiɾant	ə d m i ɾ 'a n
admiɾaɾ	ə d m i ɾ 'a
admiɾaɾlo	ə d m i ɾ 'a r l u
admiɾat	ə d m i ɾ 'a t
admiɾats	ə d m i ɾ 'a t s
admiɾava	ə d m i ɾ 'a β ə
admiɾem	ə d m i ɾ 'ɛ m
admiɾen	ə d m 'i ɾ ə n
admiɾes	ə d m 'i ɾ ə s
admiɾeu	ə d m i ɾ 'ɛ w
admiɾo	ə d m 'i ɾ u
admissible	ə d m i s 'i b b l ə
admissibles	ə d m i s 'i b b l ə s
admissió	ə d m i s i 'o
admès	ə d m 'ɛ s
adob	ə ð 'o p
adobaɾ	ə ð u β 'a
adobaɾho	ə ð u β 'a ɾ u
adobat	ə ð u β 'a t
adobs	ə ð 'o p s
adoctɾinament	ə ð u k t ɾ i n ə m 'e n
adolescent	ə ð u l ə s 'e n
adolescents	ə ð u l ə s 'e n s
adolescència	ə ð u l ə s 'ɛ n s i ə
adoloɾida	ə ð u l u ɾ 'i ð ə
adona	ə ð 'o n ə
adonant	ə ð u n 'a n
adonantse	ə ð u n 'a n s ə
adonaɾ	ə ð u n 'a
adonaɾan	ə ð u n ə ɾ 'a n
adonaɾem	ə ð u n ə ɾ 'ɛ m
adonaɾen	ə ð u n 'a ɾ ə n
adonaɾeu	ə ð u n ə ɾ 'ɛ w
adonaɾien	ə ð u n ə ɾ 'i ə n
adonaɾme	ə ð u n 'a r m ə
adonaɾmen	ə ð u n 'a r m ə n
adonaɾnos	ə ð u n 'a r n u s
adonaɾnosen	ə ð u n ə r n 'o z ə n
adonaɾse	ə ð u n 'a r s ə
adonaɾsen	ə ð u n 'a r s ə n
adonaɾvos	ə ð u n 'a ɾ β u s
adonaɾvosen	ə ð u n ə ɾ β 'o z ə n
adonaɾà	ə ð u n ə ɾ 'a
adonaɾàs	ə ð u n ə ɾ 'a s
adonaɾíem	ə ð u n ə ɾ 'i ə m
adonat	ə ð u n 'a t
adonava	ə ð u n 'a β ə
adonem	ə ð u n 'ɛ m
adonen	ə ð 'o n ə n
adones	ə ð 'o n ə s
adonessin	ə ð u n 'e s i n
adoneu	ə ð u n 'ɛ w
adoni	ə ð 'o n i
adonin	ə ð 'o n i n
adonis	ə ð 'o n i s
adono	ə ð 'o n u
adonés	ə ð u n 'e s
adonéssiu	ə ð u n 'e s i w
adopcions	ə ð u p s i 'o n s
adopció	ə ð u p s i 'o
adopta	ə ð 'o p t ə
adoptada	ə ð u p t 'a ð ə
adoptades	ə ð u p t 'a ð ə s
adoptant	ə ð u p t 'a n
adoptants	ə ð u p t 'a n s
adoptaɾ	ə ð u p t 'a
adoptaɾan	ə ð u p t ə ɾ 'a n
adoptaɾà	ə ð u p t ə ɾ 'a
adoptat	ə ð u p t 'a t
adoptats	ə ð u p t 'a t s
adoptava	ə ð u p t 'a β ə
adoptem	ə ð u p t 'ɛ m
adopten	ə ð 'o p t ə n
adopti	ə ð 'ɔ p t i
adoptin	ə ð 'ɔ p t i n
adoptiu	ə ð u p t 'i w
adoptius	ə ð u p t 'i w s
adoptiva	ə ð u p t 'i β ə
adoptà	ə ð u p t 'a
adoptés	ə ð u p t 'e s
adoɾa	ə ð 'o ɾ ə
adoɾables	ə ð u ɾ 'a b b l ə s
adoɾació	ə ð u ɾ ə s i 'o
adoɾada	ə ð u ɾ 'a ð ə
adoɾadoɾs	ə ð u ɾ ə ð 'o s
adoɾaɾ	ə ð u ɾ 'a
adoɾat	ə ð u ɾ 'a t
adoɾava	ə ð u ɾ 'a β ə
adoɾen	ə ð 'o ɾ ə n
adoɾm	ə ð 'o r m
adoɾmida	ə ð u r m 'i ð ə
adoɾmides	ə ð u r m 'i ð ə s
adoɾmiɾ	ə ð u r m 'i
adoɾmiɾnos	ə ð u r m 'i r n u s
adoɾmiɾse	ə ð u r m 'i r s ə
adoɾmit	ə ð u r m 'i t
adoɾmits	ə ð u r m 'i t s
adoɾmo	ə ð 'o r m u
adoɾna	ə ð 'o r n ə
adoɾnant	ə ð u r n 'a n
adoɾnaɾ	ə ð u r n 'a
adoɾnats	ə ð u r n 'a t s
adoɾnen	ə ð 'o r n ə n
adoɾns	ə ð 'o r n s
adossada	ə ð u s 'a ð ə
adossades	ə ð u s 'a ð ə s
adossat	ə ð u s 'a t
adquiɾeix	ə t k i ɾ 'ɛ ʃ
adquiɾeixen	ə t k i ɾ 'ɛ ʃ ə n
adquiɾeixi	ə t k i ɾ 'ɛ ʃ i
adquiɾeixin	ə t k i ɾ 'ɛ ʃ i n
adquiɾent	ə t k i ɾ 'e n
adquiɾia	ə t k i ɾ 'i ə
adquiɾida	ə t k i ɾ 'i ð ə
adquiɾides	ə t k i ɾ 'i ð ə s
adquiɾint	ə t k i ɾ 'i n
