A	'ə
actinídia	ə k t i n 'i ð i ə
actinomicosi	ə k t i n u m i k 'ɔ z i
actitud	ə k t i t 'u t
actituds	ə k t i t 'u t s
actiu	ə k t 'i w
activa	ə k t 'i β ə
activació	ə k t i β ə s i 'o
activacions	ə k t i β ə s i 'o n s
activada	ə k t i β 'a ð ə
activades	ə k t i β 'a ð ə s
activar	ə k t i β 'a
activat	ə k t i β 'a t
activats	ə k t i β 'a t s
activisme	ə k t i β 'i z m ə
activista	ə k t i β 'i s t ə
activitat	ə k t i β i t 'a t
activitats	ə k t i β i t 'a t s
activo	ə k t 'i β u
actor	ə k t 'o
actriu	ə k t ɾ 'i w
actrius	ə k t ɾ 'i w s
actua	ə k t 'u ə
actuació	ə k t u ə s i 'o
actuacions	ə k t u ə s i 'o n s
actuada	ə k t u 'a ð ə
actuades	ə k t u 'a ð ə s
actual	ə k t u 'a l
actualitat	ə k t u ə l i t 'a t
actualitats	ə k t u ə l i t 'a t s
actualització	ə k t u ə l i d z ə s i 'o
actualitzacions	ə k t u ə l i d z ə s i 'o n s
actualitzada	ə k t u ə l i d z 'a ð ə
actualitzades	ə k t u ə l i d z 'a ð ə s
actualitzant	ə k t u ə l i d z 'a n
actualitzar	ə k t u ə l i d z 'a
actualitzat	ə k t u ə l i d z 'a t
actualitzats	ə k t u ə l i d z 'a t s
actuals	ə k t u 'a l s
actuar	ə k t u 'a
actuarem	ə k t u ə ɾ 'ɛ m
actuares	ə k t u 'a ɾ ə s
actuaria	ə k t u ə ɾ 'i ə
actuat	ə k t u 'a t
actuats	ə k t u 'a t s
actuava	ə k t u 'a β ə
actuem	ə k t u 'ɛ m
actues	ə k t 'u ə s
actuo	ə k t 'u u
acubar	ə k u β 'a
acudia	ə k u ð 'i ə
acudida	ə k u ð 'i ð ə
acudides	ə k u ð 'i ð ə s
acudir	ə k u ð 'i
acudirem	ə k u ð i ɾ 'ɛ m
acudires	ə k u ð 'i ɾ ə s
acudiria	ə k u ð i ɾ 'i ə
acudit	ə k u ð 'i t
acudits	ə k u ð 'i t s
acudiu	ə k u ð 'i w
acular	ə k u l 'a
acumulació	ə k u m u l ə s i 'o
acumulacions	ə k u m u l ə s i 'o n s
acumulada	ə k u m u l 'a ð ə
acumulades	ə k u m u l 'a ð ə s
acumular	ə k u m u l 'a
acumulat	ə k u m u l 'a t
acumulatiu	ə k u m u l ə t 'i w
acumulats	ə k u m u l 'a t s
acurada	ə k u ɾ 'a ð ə
acurades	ə k u ɾ 'a ð ə s
acurat	ə k u ɾ 'a t
acurats	ə k u ɾ 'a t s
acusa	ə k 'u z ə
acusació	ə k u z ə s i 'o
acusacions	ə k u z ə s i 'o n s
acusada	ə k u z 'a ð ə
acusades	ə k u z 'a ð ə s
acusar	ə k u z 'a
acusarem	ə k u z ə ɾ 'ɛ m
acusàrem	ə k u z 'a ɾ ə m
acusares	ə k u z 'a ɾ ə s
acusaria	ə k u z ə ɾ 'i ə
acusat	ə k u z 'a t
acusatiu	ə k u z ə t 'i w
acusatius	ə k u z ə t 'i w s
acusativa	ə k u z ə t 'i β ə
acusatori	ə k u z ə t 'ɔ ɾ i
acusatòria	ə k u z ə t 'ɔ ɾ i ə
acusatòries	ə k u z ə t 'ɔ ɾ i ə s
acusatoris	ə k u z ə t 'ɔ ɾ i s
acusats	ə k u z 'a t s
acusava	ə k u z 'a β ə
acusem	ə k u z 'ɛ m
acuses	ə k 'u z ə s
acuso	ə k 'u z u
acústic	ə k 'u s t i k
acústics	ə k 'u s t i k s
acústiques	ə k 'u s t i k ə s
Ada	'a ð ə
adalil	ə ð ə l 'i l
Adam	ə ð 'a m
adàmic	ə ð 'a m i k
adaptabilitat	ə ð ə p t ə β i l i t 'a t
adaptabilitats	ə ð ə p t ə β i l i t 'a t s
adaptable	ə ð ə p t 'a b b l ə
adaptables	ə ð ə p t 'a b b l ə s
adaptació	ə ð ə p t ə s i 'o
adaptacions	ə ð ə p t ə s i 'o n s
adaptada	ə ð ə p t 'a ð ə
adaptades	ə ð ə p t 'a ð ə s
adaptar	ə ð ə p t 'a
adaptat	ə ð ə p t 'a t
adaptats	ə ð ə p t 'a t s
addicció	ə d d i k s i 'o
addiccions	ə d d i k s i 'o n s
addició	ə d d i s i 'o
addicionals	ə d d i s i u n 'a l s
addicions	ə d d i s i 'o n s
addicte	ə d d 'i k t ə
addictes	ə d d 'i k t ə s
additiu	ə d d i t 'i w
additius	ə d d i t 'i w s
additiva	ə d d i t 'i β ə
additives	ə d d i t 'i β ə s
adduïda	ə d d u 'i ð ə
adduïdes	ə d d u 'i ð ə s
adduir	ə d d u 'i
adduït	ə d d u 'i t
adduïts	ə d d u 'i t s
Adelaida	ə ð ə l 'a j ð ə
adeliciat	ə ð ə l i s i 'a t
adequada	ə ð ə k w 'a ð ə
adequades	ə ð ə k w 'a ð ə s
adequat	ə ð ə k w 'a t
adequats	ə ð ə k w 'a t s
adés	ə ð 'e s
adesiara	ə ð ə z i 'a ɾ ə
adeu	ə ð 'ɛ w
adéu	ə ð 'e w
adherència	ə ð ə ɾ 'ɛ n s i ə
adherències	ə ð ə ɾ 'ɛ n s i ə s
adherida	ə ð ə ɾ 'i ð ə
adherides	ə ð ə ɾ 'i ð ə s
adherir	ə ð ə ɾ 'i
adherit	ə ð ə ɾ 'i t
adherits	ə ð ə ɾ 'i t s
adhesiu	ə ð ə z 'i w
àdhuc	'a ð u k
adiabàtic	ə ð i ə β 'a t i k
adiabàtica	ə ð i ə β 'a t i k ə
adiabàtics	ə ð i ə β 'a t i k s
adiabàtiques	ə ð i ə β 'a t i k ə s
adiada	ə ð i 'a ð ə
adiades	ə ð i 'a ð ə s
adiar	ə ð i 'a
adiat	ə ð i 'a t
adiats	ə ð i 'a t s
adic	ə ð 'i k
adient	ə ð i 'e n
adigué	ə ð i ɣ 'e
adigues	ə ð 'i ɣ ə s
adigués	ə ð i ɣ 'e s
adigui	ə ð 'i ɣ i
adiguí	ə ð i ɣ 'i
adiguis	ə ð 'i ɣ i s
adinerada	ə ð i n ə ɾ 'a ð ə
adinerades	ə ð i n ə ɾ 'a ð ə s
adinerar	ə ð i n ə ɾ 'a
adinerat	ə ð i n ə ɾ 'a t
adinerats	ə ð i n ə ɾ 'a t s
adiós	ə ð i 'o s
adipós	ə ð i p 'o s
adir	ə ð 'i
adirà	ə ð i ɾ 'a
adiran	ə ð i ɾ 'a n
adiràs	ə ð i ɾ 'a s
adiré	ə ð i ɾ 'e
adiria	ə ð i ɾ 'i ə
adiríem	ə ð i ɾ 'i ə m
adiries	ə ð i ɾ 'i ə s
adit	ə ð 'i t
adita	ə ð 'i t ə
adites	ə ð 'i t ə s
adits	ə ð 'i t s
adiu	ə ð 'i w
adius	ə ð 'i w s
adives	ə ð 'i β ə s
adjacent	ə d ʒ ə s 'e n
adjectiu	ə d ʒ ə k t 'i w
adjectius	ə d ʒ ə k t 'i w s
adjudica	ə d ʒ u ð 'i k ə
adjudicada	ə d ʒ u ð i k 'a ð ə
adjudicades	ə d ʒ u ð i k 'a ð ə s
adjudicar	ə d ʒ u ð i k 'a
adjudicarem	ə d ʒ u ð i k ə ɾ 'ɛ m
adjudicares	ə d ʒ u ð i k 'a ɾ ə s
adjudicaria	ə d ʒ u ð i k ə ɾ 'i ə
adjudicat	ə d ʒ u ð i k 'a t
adjudicats	ə d ʒ u ð i k 'a t s
adjudicava	ə d ʒ u ð i k 'a β ə
adjudico	ə d ʒ u ð 'i k u
adjudiquem	ə d ʒ u ð i k 'ɛ m
adjudiques	ə d ʒ u ð 'i k ə s
adjunt	ə d ʒ 'u n
adjunta	ə d ʒ 'u n t ə
adjuntes	ə d ʒ 'u n t ə s
adjunts	ə d ʒ 'u n s
adjurada	ə d ʒ u ɾ 'a ð ə
adjurades	ə d ʒ u ɾ 'a ð ə s
adjurar	ə d ʒ u ɾ 'a
adjurat	ə d ʒ u ɾ 'a t
adjurats	ə d ʒ u ɾ 'a t s
admès	ə d m 'ɛ s
admesa	ə d m 'ɛ z ə
admeses	ə d m 'ɛ z ə s
admesos	ə d m 'ɛ z u s
admetre	ə d m 'ɛ t ɾ ə
adminicle	ə d m i n 'i k l ə
administra	ə d m i n 'i s t ɾ ə
administrà	ə d m i n i s t ɾ 'a
administració	ə d m i n i s t ɾ ə s i 'o
administracions	ə d m i n i s t ɾ ə s i 'o n s
administrada	ə d m i n i s t ɾ 'a ð ə
administrades	ə d m i n i s t ɾ 'a ð ə s
administrador	ə d m i n i s t ɾ ə ð 'o
administrar	ə d m i n i s t ɾ 'a
administrarem	ə d m i n i s t ɾ ə ɾ 'ɛ m
administrares	ə d m i n i s t ɾ 'a ɾ ə s
administraria	ə d m i n i s t ɾ ə ɾ 'i ə
administrat	ə d m i n i s t ɾ 'a t
administratiu	ə d m i n i s t ɾ ə t 'i w
administrats	ə d m i n i s t ɾ 'a t s
administrava	ə d m i n i s t ɾ 'a β ə
administrem	ə d m i n i s t ɾ 'ɛ m
administres	ə d m i n 'i s t ɾ ə s
administri	ə d m i n 'i s t ɾ i
administro	ə d m i n 'i s t ɾ u
admira	ə d m 'i ɾ ə
admirable	ə d m i ɾ 'a b b l ə
admirables	ə d m i ɾ 'a b b l ə s
admiració	ə d m i ɾ ə s i 'o
admiracions	ə d m i ɾ ə s i 'o n s
admirada	ə d m i ɾ 'a ð ə
admirades	ə d m i ɾ 'a ð ə s
admirador	ə d m i ɾ ə ð 'o
admirar	ə d m i ɾ 'a
admirares	ə d m i ɾ 'a ɾ ə s
admiraria	ə d m i ɾ ə ɾ 'i ə
admirat	ə d m i ɾ 'a t
admirats	ə d m i ɾ 'a t s
admirava	ə d m i ɾ 'a β ə
admires	ə d m 'i ɾ ə s
admiri	ə d m 'i ɾ i
admiris	ə d m 'i ɾ i s
admiro	ə d m 'i ɾ u
admissible	ə d m i s 'i b b l ə
admissibles	ə d m i s 'i b b l ə s
admissió	ə d m i s i 'o
admissions	ə d m i s i 'o n s
adob	ə ð 'o p
adobada	ə ð u β 'a ð ə
adobades	ə ð u β 'a ð ə s
adobar	ə ð u β 'a
adobat	ə ð u β 'a t
adobats	ə ð u β 'a t s
adoberia	ə ð u β ə ɾ 'i ə
adoctrinada	ə ð u k t ɾ i n 'a ð ə
adoctrinades	ə ð u k t ɾ i n 'a ð ə s
adoctrinament	ə ð u k t ɾ i n ə m 'e n
adoctrinar	ə ð u k t ɾ i n 'a
adoctrinat	ə ð u k t ɾ i n 'a t
adoctrinats	ə ð u k t ɾ i n 'a t s
adolescent	ə ð u l ə s 'e n
adolescents	ə ð u l ə s 'e n s
adolorar	ə ð u l u ɾ 'a
adonada	ə ð u n 'a ð ə
adonades	ə ð u n 'a ð ə s
adonar	ə ð u n 'a
adonat	ə ð u n 'a t
adonats	ə ð u n 'a t s
adonis	ə ð 'o n i s
adopció	ə ð u p s i 'o
adopcions	ə ð u p s i 'o n s
adoptada	ə ð u p t 'a ð ə
adoptades	ə ð u p t 'a ð ə s
adoptant	ə ð u p t 'a n
adoptar	ə ð u p t 'a
adoptarem	ə ð u p t ə ɾ 'ɛ m
adoptares	ə ð u p t 'a ɾ ə s
adoptaria	ə ð u p t ə ɾ 'i ə
adoptat	ə ð u p t 'a t
adoptats	ə ð u p t 'a t s
adoptava	ə ð u p t 'a β ə
adoptem	ə ð u p t 'ɛ m
adoptis	ə ð 'ɔ p t i s
adoptiu	ə ð u p t 'i w
adoptius	ə ð u p t 'i w s
adoptiva	ə ð u p t 'i β ə
adoptives	ə ð u p t 'i β ə s
adorà	ə ð u ɾ 'a
adorable	ə ð u ɾ 'a b b l ə
adorables	ə ð u ɾ 'a b b l ə s
adoració	ə ð u ɾ ə s i 'o
adoracions	ə ð u ɾ ə s i 'o n s
adorada	ə ð u ɾ 'a ð ə
adorades	ə ð u ɾ 'a ð ə s
adorant	ə ð u ɾ 'a n
adorar	ə ð u ɾ 'a
adorares	ə ð u ɾ 'a ɾ ə s
adoraria	ə ð u ɾ ə ɾ 'i ə
adoraries	ə ð u ɾ ə ɾ 'i ə s
adorat	ə ð u ɾ 'a t
adoratori	ə ð u ɾ ə t 'ɔ ɾ i
adorats	ə ð u ɾ 'a t s
adorava	ə ð u ɾ 'a β ə
adorem	ə ð u ɾ 'ɛ m
adori	ə ð 'ɔ ɾ i
adoris	ə ð 'ɔ ɾ i s
adormida	ə ð u r m 'i ð ə
adormides	ə ð u r m 'i ð ə s
adormir	ə ð u r m 'i
adormissar	ə ð u r m i s 'a
adormit	ə ð u r m 'i t
adormits	ə ð u r m 'i t s
adornada	ə ð u r n 'a ð ə
adornades	ə ð u r n 'a ð ə s
adornar	ə ð u r n 'a
adornat	ə ð u r n 'a t
adornats	ə ð u r n 'a t s
adoro	ə ð 'ɔ ɾ u
adossada	ə ð u s 'a ð ə
adossades	ə ð u s 'a ð ə s
adossar	ə ð u s 'a
adossat	ə ð u s 'a t
adossats	ə ð u s 'a t s
adquirida	ə t k i ɾ 'i ð ə
adquirides	ə t k i ɾ 'i ð ə s
adquirir	ə t k i ɾ 'i
adquirit	ə t k i ɾ 'i t
adquirits	ə t k i ɾ 'i t s
adquisició	ə t k i z i s i 'o
adquisicions	ə t k i z i s i 'o n s
adreça	ə ð ɾ 'e s ə
adreçada	ə ð ɾ ə s 'a ð ə
adreçades	ə ð ɾ ə s 'a ð ə s
adreçant	ə ð ɾ ə s 'a n
adreçar	ə ð ɾ ə s 'a
adreçat	ə ð ɾ ə s 'a t
adreçats	ə ð ɾ ə s 'a t s
adreces	ə ð ɾ 'e s ə s
adrenalina	ə ð ɾ ə n ə l 'i n ə
adret	ə ð ɾ 'ɛ t
Adrià	ə ð ɾ i 'a
adrogueria	ə ð ɾ u ɣ ə ɾ 'i ə
adscripció	ə t s k ɾ i p s i 'o
adscrit	ə t s k ɾ 'i t
adscrita	ə t s k ɾ 'i t ə
adscrites	ə t s k ɾ 'i t ə s
adscrits	ə t s k ɾ 'i t s
adscriure	ə t s k ɾ 'i w ɾ ə
adulacions	ə ð u l ə s i 'o n s
adulador	ə ð u l ə ð 'o
adular	ə ð u l 'a
adult	ə ð 'u l
adulta	ə ð 'u l t ə
adúlter	ə ð 'u l t ə r
adúltera	ə ð 'u l t ə ɾ ə
adúlteres	ə ð 'u l t ə ɾ ə s
adulteri	ə ð u l t 'ɛ ɾ i
adultes	ə ð 'u l t ə s
adults	ə ð 'u l s
adust	ə ð 'u s t
adveniment	ə d b ə n i m 'e n
advenir	ə d b ə n 'i
adverar	ə d b ə ɾ 'a
advers	ə d b 'ɛ r s
adversari	ə d b ə r s 'a ɾ i
adversitat	ə d b ə r s i t 'a t
adversitats	ə d b ə r s i t 'a t s
advertència	ə d b ə r t 'ɛ n s i ə
advertida	ə d b ə r t 'i ð ə
advertides	ə d b ə r t 'i ð ə s
advertiment	ə d b ə r t i m 'e n
advertint	ə d b ə r t 'i n
advertir	ə d b ə r t 'i
advertit	ə d b ə r t 'i t
advertits	ə d b ə r t 'i t s
advocada	ə d b u k 'a ð ə
advocades	ə d b u k 'a ð ə s
advocar	ə d b u k 'a
advocat	ə d b u k 'a t
advocats	ə d b u k 'a t s
aeri	ə 'ɛ ɾ i
aerobi	ə e ɾ 'ɔ β i
aeròbic	ə e ɾ 'ɔ β i k
aeròmetre	ə e ɾ 'ɔ m ə t ɾ ə
afaiçonar	ə f ə j s u n 'a
afaitada	ə f ə j t 'a ð ə
afaitades	ə f ə j t 'a ð ə s
afaitar	ə f ə j t 'a
afaitat	ə f ə j t 'a t
afaitats	ə f ə j t 'a t s
afalac	ə f ə l 'a k
afalacs	ə f ə l 'a k s
afalagada	ə f ə l ə ɣ 'a ð ə
afalagades	ə f ə l ə ɣ 'a ð ə s
afalagador	ə f ə l ə ɣ ə ð 'o
afalagar	ə f ə l ə ɣ 'a
afalagat	ə f ə l ə ɣ 'a t
afalagats	ə f ə l ə ɣ 'a t s
afamada	ə f ə m 'a ð ə
afamar	ə f ə m 'a
afamat	ə f ə m 'a t
afamats	ə f ə m 'a t s
afanador	ə f ə n ə ð 'o
afanar	ə f ə n 'a
afany	ə f 'a ɲ
afanyar	ə f ə ɲ 'a
afanys	ə f 'a ɲ s
àfar	'a f ə r
afartada	ə f ə r t 'a ð ə
afartades	ə f ə r t 'a ð ə s
afartant	ə f ə r t 'a n
afartar	ə f ə r t 'a
afartat	ə f ə r t 'a t
afartats	ə f ə r t 'a t s
afavorida	ə f ə β u ɾ 'i ð ə
afavorides	ə f ə β u ɾ 'i ð ə s
afavorint	ə f ə β u ɾ 'i n
afavorir	ə f ə β u ɾ 'i
afavorit	ə f ə β u ɾ 'i t
afavorits	ə f ə β u ɾ 'i t s
afeblida	ə f ə b b l 'i ð ə
afeblides	ə f ə b b l 'i ð ə s
afeblir	ə f ə b b l 'i
afeblit	ə f ə b b l 'i t
afeblits	ə f ə b b l 'i t s
afecció	ə f ə k s i 'o
afeccions	ə f ə k s i 'o n s
afecta	ə f 'e k t ə
afectà	ə f ə k t 'a
afectable	ə f ə k t 'a b b l ə
afectada	ə f ə k t 'a ð ə
afectades	ə f ə k t 'a ð ə s
afectant	ə f ə k t 'a n
afectar	ə f ə k t 'a
afectarem	ə f ə k t ə ɾ 'ɛ m
afectàrem	ə f ə k t 'a ɾ ə m
afectares	ə f ə k t 'a ɾ ə s
afectaria	ə f ə k t ə ɾ 'i ə
afectat	ə f ə k t 'a t
afectats	ə f ə k t 'a t s
afectava	ə f ə k t 'a β ə
afecte	ə f 'e k t ə
afectem	ə f ə k t 'ɛ m
afectes	ə f 'e k t ə s
afectiu	ə f ə k t 'i w
afectius	ə f ə k t 'i w s
afectiva	ə f ə k t 'i β ə
afectives	ə f ə k t 'i β ə s
afecto	ə f 'ɛ k t u
afectuós	ə f ə k t u 'o s
afectuosa	ə f ə k t u 'o z ə
afectuoses	ə f ə k t u 'o z ə s
afectuosos	ə f ə k t u 'o z u s
afegida	ə f ə ʒ 'i ð ə
afegides	ə f ə ʒ 'i ð ə s
afegir	ə f ə ʒ 'i
afegit	ə f ə ʒ 'i t
afegitó	ə f ə ʒ i t 'o
afegitons	ə f ə ʒ i t 'o n s
afegits	ə f ə ʒ 'i t s
afemellat	ə f ə m ə ʎ 'a t
afèmia	ə f 'ɛ m i ə
afèmic	ə f 'ɛ m i k
afèmica	ə f 'ɛ m i k ə
afèmics	ə f 'ɛ m i k s
afèmiques	ə f 'ɛ m i k ə s
afer	ə f 'e r
afèresi	ə f 'ɛ ɾ ə z i
afermar	ə f ə r m 'a
aferrada	ə f ə r 'a ð ə
aferrar	ə f ə r 'a
Afganistan	ə v ɣ ə n i s t 'a n
afí	ə f 'i
afiblar	ə f i b b l 'a
aficar	ə f i k 'a
afició	ə f i s i 'o
aficionat	ə f i s i u n 'a t
aficionats	ə f i s i u n 'a t s
aficions	ə f i s i 'o n s
afila	ə f 'i l ə
afilada	ə f i l 'a ð ə
afilades	ə f i l 'a ð ə s
afilant	ə f i l 'a n
afilar	ə f i l 'a
afilarem	ə f i l ə ɾ 'ɛ m
afilares	ə f i l 'a ɾ ə s
afilaria	ə f i l ə ɾ 'i ə
afilat	ə f i l 'a t
afilats	ə f i l 'a t s
afilava	ə f i l 'a β ə
afilem	ə f i l 'ɛ m
afiles	ə f 'i l ə s
afiliació	ə f i l i ə s i 'o
afiliar	ə f i l i 'a
afillar	ə f i ʎ 'a
afilo	ə f 'i l u
afinada	ə f i n 'a ð ə
afinades	ə f i n 'a ð ə s
afinar	ə f i n 'a
afinat	ə f i n 'a t
afinats	ə f i n 'a t s
afines	ə f 'i n ə s
afinitat	ə f i n i t 'a t
afinitats	ə f i n i t 'a t s
afins	ə f 'i n s
afirma	ə f 'i r m ə
afirmació	ə f i r m ə s i 'o
afirmacions	ə f i r m ə s i 'o n s
afirmada	ə f i r m 'a ð ə
afirmades	ə f i r m 'a ð ə s
afirmant	ə f i r m 'a n
afirmar	ə f i r m 'a
afirmarem	ə f i r m ə ɾ 'ɛ m
afirmàrem	ə f i r m 'a ɾ ə m
afirmares	ə f i r m 'a ɾ ə s
afirmaria	ə f i r m ə ɾ 'i ə
afirmat	ə f i r m 'a t
afirmatiu	ə f i r m ə t 'i w
afirmatius	ə f i r m ə t 'i w s
afirmativa	ə f i r m ə t 'i β ə
afirmatives	ə f i r m ə t 'i β ə s
afirmats	ə f i r m 'a t s
afirmava	ə f i r m 'a β ə
afirmem	ə f i r m 'ɛ m
afirmes	ə f 'i r m ə s
afirmo	ə f 'i r m u
aflicció	ə f l i k s i 'o
afligida	ə f l i ʒ 'i ð ə
afligides	ə f l i ʒ 'i ð ə s
afligint	ə f l i ʒ 'i n
afligir	ə f l i ʒ 'i
afligit	ə f l i ʒ 'i t
afligits	ə f l i ʒ 'i t s
aflora	ə f l 'ɔ ɾ ə
aflorada	ə f l u ɾ 'a ð ə
aflorades	ə f l u ɾ 'a ð ə s
aflorant	ə f l u ɾ 'a n
aflorar	ə f l u ɾ 'a
aflorarem	ə f l u ɾ ə ɾ 'ɛ m
aflorares	ə f l u ɾ 'a ɾ ə s
afloraria	ə f l u ɾ ə ɾ 'i ə
aflorat	ə f l u ɾ 'a t
aflorats	ə f l u ɾ 'a t s
aflorava	ə f l u ɾ 'a β ə
aflorem	ə f l u ɾ 'ɛ m
aflores	ə f l 'ɔ ɾ ə s
afluent	ə f l u 'e n
afogar	ə f u ɣ 'a
afònic	ə f 'ɔ n i k
afònica	ə f 'ɔ n i k ə
afònics	ə f 'ɔ n i k s
afòniques	ə f 'ɔ n i k ə s
afores	ə f 'ɔ ɾ ə s
aforisme	ə f u ɾ 'i z m ə
aforismes	ə f u ɾ 'i z m ə s
aforrada	ə f u r 'a ð ə
aforrar	ə f u r 'a
afortunat	ə f u r t u n 'a t
afortunats	ə f u r t u n 'a t s
africà	ə f ɾ i k 'a
Àfrica	'a f ɾ i k ə
africana	ə f ɾ i k 'a n ə
africanes	ə f ɾ i k 'a n ə s
africanista	ə f ɾ i k ə n 'i s t ə
africans	ə f ɾ i k 'a n s
afrikaans	ə f ɾ i k ə 'a n s
afrodisíac	ə f ɾ u ð i z 'i ə k
Afrodita	ə f ɾ u ð 'i t ə
afronta	ə f ɾ 'o n t ə
afrontada	ə f ɾ u n t 'a ð ə
afrontades	ə f ɾ u n t 'a ð ə s
afrontar	ə f ɾ u n t 'a
afrontarem	ə f ɾ u n t ə ɾ 'ɛ m
afrontàrem	ə f ɾ u n t 'a ɾ ə m
afrontares	ə f ɾ u n t 'a ɾ ə s
afrontaria	ə f ɾ u n t ə ɾ 'i ə
afrontat	ə f ɾ u n t 'a t
afrontats	ə f ɾ u n t 'a t s
afrontava	ə f ɾ u n t 'a β ə
afrontem	ə f ɾ u n t 'ɛ m
afusellada	ə f u z ə ʎ 'a ð ə
afusellades	ə f u z ə ʎ 'a ð ə s
afusellament	ə f u z ə ʎ ə m 'e n
afusellant	ə f u z ə ʎ 'a n
afusellar	ə f u z ə ʎ 'a
afusellat	ə f u z ə ʎ 'a t
afusellats	ə f u z ə ʎ 'a t s
agafada	ə ɣ ə f 'a ð ə
agafades	ə ɣ ə f 'a ð ə s
agafamosquits	ə ɣ ə f ə m u s k 'i t s
agafant	ə ɣ ə f 'a n
agafar	ə ɣ ə f 'a
agafat	ə ɣ ə f 'a t
agafatós	ə ɣ ə f ə t 'o s
agafats	ə ɣ ə f 'a t s
agafós	ə ɣ ə f 'o s
agalla	ə ɣ 'a ʎ ə
agapornis	ə ɣ ə p 'ɔ r n i s
Àgata	'a ɣ ə t ə
àgata	'a ɣ ə t ə
àgates	'a ɣ ə t ə s
agençada	ə ʒ ə n s 'a ð ə
agençades	ə ʒ ə n s 'a ð ə s
agençant	ə ʒ ə n s 'a n
agençar	ə ʒ ə n s 'a
agençat	ə ʒ ə n s 'a t
agençats	ə ʒ ə n s 'a t s
agència	ə ʒ 'ɛ n s i ə
agenciar	ə ʒ ə n s i 'a
agències	ə ʒ 'ɛ n s i ə s
agenda	ə ʒ 'e n d ə
agenollada	ə ʒ ə n u ʎ 'a ð ə
agenollades	ə ʒ ə n u ʎ 'a ð ə s
agenollar	ə ʒ ə n u ʎ 'a
agenollat	ə ʒ ə n u ʎ 'a t
agenollats	ə ʒ ə n u ʎ 'a t s
agent	ə ʒ 'e n
agents	ə ʒ 'e n s
agermanada	ə ʒ ə r m ə n 'a ð ə
agermanades	ə ʒ ə r m ə n 'a ð ə s
agermanament	ə ʒ ə r m ə n ə m 'e n
agermanar	ə ʒ ə r m ə n 'a
agermanat	ə ʒ ə r m ə n 'a t
agermanats	ə ʒ ə r m ə n 'a t s
Ageu	ə ʒ 'ɛ w
àgil	'a ʒ i l
agilitat	ə ʒ i l i t 'a t
agilitats	ə ʒ i l i t 'a t s
agir	ə ʒ 'i
agitació	ə ʒ i t ə s i 'o
agitacions	ə ʒ i t ə s i 'o n s
agitada	ə ʒ i t 'a ð ə
agitades	ə ʒ i t 'a ð ə s
agitant	ə ʒ i t 'a n
agitar	ə ʒ i t 'a
agitat	ə ʒ i t 'a t
agitats	ə ʒ i t 'a t s
aglà	ə ɣ l 'a
aglans	ə ɣ l 'a n s
Aglí	ə ɣ l 'i
aglomeració	ə ɣ l u m ə ɾ ə s i 'o
aglomerada	ə ɣ l u m ə ɾ 'a ð ə
aglomerades	ə ɣ l u m ə ɾ 'a ð ə s
aglomerant	ə ɣ l u m ə ɾ 'a n
aglomerar	ə ɣ l u m ə ɾ 'a
aglomerat	ə ɣ l u m ə ɾ 'a t
aglomerats	ə ɣ l u m ə ɾ 'a t s
aglutina	ə ɣ l u t 'i n ə
aglutinació	ə ɣ l u t i n ə s i 'o
aglutinacions	ə ɣ l u t i n ə s i 'o n s
aglutinada	ə ɣ l u t i n 'a ð ə
aglutinades	ə ɣ l u t i n 'a ð ə s
aglutinant	ə ɣ l u t i n 'a n
aglutinar	ə ɣ l u t i n 'a
aglutinat	ə ɣ l u t i n 'a t
aglutinats	ə ɣ l u t i n 'a t s
agònic	ə ɣ 'ɔ n i k
agònica	ə ɣ 'ɔ n i k ə
agònics	ə ɣ 'ɔ n i k s
agòniques	ə ɣ 'ɔ n i k ə s
agonitzà	ə ɣ u n i d z 'a
agonitzada	ə ɣ u n i d z 'a ð ə
agonitzades	ə ɣ u n i d z 'a ð ə s
agonitzant	ə ɣ u n i d z 'a n
agonitzar	ə ɣ u n i d z 'a
agonitzat	ə ɣ u n i d z 'a t
agonitzats	ə ɣ u n i d z 'a t s
agosarada	ə ɣ u z ə ɾ 'a ð ə
agosarades	ə ɣ u z ə ɾ 'a ð ə s
agosarat	ə ɣ u z ə ɾ 'a t
agosarats	ə ɣ u z ə ɾ 'a t s
agost	ə ɣ 'o s t
Agost	ə ɣ 'o s t
agostejar	ə ɣ u s t ə ʒ 'a
agra	'a ɣ ɾ ə
agradable	ə ɣ ɾ ə ð 'a b b l ə
agradada	ə ɣ ɾ ə ð 'a ð ə
agradades	ə ɣ ɾ ə ð 'a ð ə s
agradant	ə ɣ ɾ ə ð 'a n
agradar	ə ɣ ɾ ə ð 'a
agradat	ə ɣ ɾ ə ð 'a t
agradats	ə ɣ ɾ ə ð 'a t s
agraí	ə ɣ ɾ ə 'i
agraïda	ə ɣ ɾ ə 'i ð ə
agraïdes	ə ɣ ɾ ə 'i ð ə s
agraïment	ə ɣ ɾ ə i m 'e n
agraint	ə ɣ ɾ ə 'i n
agrair	ə ɣ ɾ ə 'i
agraït	ə ɣ ɾ ə 'i t
agraïts	ə ɣ ɾ ə 'i t s
Agramunt	ə ɣ ɾ ə m 'u n
agrari	ə ɣ ɾ 'a ɾ i
agràs	ə ɣ ɾ 'a s
agrassó	ə ɣ ɾ ə s 'o
agrassos	ə ɣ ɾ 'a s u s
agre	'a ɣ ɾ ə
agredida	ə ɣ ɾ ə ð 'i ð ə
